year,annual_growth_rate_pct,cumulative_capacity_multiplier,description
2025,0.0,1.000,Baseline year - no growth
2026,1.5,1.015,Early growth period
2027,1.5,1.030,Continued growth
2028,1.5,1.046,Steady expansion
2029,1.5,1.061,Pre-2030 growth
2030,1.5,1.077,2030 milestone
2031,1.3,1.091,Slowing growth begins
2032,1.3,1.105,Moderate expansion
2033,1.3,1.119,Market stabilization
2034,1.3,1.134,Continued growth
2035,1.3,1.149,2035 milestone
2036,1.0,1.160,Lower growth rate
2037,1.0,1.172,Mature market
2038,1.0,1.183,Stable demand
2039,1.0,1.195,Incremental growth
2040,1.0,1.207,2040 milestone
2041,0.8,1.217,Further slowdown
2042,0.8,1.226,Late-stage growth
2043,0.8,1.236,Approaching saturation
2044,0.8,1.246,Minimal expansion
2045,0.8,1.256,2045 milestone
2046,0.5,1.262,Very low growth
2047,0.5,1.269,Near-zero growth
2048,0.5,1.275,Market saturation
2049,0.5,1.282,Stable capacity
2050,0.5,1.288,2050 final year - 28.8% total growth
