facility_id,company,location,product,process,start_year,capacity_kt,annual_emissions_kt_co2,emission_intensity_t_co2_per_t
롯데케미칼_대산_Ethylene_1991,롯데케미칼,대산,Ethylene,Naphtha Cracker,1991,1100.0,3044.8,2.7680000000000002
HD현대케미칼_대산_Ethylene_2021,HD현대케미칼,대산,Ethylene,Naphtha Cracker,2021,850.0,2352.8,2.7680000000000002
LG화학_대산_Ethylene_1991,LG화학,대산,Ethylene,Naphtha Cracker,1991,1300.0,3598.4,2.7680000000000002
한화토탈에너지스_대산_Ethylene_1991,한화토탈에너지스,대산,Ethylene,Naphtha Cracker,1991,1525.0,4221.2,2.768
롯데케미칼_여수_Ethylene_1992,롯데케미칼,여수,Ethylene,Naphtha Cracker,1992,1230.0,3404.6400000000003,2.7680000000000002
LG화학_여수_Ethylene_2021,LG화학,여수,Ethylene,Naphtha Cracker,2021,1030.0,2851.04,2.768
여천NCC_여수_Ethylene_1979,여천NCC,여수,Ethylene,Naphtha Cracker,1979,2285.0,6324.88,2.7680000000000002
GS칼텍스_여수_Ethylene_2021,GS칼텍스,여수,Ethylene,Naphtha Cracker,2021,900.0,2491.2,2.768
대한유화_온산_Ethylene_1991,대한유화,온산,Ethylene,Naphtha Cracker,1991,900.0,2491.2,2.768
S-Oil_온산_Ethylene_2018,S-Oil,온산,Ethylene,Naphtha Cracker,2018,182.0,503.77600000000007,2.7680000000000002
SK지오센트릭_울산_Ethylene_1989,SK지오센트릭,울산,Ethylene,Naphtha Cracker,1989,660.0,1826.88,2.7680000000000002
롯데케미칼_대산_Propylene_1997,롯데케미칼,대산,Propylene,Naphtha Cracker,1997,550.0,1385.4499999999998,2.5189999999999997
HD현대오일뱅크_대산_Propylene_2011,HD현대오일뱅크,대산,Propylene,Naphtha Cracker,2011,420.0,1057.98,2.519
HD현대케미칼_대산_Propylene_2021,HD현대케미칼,대산,Propylene,Naphtha Cracker,2021,451.0,1136.069,2.519
LG화학_대산_Propylene_1991,LG화학,대산,Propylene,Naphtha Cracker,1991,680.0,1712.92,2.519
한화토탈에너지스_대산_Propylene_1991,한화토탈에너지스,대산,Propylene,Naphtha Cracker,1991,1064.0,2680.2160000000003,2.519
롯데케미칼_여수_Propylene_1992,롯데케미칼,여수,Propylene,Naphtha Cracker,1992,641.0,1614.679,2.519
LG화학_여수_Propylene_2021,LG화학,여수,Propylene,Naphtha Cracker,2021,1300.0,3274.7,2.5189999999999997
여천NCC_여수_Propylene_1979,여천NCC,여수,Propylene,Naphtha Cracker,1979,1289.0,3246.991,2.519
GS칼텍스_여수_Propylene_2021,GS칼텍스,여수,Propylene,Naphtha Cracker,2021,970.0,2443.4300000000003,2.519
대한유화_온산_Propylene_1991,대한유화,온산,Propylene,Naphtha Cracker,1991,560.0,1410.6399999999999,2.5189999999999997
S-Oil_온산_Propylene_2018,S-Oil,온산,Propylene,Naphtha Cracker,2018,840.0,2115.96,2.519
SK어드밴스드_울산_Propylene_2016,SK어드밴스드,울산,Propylene,Naphtha Cracker,2016,600.0,1511.4,2.519
SK에너지_울산_Propylene_1996,SK에너지,울산,Propylene,Naphtha Cracker,1996,620.0,1561.7800000000002,2.519
SK지오센트릭_울산_Propylene_1989,SK지오센트릭,울산,Propylene,Naphtha Cracker,1989,380.0,957.22,2.519
태광산업_울산_Propylene_1997,태광산업,울산,Propylene,Naphtha Cracker,1997,300.0,755.7,2.519
효성화학_울산_Propylene_1991,효성화학,울산,Propylene,Naphtha Cracker,1991,500.0,1259.5,2.519
롯데케미칼_대산_Butadiene_1997,롯데케미칼,대산,Butadiene,Naphtha Cracker,1997,190.0,615.98,3.242
HD현대케미칼_대산_Butadiene_2021,HD현대케미칼,대산,Butadiene,Naphtha Cracker,2021,163.0,528.446,3.242
LG화학_대산_Butadiene_1991,LG화학,대산,Butadiene,Naphtha Cracker,1991,200.0,648.4000000000001,3.2420000000000004
