year,emissions_mt_co2,active_facilities
2023,3659.733053200002,76
2024,3633.479573200002,74
2025,3609.4479932000017,73
2026,3547.410873200002,71
2027,3547.410873200002,71
2028,3547.410873200002,71
2029,3459.8430892000015,69
2030,3150.5002692000016,62
2031,2826.046830000001,57
2032,2826.046830000001,57
2033,2690.462942,51
2034,2677.883594,50
2035,2676.3078660000006,49
2036,2556.8067659999997,43
2037,2446.769129999999,39
2038,2381.5441799999994,35
2039,1987.6936719999992,30
2040,1959.330567999999,29
2041,1669.8733879999993,26
2042,1669.8733879999993,26
2043,1415.8529139999994,19
2044,1290.8842179999997,16
2045,1290.8842179999997,16
2046,31.253688,2
2047,16.532747999999998,1
2048,0.0,0
2049,0.0,0
2050,0.0,0
