facility_id,company,location,product,process,start_year,capacity_kt,annual_emissions_kt_co2,emission_intensity_t_co2_per_t
롯데케미칼_대산_Ethylene_1991,롯데케미칼,대산,Ethylene,Naphtha Cracker,1991,1100.0,217.79999999999998,0.19799999999999998
HD현대케미칼_대산_Ethylene_2021,HD현대케미칼,대산,Ethylene,Naphtha Cracker,2021,850.0,168.29999999999998,0.19799999999999998
LG화학_대산_Ethylene_1991,LG화학,대산,Ethylene,Naphtha Cracker,1991,1300.0,257.4,0.19799999999999998
한화토탈에너지스_대산_Ethylene_1991,한화토탈에너지스,대산,Ethylene,Naphtha Cracker,1991,1525.0,301.95,0.19799999999999998
롯데케미칼_여수_Ethylene_1992,롯데케미칼,여수,Ethylene,Naphtha Cracker,1992,1230.0,243.54,0.19799999999999998
LG화학_여수_Ethylene_2021,LG화학,여수,Ethylene,Naphtha Cracker,2021,1030.0,203.94,0.198
여천NCC_여수_Ethylene_1979,여천NCC,여수,Ethylene,Naphtha Cracker,1979,2285.0,452.42999999999995,0.19799999999999998
GS칼텍스_여수_Ethylene_2021,GS칼텍스,여수,Ethylene,Naphtha Cracker,2021,900.0,178.2,0.19799999999999998
대한유화_온산_Ethylene_1991,대한유화,온산,Ethylene,Naphtha Cracker,1991,900.0,178.2,0.19799999999999998
S-Oil_온산_Ethylene_2018,S-Oil,온산,Ethylene,Naphtha Cracker,2018,182.0,36.035999999999994,0.19799999999999998
SK지오센트릭_울산_Ethylene_1989,SK지오센트릭,울산,Ethylene,Naphtha Cracker,1989,660.0,130.67999999999998,0.19799999999999995
롯데케미칼_대산_Propylene_1997,롯데케미칼,대산,Propylene,Naphtha Cracker,1997,550.0,992.75,1.805
HD현대오일뱅크_대산_Propylene_2011,HD현대오일뱅크,대산,Propylene,Naphtha Cracker,2011,420.0,758.1,1.8050000000000002
HD현대케미칼_대산_Propylene_2021,HD현대케미칼,대산,Propylene,Naphtha Cracker,2021,451.0,814.055,1.805
LG화학_대산_Propylene_1991,LG화학,대산,Propylene,Naphtha Cracker,1991,680.0,1227.4,1.8050000000000002
한화토탈에너지스_대산_Propylene_1991,한화토탈에너지스,대산,Propylene,Naphtha Cracker,1991,1064.0,1920.52,1.805
롯데케미칼_여수_Propylene_1992,롯데케미칼,여수,Propylene,Naphtha Cracker,1992,641.0,1157.0049999999999,1.8049999999999997
LG화학_여수_Propylene_2021,LG화학,여수,Propylene,Naphtha Cracker,2021,1300.0,2346.5,1.805
여천NCC_여수_Propylene_1979,여천NCC,여수,Propylene,Naphtha Cracker,1979,1289.0,2326.645,1.805
GS칼텍스_여수_Propylene_2021,GS칼텍스,여수,Propylene,Naphtha Cracker,2021,970.0,1750.85,1.805
대한유화_온산_Propylene_1991,대한유화,온산,Propylene,Naphtha Cracker,1991,560.0,1010.8,1.805
S-Oil_온산_Propylene_2018,S-Oil,온산,Propylene,Naphtha Cracker,2018,840.0,1516.2,1.8050000000000002
SK어드밴스드_울산_Propylene_2016,SK어드밴스드,울산,Propylene,Naphtha Cracker,2016,600.0,1083.0,1.805
SK에너지_울산_Propylene_1996,SK에너지,울산,Propylene,Naphtha Cracker,1996,620.0,1119.1,1.805
SK지오센트릭_울산_Propylene_1989,SK지오센트릭,울산,Propylene,Naphtha Cracker,1989,380.0,685.9,1.805
태광산업_울산_Propylene_1997,태광산업,울산,Propylene,Naphtha Cracker,1997,300.0,541.5,1.805
효성화학_울산_Propylene_1991,효성화학,울산,Propylene,Naphtha Cracker,1991,500.0,902.5,1.805
롯데케미칼_대산_Butadiene_1997,롯데케미칼,대산,Butadiene,Naphtha Cracker,1997,190.0,270.18,1.422
HD현대케미칼_대산_Butadiene_2021,HD현대케미칼,대산,Butadiene,Naphtha Cracker,2021,163.0,231.786,1.422
LG화학_대산_Butadiene_1991,LG화학,대산,Butadiene,Naphtha Cracker,1991,200.0,284.4,1.422
한화토탈에너지스_대산_Butadiene_1991,한화토탈에너지스,대산,Butadiene,Naphtha Cracker,1991,150.0,213.3,1.4220000000000002
금호석유화학_여수_Butadiene_1992,금호석유화학,여수,Butadiene,Naphtha Cracker,1992,147.0,209.034,1.422
롯데GS화학_여수_Butadiene_2022,롯데GS화학,여수,Butadiene,Naphtha Cracker,2022,130.0,184.85999999999999,1.422
롯데케미칼_여수_Butadiene_2011,롯데케미칼,여수,Butadiene,Naphtha Cracker,2011,160.0,227.52,1.4220000000000002
LG화학_여수_Butadiene_1991,LG화학,여수,Butadiene,Naphtha Cracker,1991,306.0,435.13199999999995,1.422
