facility_id,company,location,product,process,start_year,capacity_kt,annual_emissions_kt_co2,emission_intensity_t_co2_per_t
롯데케미칼_대산_Ethylene_1991,롯데케미칼,대산,Ethylene,Naphtha Cracker,1991,1100.0,300300.0,273.0
HD현대케미칼_대산_Ethylene_2021,HD현대케미칼,대산,Ethylene,Naphtha Cracker,2021,850.0,232050.0,273.0
LG화학_대산_Ethylene_1991,LG화학,대산,Ethylene,Naphtha Cracker,1991,1300.0,354900.0,273.0
한화토탈에너지스_대산_Ethylene_1991,한화토탈에너지스,대산,Ethylene,Naphtha Cracker,1991,1525.0,416325.0,273.0
롯데케미칼_여수_Ethylene_1992,롯데케미칼,여수,Ethylene,Naphtha Cracker,1992,1230.0,335790.0,273.0
LG화학_여수_Ethylene_2021,LG화학,여수,Ethylene,Naphtha Cracker,2021,1030.0,281190.0,273.0
여천NCC_여수_Ethylene_1979,여천NCC,여수,Ethylene,Naphtha Cracker,1979,2285.0,623805.0,273.0
GS칼텍스_여수_Ethylene_2021,GS칼텍스,여수,Ethylene,Naphtha Cracker,2021,900.0,245700.0,273.0
대한유화_온산_Ethylene_1991,대한유화,온산,Ethylene,Naphtha Cracker,1991,900.0,245700.0,273.0
S-Oil_온산_Ethylene_2018,S-Oil,온산,Ethylene,Naphtha Cracker,2018,182.0,49686.0,273.0
SK지오센트릭_울산_Ethylene_1989,SK지오센트릭,울산,Ethylene,Naphtha Cracker,1989,660.0,180180.0,273.0
롯데케미칼_대산_Propylene_1997,롯데케미칼,대산,Propylene,Naphtha Cracker,1997,550.0,137611.65,250.203
HD현대오일뱅크_대산_Propylene_2011,HD현대오일뱅크,대산,Propylene,Naphtha Cracker,2011,420.0,105085.26,250.20299999999997
HD현대케미칼_대산_Propylene_2021,HD현대케미칼,대산,Propylene,Naphtha Cracker,2021,451.0,112841.553,250.203
LG화학_대산_Propylene_1991,LG화학,대산,Propylene,Naphtha Cracker,1991,680.0,170138.04,250.203
한화토탈에너지스_대산_Propylene_1991,한화토탈에너지스,대산,Propylene,Naphtha Cracker,1991,1064.0,266215.992,250.20300000000003
롯데케미칼_여수_Propylene_1992,롯데케미칼,여수,Propylene,Naphtha Cracker,1992,641.0,160380.123,250.20299999999997
LG화학_여수_Propylene_2021,LG화학,여수,Propylene,Naphtha Cracker,2021,1300.0,325263.9,250.20300000000003
여천NCC_여수_Propylene_1979,여천NCC,여수,Propylene,Naphtha Cracker,1979,1289.0,322511.667,250.203
GS칼텍스_여수_Propylene_2021,GS칼텍스,여수,Propylene,Naphtha Cracker,2021,970.0,242696.91,250.203
대한유화_온산_Propylene_1991,대한유화,온산,Propylene,Naphtha Cracker,1991,560.0,140113.68,250.20299999999997
S-Oil_온산_Propylene_2018,S-Oil,온산,Propylene,Naphtha Cracker,2018,840.0,210170.52,250.20299999999997
SK어드밴스드_울산_Propylene_2016,SK어드밴스드,울산,Propylene,Naphtha Cracker,2016,600.0,150121.8,250.20299999999997
SK에너지_울산_Propylene_1996,SK에너지,울산,Propylene,Naphtha Cracker,1996,620.0,155125.86,250.20299999999997
SK지오센트릭_울산_Propylene_1989,SK지오센트릭,울산,Propylene,Naphtha Cracker,1989,380.0,95077.14,250.203
태광산업_울산_Propylene_1997,태광산업,울산,Propylene,Naphtha Cracker,1997,300.0,75060.9,250.20299999999997
효성화학_울산_Propylene_1991,효성화학,울산,Propylene,Naphtha Cracker,1991,500.0,125101.5,250.203
롯데케미칼_대산_Butadiene_1997,롯데케미칼,대산,Butadiene,Naphtha Cracker,1997,190.0,34610.78,182.162
HD현대케미칼_대산_Butadiene_2021,HD현대케미칼,대산,Butadiene,Naphtha Cracker,2021,163.0,29692.406,182.162
LG화학_대산_Butadiene_1991,LG화학,대산,Butadiene,Naphtha Cracker,1991,200.0,36432.4,182.162
한화토탈에너지스_대산_Butadiene_1991,한화토탈에너지스,대산,Butadiene,Naphtha Cracker,1991,150.0,27324.3,182.162
금호석유화학_여수_Butadiene_1992,금호석유화학,여수,Butadiene,Naphtha Cracker,1992,147.0,26777.814000000002,182.162
롯데GS화학_여수_Butadiene_2022,롯데GS화학,여수,Butadiene,Naphtha Cracker,2022,130.0,23681.06,182.162
롯데케미칼_여수_Butadiene_2011,롯데케미칼,여수,Butadiene,Naphtha Cracker,2011,160.0,29145.920000000002,182.162
LG화학_여수_Butadiene_1991,LG화학,여수,Butadiene,Naphtha Cracker,1991,306.0,55741.57200000001,182.16200000000003
여천NCC_여수_Butadiene_1992,여천NCC,여수,Butadiene,Naphtha Cracker,1992,378.0,68857.23600000002,182.16200000000006
금호석유화학_울산_Butadiene_1979,금호석유화학,울산,Butadiene,Naphtha Cracker,1979,90.0,16394.58,182.162
대한유화_울산_Butadiene_2023,대한유화,울산,Butadiene,Naphtha Cracker,2023,146.0,26595.652,182.16199999999998
SK지오센트릭_울산_Butadiene_1989,SK지오센트릭,울산,Butadiene,Naphtha Cracker,1989,130.0,23681.06,182.162
OCI_광양_벤젠_1995,OCI,광양,벤젠,BTX Plant,1995,200.0,40907.200000000004,204.53600000000003
롯데케미칼_대산_벤젠_2011,롯데케미칼,대산,벤젠,BTX Plant,2011,240.0,49088.64,204.536
HD현대케미칼_대산_벤젠_2016,HD현대케미칼,대산,벤젠,BTX Plant,2016,410.0,83859.76000000001,204.53600000000003
HD현대오일뱅크_대산_벤젠_1997,HD현대오일뱅크,대산,벤젠,BTX Plant,1997,338.0,69133.16799999999,204.53599999999997
LG화학_대산_벤젠_1991,LG화학,대산,벤젠,BTX Plant,1991,270.0,55224.72,204.536
한화토탈에너지스_대산_벤젠_1991,한화토탈에너지스,대산,벤젠,BTX Plant,1991,1267.0,259147.11200000002,204.53600000000003
롯데케미칼_여수_벤젠_1992,롯데케미칼,여수,벤젠,BTX Plant,1992,235.0,48065.96,204.536
LG화학_여수_벤젠_1992,LG화학,여수,벤젠,BTX Plant,1992,630.0,128857.68000000001,204.536
여천NCC_여수_벤젠_1979,여천NCC,여수,벤젠,BTX Plant,1979,457.0,93472.952,204.536
GS칼텍스_여수_벤젠_1990,GS칼텍스,여수,벤젠,BTX Plant,1990,930.0,190218.47999999998,204.53599999999997
대한유화_온산_벤젠_2008,대한유화,온산,벤젠,BTX Plant,2008,210.0,42952.560000000005,204.53600000000003
S-Oil_온산_벤젠_1991,S-Oil,온산,벤젠,BTX Plant,1991,672.0,137448.192,204.536
롯데케미칼_울산_벤젠_1986,롯데케미칼,울산,벤젠,BTX Plant,1986,110.0,22498.96,204.536
SK지오센트릭_울산_벤젠_1972,SK지오센트릭,울산,벤젠,BTX Plant,1972,603.0,123335.208,204.536
울산아로마틱스_울산_벤젠_2014,울산아로마틱스,울산,벤젠,BTX Plant,2014,600.0,122721.59999999999,204.53599999999997
SK인천석유화학_인천_벤젠_2006,SK인천석유화학,인천,벤젠,BTX Plant,2006,600.0,122721.59999999999,204.53599999999997
OCI_광양_톨루엔_1995,OCI,광양,톨루엔,BTX Plant,1995,40.0,6366.639999999999,159.166
롯데케미칼_대산_톨루엔_2011,롯데케미칼,대산,톨루엔,BTX Plant,2011,120.0,19099.920000000002,159.16600000000003
LG화학_대산_톨루엔_2011,LG화학,대산,톨루엔,BTX Plant,2011,100.0,15916.6,159.166
롯데케미칼_여수_톨루엔_1992,롯데케미칼,여수,톨루엔,BTX Plant,1992,220.0,35016.52,159.166
LG화학_여수_톨루엔_1992,LG화학,여수,톨루엔,BTX Plant,1992,112.0,17826.592000000004,159.16600000000003
여천NCC_여수_톨루엔_1979,여천NCC,여수,톨루엔,BTX Plant,1979,282.0,44884.812,159.166
GS칼텍스_여수_톨루엔_1990,GS칼텍스,여수,톨루엔,BTX Plant,1990,170.0,27058.22,159.166
대한유화_온산_톨루엔_2008,대한유화,온산,톨루엔,BTX Plant,2008,78.0,12414.948,159.166
S-Oil_온산_톨루엔_1991,S-Oil,온산,톨루엔,BTX Plant,1991,300.0,47749.8,159.166
SK지오센트릭_울산_톨루엔_2070,SK지오센트릭,울산,톨루엔,BTX Plant,2070,1506.0,239703.99599999998,159.166
롯데케미칼_대산_자일렌_2011,롯데케미칼,대산,자일렌,BTX Plant,2011,60.0,10905.839999999998,181.76399999999998
HD현대케미칼_대산_자일렌_2016,HD현대케미칼,대산,자일렌,BTX Plant,2016,1350.0,245381.4,181.76399999999998
롯데케미칼_여수_자일렌_1992,롯데케미칼,여수,자일렌,BTX Plant,1992,79.0,14359.356000000002,181.764
LG화학_여수_자일렌_1992,LG화학,여수,자일렌,BTX Plant,1992,60.0,10905.839999999998,181.76399999999998
여천NCC_여수_자일렌_1979,여천NCC,여수,자일렌,BTX Plant,1979,204.0,37079.856,181.764
GS칼텍스_여수_자일렌_1990,GS칼텍스,여수,자일렌,BTX Plant,1990,350.0,63617.4,181.764
대한유화_온산_자일렌_2008,대한유화,온산,자일렌,BTX Plant,2008,47.0,8542.908,181.76399999999998
S-Oil_온산_자일렌_1991,S-Oil,온산,자일렌,BTX Plant,1991,450.0,81793.8,181.764
SK지오센트릭_울산_자일렌_2070,SK지오센트릭,울산,자일렌,BTX Plant,2070,894.0,162497.016,181.764
롯데케미칼_울산_O-X_1980,롯데케미칼,울산,O-X,BTX Plant,1980,210.0,38170.44,181.764
SK지오센트릭_울산_O-X_1990,SK지오센트릭,울산,O-X,BTX Plant,1990,200.0,36352.799999999996,181.76399999999998
롯데케미칼_울산_M-X_1998,롯데케미칼,울산,M-X,BTX Plant,1998,360.0,65435.04,181.764
HD현대오일뱅크_대산_P-X_1997,HD현대오일뱅크,대산,P-X,BTX Plant,1997,1460.0,265375.44,181.764
한화토탈에너지스_대산_P-X_1997,한화토탈에너지스,대산,P-X,BTX Plant,1997,2000.0,363528.0,181.764
GS칼텍스_여수_P-X_1990,GS칼텍스,여수,P-X,BTX Plant,1990,1350.0,245381.4,181.76399999999998
S-Oil_온산_P-X_1997,S-Oil,온산,P-X,BTX Plant,1997,1900.0,345351.60000000003,181.764
롯데케미칼_울산_P-X_1980,롯데케미칼,울산,P-X,BTX Plant,1980,750.0,136323.0,181.764
SK지오센트릭_울산_P-X_1990,SK지오센트릭,울산,P-X,BTX Plant,1990,830.0,150864.12,181.76399999999998
울산아로마틱스_울산_P-X_2014,울산아로마틱스,울산,P-X,BTX Plant,2014,1000.0,181764.0,181.764
SK인천석유화학_인천_P-X_2014,SK인천석유화학,인천,P-X,BTX Plant,2014,1500.0,272646.0,181.764
SK지오센트릭_울산_C-H_1974,SK지오센트릭,울산,C-H,Naphtha Cracker,1974,160.0,29082.24,181.764
카프로_울산_C-H_2000,카프로,울산,C-H,Naphtha Cracker,2000,190.0,34535.16,181.764
롯데케미칼_대산_SM_2005,롯데케미칼,대산,SM,Utility,2005,350.0,47567.8,135.90800000000002
LG화학_대산_SM_2006,LG화학,대산,SM,Utility,2006,577.0,78418.916,135.908
한화토탈에너지스_대산_SM_1991,한화토탈에너지스,대산,SM,Utility,1991,1071.0,145557.468,135.908
여천NCC_여수_SM_1986,여천NCC,여수,SM,Utility,1986,351.0,47703.708,135.908
SKpicglobal_울산_SM_1990,SKpicglobal,울산,SM,Utility,1990,400.0,54363.2,135.908
LG화학_여수_EDC_1996,LG화학,여수,EDC,Utility,1996,810.0,110108.16,135.936
한화솔루션_여수_EDC_1980,한화솔루션,여수,EDC,Utility,1980,1586.0,215594.496,135.936
한화솔루션_울산_EDC_1991,한화솔루션,울산,EDC,Utility,1991,385.0,52335.36,135.936
LG화학_대산_VCM_1997,LG화학,대산,VCM,Utility,1997,230.0,26047.96,113.252
LG화학_여수_VCM_1990,LG화학,여수,VCM,Utility,1990,720.0,81541.44,113.25200000000001
한화솔루션_여수_VCM_1979,한화솔루션,여수,VCM,Utility,1979,583.0,66025.916,113.252
한화솔루션_울산_VCM_1972,한화솔루션,울산,VCM,Utility,1972,264.0,29898.528,113.252
롯데케미칼_여수_PC_2008,롯데케미칼,여수,PC,Utility,2008,480.0,80355.84,167.408
LG화학_여수_PC_2001,LG화학,여수,PC,Utility,2001,170.0,28459.36,167.40800000000002
삼양화성_전주_PC_1999,삼양화성,전주,PC,Utility,1999,120.0,20088.96,167.408
HD현대케미칼_대산_LDPE_2021,HD현대케미칼,대산,LDPE,Utility,2021,300.0,108522.0,361.74
LG화학_대산_LDPE_2006,LG화학,대산,LDPE,Utility,2006,280.0,101287.2,361.74
한화토탈에너지스_대산_LDPE_1991,한화토탈에너지스,대산,LDPE,Utility,1991,435.0,157356.9,361.74
LG화학_여수_LDPE_1990,LG화학,여수,LDPE,Utility,1990,180.0,65113.2,361.74
한화솔루션_여수_LDPE_1979,한화솔루션,여수,LDPE,Utility,1979,337.0,121906.37999999999,361.73999999999995
롯데케미칼_울산_LDPE_1972,롯데케미칼,울산,LDPE,Utility,1972,120.0,43408.8,361.74
롯데케미칼_대산_LDPE_2005,롯데케미칼,대산,LDPE,Utility,2005,500.0,180870.0,361.74
LG화학_대산_L-LDPE_2006,LG화학,대산,L-LDPE,Utility,2006,125.0,39565.4,316.52320000000003
한화토탈에너지스_대산_L-LDPE_2004,한화토탈에너지스,대산,L-LDPE,Utility,2004,530.0,167757.296,316.52320000000003
DL케미칼_여수_L-LDPE_2010,DL케미칼,여수,L-LDPE,Utility,2010,10.0,3165.232,316.5232
