facility_id,company,location,product,process,start_year,capacity_kt,annual_emissions_kt_co2,emission_intensity_t_co2_per_t
롯데케미칼_대산_Ethylene_1991,롯데케미칼,대산,Ethylene,Naphtha Cracker,1991,1100.0,2384.3252179140363,2.167568379921851
HD현대케미칼_대산_Ethylene_2021,HD현대케미칼,대산,Ethylene,Naphtha Cracker,2021,850.0,1842.4331229335733,2.167568379921851
LG화학_대산_Ethylene_1991,LG화학,대산,Ethylene,Naphtha Cracker,1991,1300.0,2817.8388938984067,2.1675683799218515
한화토탈에너지스_대산_Ethylene_1991,한화토탈에너지스,대산,Ethylene,Naphtha Cracker,1991,1525.0,3305.5417793808238,2.1675683799218515
롯데케미칼_여수_Ethylene_1992,롯데케미칼,여수,Ethylene,Naphtha Cracker,1992,1230.0,2666.109107303877,2.167568379921851
LG화학_여수_Ethylene_2021,LG화학,여수,Ethylene,Naphtha Cracker,2021,1030.0,2232.5954313195066,2.167568379921851
여천NCC_여수_Ethylene_1979,여천NCC,여수,Ethylene,Naphtha Cracker,1979,2285.0,4952.89374812143,2.167568379921851
GS칼텍스_여수_Ethylene_2021,GS칼텍스,여수,Ethylene,Naphtha Cracker,2021,900.0,1950.811541929666,2.167568379921851
대한유화_온산_Ethylene_1991,대한유화,온산,Ethylene,Naphtha Cracker,1991,900.0,1950.811541929666,2.167568379921851
S-Oil_온산_Ethylene_2018,S-Oil,온산,Ethylene,Naphtha Cracker,2018,182.0,394.4974451457769,2.167568379921851
SK지오센트릭_울산_Ethylene_1989,SK지오센트릭,울산,Ethylene,Naphtha Cracker,1989,660.0,1430.5951307484218,2.167568379921851
롯데케미칼_대산_Propylene_1997,롯데케미칼,대산,Propylene,Naphtha Cracker,1997,550.0,1021.6110610159305,1.857474656392601
HD현대오일뱅크_대산_Propylene_2011,HD현대오일뱅크,대산,Propylene,Naphtha Cracker,2011,420.0,780.1393556848923,1.8574746563926006
HD현대케미칼_대산_Propylene_2021,HD현대케미칼,대산,Propylene,Naphtha Cracker,2021,451.0,837.7210700330629,1.8574746563926008
LG화학_대산_Propylene_1991,LG화학,대산,Propylene,Naphtha Cracker,1991,680.0,1263.0827663469686,1.8574746563926008
한화토탈에너지스_대산_Propylene_1991,한화토탈에너지스,대산,Propylene,Naphtha Cracker,1991,1064.0,1976.3530344017274,1.857474656392601
롯데케미칼_여수_Propylene_1992,롯데케미칼,여수,Propylene,Naphtha Cracker,1992,641.0,1190.641254747657,1.8574746563926008
LG화학_여수_Propylene_2021,LG화학,여수,Propylene,Naphtha Cracker,2021,1300.0,2414.717053310381,1.8574746563926006
여천NCC_여수_Propylene_1979,여천NCC,여수,Propylene,Naphtha Cracker,1979,1289.0,2394.284832090062,1.8574746563926006
GS칼텍스_여수_Propylene_2021,GS칼텍스,여수,Propylene,Naphtha Cracker,2021,970.0,1801.7504167008226,1.8574746563926006
대한유화_온산_Propylene_1991,대한유화,온산,Propylene,Naphtha Cracker,1991,560.0,1040.1858075798564,1.8574746563926006
S-Oil_온산_Propylene_2018,S-Oil,온산,Propylene,Naphtha Cracker,2018,840.0,1560.2787113697846,1.8574746563926006
SK어드밴스드_울산_Propylene_2016,SK어드밴스드,울산,Propylene,Naphtha Cracker,2016,600.0,1114.4847938355604,1.8574746563926006
SK에너지_울산_Propylene_1996,SK에너지,울산,Propylene,Naphtha Cracker,1996,620.0,1151.6342869634125,1.8574746563926008
SK지오센트릭_울산_Propylene_1989,SK지오센트릭,울산,Propylene,Naphtha Cracker,1989,380.0,705.8403694291883,1.8574746563926008
태광산업_울산_Propylene_1997,태광산업,울산,Propylene,Naphtha Cracker,1997,300.0,557.2423969177802,1.8574746563926006
효성화학_울산_Propylene_1991,효성화학,울산,Propylene,Naphtha Cracker,1991,500.0,928.7373281963004,1.8574746563926008
롯데케미칼_대산_Butadiene_1997,롯데케미칼,대산,Butadiene,Naphtha Cracker,1997,190.0,293.947864579064,1.5470940241003368
HD현대케미칼_대산_Butadiene_2021,HD현대케미칼,대산,Butadiene,Naphtha Cracker,2021,163.0,252.17632592835486,1.5470940241003366
LG화학_대산_Butadiene_1991,LG화학,대산,Butadiene,Naphtha Cracker,1991,200.0,309.4188048200673,1.5470940241003364
한화토탈에너지스_대산_Butadiene_1991,한화토탈에너지스,대산,Butadiene,Naphtha Cracker,1991,150.0,232.06410361505047,1.5470940241003364
