year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,57.457916664485964,8.329744233038994,65.78766089752496,0.436,232,16,0.9595666859872484,1.0,96020.0
2026,66.07660416415885,9.189541849585883,75.26614601374473,0.4186,228,20,0.948274139068215,1.15,109123.49999999999
2027,66.07660416415885,8.807558982450683,74.88416314660952,0.4012,228,20,0.948274139068215,1.15,109123.49999999999
2028,66.07660416415885,8.420226363445373,74.49683052760422,0.3838,226,22,0.9379809325844942,1.15,107938.99999999999
2029,56.91224337680294,7.2992363871962995,64.21147976399925,0.3664,215,33,0.8752523334599165,1.15,100720.45
2030,56.91224337680294,6.932319133524108,63.84456251032705,0.349,207,41,0.8197789458957089,1.15,94336.79999999999
2031,56.91224337680294,6.655609049642735,63.56785242644568,0.3351,205,43,0.8178801990686148,1.15,94118.29999999999
2032,56.91224337680294,6.378610752128546,63.290854128931485,0.3212,202,46,0.8152319469150361,1.15,93813.54999999999
2033,56.91224337680294,6.102148690598837,63.01439206740178,0.3073,200,48,0.8137829032838326,1.15,93646.79999999999
2034,56.91224337680294,5.825457207604284,62.73770058440723,0.2934,198,50,0.8124837607179262,1.15,93497.29999999999
2035,56.91224337680294,5.547460434088456,62.4597038108914,0.2795,197,51,0.8098255151599945,1.15,93191.4
2036,56.870270408167976,4.987919737871233,61.85819014603921,0.2516,194,54,0.8023404552995024,1.15,92330.04999999999
2037,56.870270408167976,4.4292041917971385,61.299474599965116,0.2236,191,57,0.7910279215717626,1.15,91028.25
2038,56.870270408167976,3.8758176605597243,60.7460880687277,0.1957,188,60,0.7871504806827494,1.15,90582.04999999999
2039,54.07743084671561,3.2279373666923115,57.305368213407924,0.1678,179,69,0.7618871544780444,1.15,87674.84999999999
2040,53.435753189856726,2.5489366155244433,55.984689805381166,0.1398,159,89,0.6692582895289109,1.15,77015.5
2041,32.42826758158631,1.6611497182381676,34.089417299824476,0.1259,133,115,0.5152299482341655,1.15,59290.549999999996
2042,26.101182125430288,1.275390614491253,27.376572739921542,0.1119,116,132,0.4589470949173545,1.15,52813.74999999999
2043,26.101182125430288,1.1151536009913061,27.216335726421594,0.0979,115,133,0.45489976615433814,1.15,52347.99999999999
2044,26.101182125430288,0.9568222929853905,27.05800441841568,0.084,115,133,0.45489976615433814,1.15,52347.99999999999
2045,26.004517106755806,0.7946402086867924,26.7991573154426,0.07,111,137,0.4386105170587412,1.15,50473.49999999999
2046,24.639637233563125,0.6143743424852186,25.25401157604834,0.056,101,147,0.4133471908540363,1.15,47566.299999999996
2047,22.17467571748178,0.4279568634793554,22.602632580961135,0.042,86,162,0.32646453340795073,1.15,37568.2
2048,22.17467571748178,0.285100814636847,22.459776532118628,0.028,82,166,0.3204684907960746,1.15,36878.2
2049,22.17467571748178,0.14251538867524063,22.317191106157022,0.014,80,168,0.31826994183838664,1.15,36625.2
2050,21.95190492829259,0.0,21.95190492829259,0.0,79,169,0.31637119501129257,1.15,36406.7
