facility_idx,product,process,company,location,complex,region,capacity_kt,year_built,total_fossil_kt,ncc_fossil_kt,btx_fossil_kt,low_temp_fossil_kt,elec_mwh,elec_emissions_kt,total_emissions_kt
0,Ethylene,Naphtha Cracker,Lotte Chemical,Daesan,Daesan Complex,Daesan,1100,1991,2374.333837908007,2018.1837622218059,0.0,356.15007568620103,23995.33439572932,0.0,2374.333837908007
1,Ethylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,Daesan Complex,Daesan,850,2021,1834.7125111107325,1559.5056344441225,0.0,275.20687666660984,18541.849305790838,0.0,1834.7125111107325
2,Ethylene,Naphtha Cracker,LG Chem,Daesan,Daesan Complex,Daesan,1300,1991,2806.030899345826,2385.126264443952,0.0,420.9046349018739,28358.122467680103,0.0,2806.030899345826
3,Ethylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,Daesan Complex,Daesan,1525,1991,3291.690093463373,2797.9365794438672,0.0,493.75351401950593,33266.259048624735,0.0,3291.690093463373
4,Ethylene,Naphtha Cracker,Lotte Chemical,Yeosu,Yeosu Complex,Yeosu,1230,1992,2654.9369278425893,2256.6963886662006,0.0,398.2405391763884,26831.146642497326,0.0,2654.9369278425893
5,Ethylene,Naphtha Cracker,LG Chem,Yeosu,Yeosu Complex,Yeosu,1030,2021,2223.23986640477,1889.7538864440544,0.0,333.4859799607155,22468.35857054654,0.0,2223.23986640477
6,Ethylene,Naphtha Cracker,Yeochon NCC,Yeosu,Yeosu Complex,Yeosu,2285,1979,4932.138926927087,4192.318087888024,0.0,739.820839039063,49844.85372203772,0.0,4932.138926927087
7,Ethylene,Naphtha Cracker,GS Caltex,Yeosu,Yeosu Complex,Yeosu,900,2021,1942.6367764701872,1651.2412599996592,0.0,291.3955164705281,19632.546323778533,0.0,1942.6367764701872
8,Ethylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,Ulsan Complex,Ulsan,900,1991,1942.6367764701872,1651.2412599996592,0.0,291.3955164705281,19632.546323778533,0.0,1942.6367764701872
9,Ethylene,Naphtha Cracker,S-Oil,Onsan,Ulsan Complex,Ulsan,182,2018,392.8443259084156,333.91767702215327,0.0,58.92664888626234,3970.1371454752143,0.0,392.8443259084156
10,Ethylene,Naphtha Cracker,SK Geocentric,Ulsan,Ulsan Complex,Ulsan,660,1989,1424.600302744804,1210.9102573330833,0.0,213.69004541172058,14397.20063743759,0.0,1424.600302744804
11,Propylene,Naphtha Cracker,Lotte Chemical,Daesan,Daesan Complex,Daesan,550,1997,1052.8526371051535,894.9247415393804,0.0,157.927895565773,26864.61121009468,0.0,1052.8526371051535
12,Propylene,Naphtha Cracker,HDHyundai Oilbank,Daesan,Daesan Complex,Daesan,420,2011,803.9965592439354,683.3970753573451,0.0,120.5994838865903,20514.794014981395,0.0,803.9965592439354
13,Propylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,Daesan Complex,Daesan,451,2021,863.3391624262258,733.8382880622919,0.0,129.50087436393386,22028.98119227764,0.0,863.3391624262258
14,Propylene,Naphtha Cracker,LG Chem,Daesan,Daesan Complex,Daesan,680,1991,1301.7087149663714,1106.4524077214157,0.0,195.2563072449557,33214.428405207975,0.0,1301.7087149663714
15,Propylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,Daesan Complex,Daesan,1064,1991,2036.7912834179695,1731.272590905274,0.0,305.5186925126954,51970.81150461953,0.0,2036.7912834179695
16,Propylene,Naphtha Cracker,Lotte Chemical,Yeosu,Yeosu Complex,Yeosu,641,1992,1227.0518916080061,1042.9941078668053,0.0,184.05778374120092,31309.483246673986,0.0,1227.0518916080061
17,Propylene,Naphtha Cracker,LG Chem,Yeosu,Yeosu Complex,Yeosu,1300,2021,2488.560778612181,2115.2766618203536,0.0,373.2841167918271,63498.17195113289,0.0,2488.560778612181
18,Propylene,Naphtha Cracker,Yeochon NCC,Yeosu,Yeosu Complex,Yeosu,1289,1979,2467.503725870078,2097.3781669895666,0.0,370.12555888051173,62960.879726931,0.0,2467.503725870078
19,Propylene,Naphtha Cracker,GS Caltex,Yeosu,Yeosu Complex,Yeosu,970,2021,1856.8491963490887,1578.3218168967253,0.0,278.5273794523633,47379.40522507608,0.0,1856.8491963490887
20,Propylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,Ulsan Complex,Ulsan,560,1991,1071.9954123252471,911.1961004764601,0.0,160.79931184878706,27353.05868664186,0.0,1071.9954123252471
21,Propylene,Naphtha Cracker,S-Oil,Onsan,Ulsan Complex,Ulsan,840,2018,1607.9931184878708,1366.7941507146902,0.0,241.1989677731806,41029.58802996279,0.0,1607.9931184878708
22,Propylene,Naphtha Cracker,SK Advanced,Ulsan,Ulsan Complex,Ulsan,600,2016,1148.566513205622,976.2815362247786,0.0,172.28497698084328,29306.848592830564,0.0,1148.566513205622
23,Propylene,Naphtha Cracker,SK Energy,Ulsan,Ulsan Complex,Ulsan,620,1996,1186.8520636458095,1008.824254098938,0.0,178.02780954687142,30283.743545924917,0.0,1186.8520636458095
24,Propylene,Naphtha Cracker,SK Geocentric,Ulsan,Ulsan Complex,Ulsan,380,1989,727.4254583635607,618.3116396090265,0.0,109.1138187545341,18561.00410879269,0.0,727.4254583635607
25,Propylene,Naphtha Cracker,Taekwang Industrial,Ulsan,Ulsan Complex,Ulsan,300,1997,574.283256602811,488.1407681123893,0.0,86.14248849042164,14653.424296415282,0.0,574.283256602811
26,Propylene,Naphtha Cracker,Hyosung Chemical,Ulsan,Ulsan Complex,Ulsan,500,1991,957.138761004685,813.5679468539822,0.0,143.57081415070274,24422.373827358806,0.0,957.138761004685
27,Butadiene,Naphtha Cracker,Lotte Chemical,Daesan,Daesan Complex,Daesan,190,1997,404.15978510885503,343.53581734252674,0.0,60.62396776632825,19410.200375208053,0.0,404.15978510885503
28,Butadiene,Naphtha Cracker,HD Hyundai Chemical,Daesan,Daesan Complex,Daesan,163,2021,346.726552488123,294.71756961490456,0.0,52.00898287321845,16651.908742941647,0.0,346.726552488123
29,Butadiene,Naphtha Cracker,LG Chem,Daesan,Daesan Complex,Daesan,200,1991,425.4313527461632,361.61664983423873,0.0,63.81470291192448,20431.789868640055,0.0,425.4313527461632
30,Butadiene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,Daesan Complex,Daesan,150,1991,319.0735145596224,271.2124873756791,0.0,47.861027183943364,15323.842401480042,0.0,319.0735145596224
31,Butadiene,Naphtha Cracker,Kumho Petrochemical,Yeosu,Yeosu Complex,Yeosu,147,1992,312.6920442684299,265.7882376281654,0.0,46.903806640264484,15017.365553450441,0.0,312.6920442684299
32,Butadiene,Naphtha Cracker,Lotte GS Chemical,Yeosu,Yeosu Complex,Yeosu,130,2022,276.5303792850061,235.05082239225518,0.0,41.479556892750914,13280.663414616036,0.0,276.5303792850061
33,Butadiene,Naphtha Cracker,Lotte Chemical,Yeosu,Yeosu Complex,Yeosu,160,2011,340.3450821969306,289.293319867391,0.0,51.05176232953959,16345.431894912044,0.0,340.3450821969306
34,Butadiene,Naphtha Cracker,LG Chem,Yeosu,Yeosu Complex,Yeosu,306,1991,650.9099697016298,553.2734742463854,0.0,97.63649545524447,31260.638499019286,0.0,650.9099697016298
35,Butadiene,Naphtha Cracker,Yeochon NCC,Yeosu,Yeosu Complex,Yeosu,378,1992,804.0652566902485,683.4554681867112,0.0,120.60978850353726,38616.082851729705,0.0,804.0652566902485
36,Butadiene,Naphtha Cracker,Kumho Petrochemical,Ulsan,Ulsan Complex,Ulsan,90,1979,191.44410873577345,162.72749242540743,0.0,28.716616310366017,9194.305440888025,0.0,191.44410873577345
37,Butadiene,Naphtha Cracker,Daehan Oil Chemical,Ulsan,Ulsan Complex,Ulsan,146,2023,310.56488750469913,263.98015437899426,0.0,46.584733125704865,14915.20660410724,0.0,310.56488750469913
38,Butadiene,Naphtha Cracker,SK Geocentric,Ulsan,Ulsan Complex,Ulsan,130,1989,276.5303792850061,235.05082239225518,0.0,41.479556892750914,13280.663414616036,0.0,276.5303792850061
39,Benzene,BTX Plant,OCI,Gwangyang,Other Regions,Other,200,1995,66.36042471932275,0.0,53.0883397754582,13.27208494386455,1869.2359938125335,0.0,66.36042471932275
40,Benzene,BTX Plant,Lotte Chemical,Daesan,Daesan Complex,Daesan,240,2011,79.6325096631873,0.0,63.70600773054985,15.926501932637462,2243.0831925750404,0.0,79.6325096631873
