year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,46.3498261459252,7.331702490151931,53.68152863607713,0.436,247,15,0.9642541761719038,1.0,73378.2
2026,44.95933136154745,6.823579586885443,51.782910948432885,0.4186,243,19,0.9538597394951801,0.97,70409.584
2027,43.75423588175339,6.364645536579879,50.11888141833327,0.4012,243,19,0.9538597394951801,0.944,68522.3168
2028,42.502790575813414,5.911480855510095,48.41427143132351,0.3838,241,21,0.9443851644712637,0.917,65901.30540000001
2029,41.06198475868842,5.3702867429768855,46.43227150166531,0.3664,233,29,0.9203491794834057,0.891,62403.056099999994
2030,40.32462027368392,5.012597273166747,45.33721754685067,0.349,225,37,0.8692876591360659,0.875,57882.47499999999
2031,39.12640298555159,4.669626839179692,43.796029824731285,0.3351,223,39,0.867539921995732,0.849,56049.621600000006
2032,37.92818569741927,4.338395749071669,42.26658144649094,0.3212,220,42,0.8651022886157924,0.823,54180.47670000001
2033,36.72996840928695,4.0193176523260155,40.74928606161296,0.3073,218,44,0.8637684892192216,0.797,52387.92580000001
2034,35.53175112115463,3.7120077630208614,39.24375888417549,0.2934,216,46,0.862572669070572,0.771,50608.74840000001
2035,34.8404719164629,3.4664265132718874,38.306898429734794,0.2795,215,47,0.8601258370741042,0.756,49483.3752
2036,33.623604030963214,3.0105170335162104,36.63412106447942,0.2516,212,50,0.8532360732945765,0.73,47398.827
2037,32.42605101068233,2.5786404168368744,35.004691427519205,0.2236,209,53,0.8428232393847966,0.704,45152.799999999996
2038,31.228497990401454,2.1732362464321433,33.4017342368336,0.1957,206,56,0.8392541761719038,0.678,43301.080200000004
2039,30.03094497012057,1.790667854970235,31.821612825090803,0.1678,200,62,0.8267624549267791,0.652,41020.7756
2040,27.401487089662517,1.3216186487200836,28.7231057383826,0.1398,180,82,0.7415004783280595,0.6,33856.2
2041,21.57864456266631,0.9998893365691531,22.578533899235463,0.1259,157,105,0.6195912134814925,0.6,28289.94
2042,19.26788291780932,0.8152788599075353,20.083161777716857,0.1119,140,122,0.5677846051953787,0.6,25924.5
2043,19.26788291780932,0.7130329727274192,19.98091589053674,0.0979,139,123,0.5640591655015086,0.6,25754.399999999998
2044,19.26788291780932,0.611795400501565,19.879678318310887,0.084,139,123,0.5640591655015086,0.6,25754.399999999998
2045,19.232579171858642,0.5088391396384631,19.741418311497103,0.07,135,127,0.5490654205607477,0.6,25069.8
2046,18.734101305127403,0.3992783671238397,19.13337967225124,0.056,125,137,0.5258113179777762,0.6,24008.04
2047,17.83385449055856,0.28747091862851926,18.12132540918708,0.042,110,152,0.4458385458826993,0.6,20356.559999999998
2048,17.833854490558558,0.19157286201894577,18.025427352577506,0.028,106,156,0.44031937596585474,0.6,20104.559999999998
2049,17.833854490558558,0.09577364159196262,17.929628132150523,0.014,104,158,0.4382956803296784,0.6,20012.16
2050,17.752494724072076,0.0,17.752494724072076,0.0,103,159,0.4365479431893443,0.6,19932.359999999997
