year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,57.82112069636608,8.372000000000002,66.19312069636608,0.436,248,0,1.0,1.0,100066.0
2026,39.954394401188964,5.556834352293579,45.511228753482534,0.4188,248,0,1.0,0.691,69145.606
2027,39.954394401188964,5.328616704587157,45.28301110577612,0.4016,248,0,1.0,0.691,69145.606
2028,39.954394401188964,5.100399056880733,45.054793458069696,0.3843999999999999,248,0,1.0,0.691,69145.606
2029,39.954394401188964,4.872181409174311,44.826575810363266,0.3671999999999999,248,0,1.0,0.691,69145.606
2030,39.954394401188964,4.643963761467891,44.59835816265685,0.35,248,0,1.0,0.691,69145.606
2031,39.954394401188964,4.458205211009173,44.412599612198136,0.3359999999999999,248,0,1.0,0.691,69145.606
2032,39.954394401188964,4.272446660550459,44.22684106173942,0.322,248,0,1.0,0.691,69145.606
2033,39.954394401188964,4.086688110091743,44.041082511280706,0.308,248,0,1.0,0.691,69145.606
2034,39.954394401188964,3.9009295596330276,43.85532396082199,0.294,248,0,1.0,0.691,69145.606
2035,39.954394401188964,3.7151710091743126,43.669565410363276,0.28,248,0,1.0,0.691,69145.606
2036,39.954394401188964,3.5028755229357804,43.45726992412474,0.264,248,0,1.0,0.691,69145.606
2037,39.954394401188964,3.290580036697248,43.244974437886206,0.248,248,0,1.0,0.691,69145.606
2038,39.954394401188964,3.0782845504587164,43.032678951647675,0.232,248,0,1.0,0.691,69145.606
2039,39.954394401188964,2.8659890642201837,42.82038346540915,0.216,248,0,1.0,0.691,69145.606
2040,39.954394401188964,2.653693577981652,42.60808797917061,0.2,248,0,1.0,0.691,69145.606
2041,39.954394401188964,2.4413980917431193,42.39579249293208,0.184,248,0,1.0,0.691,69145.606
2042,39.954394401188964,2.2291026055045875,42.18349700669355,0.168,248,0,1.0,0.691,69145.606
2043,39.954394401188964,2.0168071192660553,41.97120152045502,0.152,248,0,1.0,0.691,69145.606
2044,39.954394401188964,1.8045116330275233,41.75890603421649,0.136,248,0,1.0,0.691,69145.606
2045,39.954394401188964,1.5922161467889913,41.54661054797795,0.12,248,0,1.0,0.691,69145.606
2046,39.954394401188964,1.4595314678899083,41.413925869078874,0.11,248,0,1.0,0.691,69145.606
2047,39.954394401188964,1.326846788990826,41.28124119017979,0.1,248,0,1.0,0.691,69145.606
2048,39.954394401188964,1.1941621100917432,41.1485565112807,0.09,248,0,1.0,0.691,69145.606
2049,39.954394401188964,1.0614774311926607,41.01587183238162,0.08,248,0,1.0,0.691,69145.606
2050,39.954394401188964,0.9287927522935782,40.88318715348254,0.07,248,0,1.0,0.691,69145.606
