facility_id,company,location,product,process,total_emissions_kt,tech_heat_pump_pct,tech_ncc_h2_pct,tech_ncc_elec_pct,tech_re_ppa_pct,abatement_mt,emissions_2050_kt
1,Lotte Chemical,Daesan,Ethylene,Naphtha Cracker,2482.312842688789,0.0,86.13226886045526,0.0,61.572492193238915,1.5556950664324831,926.6177762563057
2,HD Hyundai Chemical,Daesan,Ethylene,Naphtha Cracker,1918.150832986791,0.0,86.13226886045524,0.0,61.572492193238915,1.202128005879646,716.0228271071451
3,LG Chem,Daesan,Ethylene,Naphtha Cracker,2933.6424504503866,0.0,86.13226886045526,0.0,61.572492193238915,1.8385487148747528,1095.093735575634
4,Hanwha TotalEnergies,Daesan,Ethylene,Naphtha Cracker,3441.3882591821844,0.0,86.13226886045527,0.0,61.572492193238915,2.1567590693723067,1284.6291898098775
5,Lotte Chemical,Yeosu,Ethylene,Naphtha Cracker,2775.6770877338267,0.0,86.13226886045526,0.0,61.572492193238915,1.7395499379199584,1036.1271498138683
6,LG Chem,Yeosu,Ethylene,Naphtha Cracker,2324.347479972229,0.0,86.13226886045527,0.0,61.572492193238915,1.4566962894776891,867.6511904945398
7,Yeochon NCC,Yeosu,Ethylene,Naphtha Cracker,5156.440768676257,0.0,86.13226886045524,0.0,61.572492193238915,3.231602933452931,1924.8378352233258
8,GS Caltex,Yeosu,Ethylene,Naphtha Cracker,2030.9832349271903,0.0,86.13226886045526,0.0,61.572492193238915,1.2728414179902134,758.141816936977
9,Daehan Oil Chemical,Onsan,Ethylene,Naphtha Cracker,2030.9832349271903,0.0,86.13226886045526,0.0,61.572492193238915,1.2728414179902134,758.141816936977
10,S-Oil,Onsan,Ethylene,Naphtha Cracker,410.7099430630541,0.0,86.13226886045524,0.0,61.572492193238915,0.2573968200824654,153.31312298058867
11,SK Geocentric,Ulsan,Ethylene,Naphtha Cracker,1489.387705613273,0.0,86.13226886045526,0.0,61.57249219323893,0.9334170398594899,555.9706657537832
12,Lotte Chemical,Daesan,Propylene,Naphtha Cracker,1173.7433875505797,0.0,86.13226886045527,0.0,61.572492193238915,0.7264678039539978,447.2755835965819
13,HDHyundai Oilbank,Daesan,Propylene,Naphtha Cracker,896.3131323113518,0.0,86.13226886045526,0.0,61.57249219323893,0.5547572321103256,341.55590020102613
14,HD Hyundai Chemical,Daesan,Propylene,Naphtha Cracker,962.4695777914752,0.0,86.13226886045524,0.0,61.572492193238915,0.595703599242278,366.76597854919726
15,LG Chem,Daesan,Propylene,Naphtha Cracker,1451.1736427898074,0.0,86.13226886045526,0.0,61.572492193238915,0.8981783757976698,552.9952669921377
16,Hanwha TotalEnergies,Daesan,Propylene,Naphtha Cracker,2270.6599351887576,0.0,86.13226886045524,0.0,61.572492193238915,1.4053849880128242,865.2749471759334
17,Lotte Chemical,Yeosu,Propylene,Naphtha Cracker,1367.944566218039,0.0,86.13226886045526,0.0,61.572492193238915,0.8466652042445681,521.2793619734708
18,LG Chem,Yeosu,Propylene,Naphtha Cracker,2774.3025523922793,0.0,86.13226886045526,0.0,61.572492193238915,1.7171057184367218,1057.1968339555574
19,Yeochon NCC,Yeosu,Propylene,Naphtha Cracker,2750.8276846412673,0.0,86.13226886045526,0.0,61.572492193238915,1.7025763623576418,1048.2513222836255
20,GS Caltex,Yeosu,Propylene,Naphtha Cracker,2070.056519861931,0.0,86.13226886045526,0.0,61.57249219323893,1.2812250360643231,788.8314837976079
21,Daehan Oil Chemical,Onsan,Propylene,Naphtha Cracker,1195.0841764151355,0.0,86.13226886045527,0.0,61.572492193238915,0.739676309480434,455.4078669347016
22,S-Oil,Onsan,Propylene,Naphtha Cracker,1792.6262646227035,0.0,86.13226886045526,0.0,61.57249219323893,1.1095144642206511,683.1118004020523
23,SK Advanced,Ulsan,Propylene,Naphtha Cracker,1280.4473318733594,0.0,86.13226886045527,0.0,61.57249219323893,0.7925103315861792,487.93700028718024
24,SK Energy,Ulsan,Propylene,Naphtha Cracker,1323.1289096024714,0.0,86.13226886045526,0.0,61.57249219323893,0.8189273426390519,504.2015669634195
25,SK Geocentric,Ulsan,Propylene,Naphtha Cracker,810.9499768531277,0.0,86.13226886045526,0.0,61.572492193238915,0.5019232100045802,309.02676684854754
26,Taekwang Industrial,Ulsan,Propylene,Naphtha Cracker,640.2236659366797,0.0,86.13226886045527,0.0,61.57249219323893,0.3962551657930896,243.96850014359012
27,Hyosung Chemical,Ulsan,Propylene,Naphtha Cracker,1067.0394432277994,0.0,86.13226886045526,0.0,61.57249219323893,0.6604252763218159,406.61416690598355
28,Lotte Chemical,Daesan,Butadiene,Naphtha Cracker,491.50568679729133,0.0,86.13226886045524,0.0,61.57249219323893,0.3110081788684673,180.497507928824
29,HD Hyundai Chemical,Daesan,Butadiene,Naphtha Cracker,421.6601418313603,0.0,86.13226886045526,0.0,61.57249219323893,0.26681227976610616,154.84786206525416
30,LG Chem,Daesan,Butadiene,Naphtha Cracker,517.3744071550435,0.0,86.13226886045527,0.0,61.572492193238915,0.32737703038786037,189.99737676718314
31,Hanwha TotalEnergies,Daesan,Butadiene,Naphtha Cracker,388.0308053662826,0.0,86.13226886045526,0.0,61.572492193238915,0.24553277279089525,142.49803257538736
32,Kumho Petrochemical,Yeosu,Butadiene,Naphtha Cracker,380.2701892589569,0.0,86.13226886045526,0.0,61.572492193238915,0.24062211733507735,139.64807192387957
33,Lotte GS Chemical,Yeosu,Butadiene,Naphtha Cracker,336.2933646507783,0.0,86.13226886045524,0.0,61.572492193238915,0.2127950697521092,123.49829489866909
34,Lotte Chemical,Yeosu,Butadiene,Naphtha Cracker,413.8995257240348,0.0,86.13226886045526,0.0,61.572492193238915,0.26190162431028824,151.99790141374655
35,LG Chem,Yeosu,Butadiene,Naphtha Cracker,791.5828429472166,0.0,86.13226886045526,0.0,61.572492193238915,0.5008868564934262,290.69598645379034
36,Yeochon NCC,Yeosu,Butadiene,Naphtha Cracker,977.837629523032,0.0,86.13226886045527,0.0,61.572492193238915,0.6187425874330561,359.0950420899759
37,Kumho Petrochemical,Ulsan,Butadiene,Naphtha Cracker,232.8184832197696,0.0,86.13226886045526,0.0,61.572492193238915,0.14731966367453714,85.49881954523246
38,Daehan Oil Chemical,Ulsan,Butadiene,Naphtha Cracker,377.6833172231817,0.0,86.13226886045527,0.0,61.57249219323893,0.23898523218313805,138.69808504004362
39,SK Geocentric,Ulsan,Butadiene,Naphtha Cracker,336.2933646507783,0.0,86.13226886045524,0.0,61.572492193238915,0.2127950697521092,123.49829489866909
40,OCI,Gwangyang,Benzene,BTX Plant,74.77198669147916,35.27227352834411,0.0,0.0,61.572492193238915,0.026435334677519448,48.33665201395971
41,Lotte Chemical,Daesan,Benzene,BTX Plant,89.72638402977498,35.27227352834411,0.0,0.0,61.572492193238915,0.03172240161302333,58.00398241675165
42,HD Hyundai Chemical,Daesan,Benzene,BTX Plant,153.28257271753228,35.27227352834411,0.0,0.0,61.572492193238915,0.054192436088914865,99.09013662861742
43,HDHyundai Oilbank,Daesan,Benzene,BTX Plant,126.36465750859978,35.27227352834411,0.0,0.0,61.572492193238915,0.04467571560500787,81.68894190359191
44,LG Chem,Daesan,Benzene,BTX Plant,100.94218203349686,35.27227352834411,0.0,0.0,61.572492193238915,0.03568770181465125,65.25448021884561
45,Hanwha TotalEnergies,Daesan,Benzene,BTX Plant,473.68053569052046,35.27227352834411,0.0,0.0,61.572492193238915,0.1674678451820857,306.2126905084348
46,Lotte Chemical,Yeosu,Benzene,BTX Plant,87.85708436248801,35.27227352834411,0.0,0.0,61.572492193238915,0.03106151824608535,56.79556611640266
47,LG Chem,Yeosu,Benzene,BTX Plant,235.53175807815933,35.27227352834411,0.0,0.0,61.57249219323893,0.08327130423418626,152.26045384397307
48,Yeochon NCC,Yeosu,Benzene,BTX Plant,170.8539895900299,35.27227352834411,0.0,0.0,61.572492193238915,0.06040473973813194,110.44924985189795
49,GS Caltex,Yeosu,Benzene,BTX Plant,347.6897381153781,35.27227352834411,0.0,0.0,61.5724921932389,0.12292430625046541,224.76543186491267
