facility_id,company,location,product,process,total_emissions_kt,tech_heat_pump_pct,tech_ncc_h2_pct,tech_ncc_elec_pct,tech_re_ppa_pct,abatement_mt,emissions_2050_kt
1,Lotte Chemical,Daesan,Ethylene,Naphtha Cracker,2482.312842688789,0.0,43.062428178844755,0.0,63.98775510204081,0.8136341118673378,1668.6787308214512
2,HD Hyundai Chemical,Daesan,Ethylene,Naphtha Cracker,1918.150832986791,0.0,43.062428178844755,0.0,63.9877551020408,0.6287172682611246,1289.4335647256664
3,LG Chem,Daesan,Ethylene,Naphtha Cracker,2933.6424504503866,0.0,43.06242817884476,0.0,63.98775510204081,0.9615675867523082,1972.0748636980784
4,Hanwha TotalEnergies,Daesan,Ethylene,Naphtha Cracker,3441.3882591821844,0.0,43.06242817884476,0.0,63.98775510204081,1.1279927459979002,2313.395513184284
5,Lotte Chemical,Yeosu,Ethylene,Naphtha Cracker,2775.6770877338267,0.0,43.062428178844755,0.0,63.98775510204081,0.9097908705425687,1865.886217191258
6,LG Chem,Yeosu,Ethylene,Naphtha Cracker,2324.347479972229,0.0,43.06242817884476,0.0,63.9877551020408,0.7618573956575981,1562.4900843146308
7,Yeochon NCC,Yeosu,Ethylene,Naphtha Cracker,5156.440768676257,0.0,43.062428178844755,0.0,63.98775510204081,1.6901399505607881,3466.300818115469
8,GS Caltex,Yeosu,Ethylene,Naphtha Cracker,2030.9832349271903,0.0,43.062428178844755,0.0,63.98775510204081,0.6657006369823673,1365.282597944823
9,Daehan Oil Chemical,Onsan,Ethylene,Naphtha Cracker,2030.9832349271903,0.0,43.062428178844755,0.0,63.98775510204081,0.6657006369823673,1365.282597944823
10,S-Oil,Onsan,Ethylene,Naphtha Cracker,410.7099430630541,0.0,43.062428178844755,0.0,63.9877551020408,0.13461946214532314,276.09048091773093
11,SK Geocentric,Ulsan,Ethylene,Naphtha Cracker,1489.387705613273,0.0,43.062428178844755,0.0,63.98775510204081,0.48818046712040264,1001.2072384928704
12,Lotte Chemical,Daesan,Propylene,Naphtha Cracker,1173.7433875505797,0.0,43.062428178844755,0.0,63.98775510204081,0.4033433985730859,770.3999889774938
13,HDHyundai Oilbank,Daesan,Propylene,Naphtha Cracker,896.3131323113518,0.0,43.062428178844755,0.0,63.98775510204081,0.30800768618308383,588.3054461282679
14,HD Hyundai Chemical,Daesan,Propylene,Naphtha Cracker,962.4695777914752,0.0,43.062428178844755,0.0,63.98775510204081,0.3307415868299304,631.7279909615448
15,LG Chem,Daesan,Propylene,Naphtha Cracker,1451.1736427898074,0.0,43.06242817884476,0.0,63.98775510204081,0.49867911096308803,952.4945318267194
16,Hanwha TotalEnergies,Daesan,Propylene,Naphtha Cracker,2270.6599351887576,0.0,43.062428178844755,0.0,63.98775510204081,0.7802861383304788,1490.3737968582786
17,Lotte Chemical,Yeosu,Propylene,Naphtha Cracker,1367.944566218039,0.0,43.062428178844755,0.0,63.9877551020408,0.47007839724608735,897.8661689719515
18,LG Chem,Yeosu,Propylene,Naphtha Cracker,2774.3025523922793,0.0,43.062428178844755,0.0,63.98775510204081,0.9533571239000213,1820.945428492258
19,Yeochon NCC,Yeosu,Propylene,Naphtha Cracker,2750.8276846412673,0.0,43.062428178844755,0.0,63.98775510204081,0.9452902559285594,1805.5374287127079
20,GS Caltex,Yeosu,Propylene,Naphtha Cracker,2070.056519861931,0.0,43.062428178844755,0.0,63.98775510204081,0.7113510847561696,1358.7054351057614
21,Daehan Oil Chemical,Onsan,Propylene,Naphtha Cracker,1195.0841764151355,0.0,43.06242817884476,0.0,63.98775510204081,0.4106769149107784,784.4072615043572
22,S-Oil,Onsan,Propylene,Naphtha Cracker,1792.6262646227035,0.0,43.062428178844755,0.0,63.98775510204081,0.6160153723661677,1176.6108922565359
23,SK Advanced,Ulsan,Propylene,Naphtha Cracker,1280.4473318733594,0.0,43.062428178844755,0.0,63.98775510204081,0.4400109802615482,840.4363516118112
24,SK Energy,Ulsan,Propylene,Naphtha Cracker,1323.1289096024714,0.0,43.06242817884476,0.0,63.98775510204082,0.4546780129369332,868.4508966655382
25,SK Geocentric,Ulsan,Propylene,Naphtha Cracker,810.9499768531277,0.0,43.06242817884476,0.0,63.9877551020408,0.27867362083231384,532.2763560208139
26,Taekwang Industrial,Ulsan,Propylene,Naphtha Cracker,640.2236659366797,0.0,43.062428178844755,0.0,63.98775510204081,0.2200054901307741,420.2181758059056
27,Hyosung Chemical,Ulsan,Propylene,Naphtha Cracker,1067.0394432277994,0.0,43.062428178844755,0.0,63.9877551020408,0.3666758168846234,700.3636263431761
28,Lotte Chemical,Daesan,Butadiene,Naphtha Cracker,491.50568679729133,0.0,43.062428178844755,0.0,63.98775510204081,0.18449317842593146,307.0125083713599
29,HD Hyundai Chemical,Daesan,Butadiene,Naphtha Cracker,421.6601418313603,0.0,43.062428178844755,0.0,63.98775510204081,0.15827572675487805,263.38441507648224
30,LG Chem,Daesan,Butadiene,Naphtha Cracker,517.3744071550435,0.0,43.06242817884476,0.0,63.9877551020408,0.19420334571150683,323.1710614435367
31,Hanwha TotalEnergies,Daesan,Butadiene,Naphtha Cracker,388.0308053662826,0.0,43.06242817884476,0.0,63.98775510204081,0.14565250928363013,242.37829608265247
32,Kumho Petrochemical,Yeosu,Butadiene,Naphtha Cracker,380.2701892589569,0.0,43.062428178844755,0.0,63.98775510204081,0.1427394590979575,237.53073016099944
33,Lotte GS Chemical,Yeosu,Butadiene,Naphtha Cracker,336.2933646507783,0.0,43.062428178844755,0.0,63.9877551020408,0.12623217471247944,210.06118993829887
34,Lotte Chemical,Yeosu,Butadiene,Naphtha Cracker,413.8995257240348,0.0,43.062428178844755,0.0,63.9877551020408,0.15536267656920544,258.5368491548294
35,LG Chem,Yeosu,Butadiene,Naphtha Cracker,791.5828429472166,0.0,43.062428178844755,0.0,63.98775510204081,0.2971311189386054,494.4517240086112
36,Yeochon NCC,Yeosu,Butadiene,Naphtha Cracker,977.837629523032,0.0,43.06242817884476,0.0,63.98775510204081,0.3670443233947479,610.793306128284
37,Kumho Petrochemical,Ulsan,Butadiene,Naphtha Cracker,232.8184832197696,0.0,43.062428178844755,0.0,63.98775510204081,0.08739150557017805,145.42697764959155
38,Daehan Oil Chemical,Ulsan,Butadiene,Naphtha Cracker,377.6833172231817,0.0,43.06242817884476,0.0,63.98775510204081,0.14176844236939998,235.91487485378173
39,SK Geocentric,Ulsan,Butadiene,Naphtha Cracker,336.2933646507783,0.0,43.062428178844755,0.0,63.9877551020408,0.12623217471247944,210.06118993829887
40,OCI,Gwangyang,Benzene,BTX Plant,74.77198669147916,38.875769705908866,0.0,0.0,63.9877551020408,0.02881007052127844,45.961916170200716
