year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd
2025,66.2,66.19312069636608,0.0,0.0,0,0.0,0.0,0.0,0.0,66.19312069636608,0,0.0
2026,63.620000000000005,63.88696366263106,0.0,0.0,0,0.2669636626310563,0.0,0.0,0.2669636626310563,63.620000000000005,0,0.0
2027,61.04,61.862753232782424,0.0,0.0,0,0.822753232782425,0.0,0.0,0.822753232782425,61.04,0,0.0
2028,58.46,59.79051461801725,0.0,0.0,0,1.3305146180172471,0.0,0.0,1.3305146180172471,58.46,0,0.0
2029,55.879999999999995,57.800982701930074,0.0,0.0,0,1.920982701930079,0.0,0.0,1.920982701930079,55.879999999999995,0,0.0
2030,53.3,56.47404253592583,0.0,0.0,0,3.1740425359258353,0.0,0.0,3.1740425359258353,53.3,0,0.0
2031,51.339999999999996,54.567723691398285,0.0,0.0,0,3.227723691398289,0.0,0.0,3.227723691398289,51.339999999999996,0,0.0
2032,49.379999999999995,52.67538378265056,0.0,0.0,0,3.2953837826505676,0.0,0.0,3.2953837826505676,49.379999999999995,0,0.0
2033,47.42,50.797022809682666,0.0,0.0,0,3.377022809682664,0.0,0.0,3.377022809682664,47.42,0,0.0
2034,45.46,48.93264077249457,0.0,0.0,0,3.4726407724945716,0.0,0.0,3.4726407724945716,45.46,0,0.0
2035,43.5,47.77741165012249,0.0,0.0,0,4.277411650122488,0.0,0.0,4.277411650122488,43.5,0,0.0
2036,40.18,45.909995723026135,0.1637608464102387,0.0,0,5.566234876615897,0.0,0.0007614879358076099,5.729995723026136,40.18,0,131.00867712819093
2037,36.86,44.058555722535296,1.4689582539378532,0.0,0,5.566234876615897,0.0,0.0068306558808110185,7.198555722535296,36.86,0,1292.7876693769956
2038,33.54,42.22309164864997,1.4689582539378532,0.2654985730942738,0,5.566234876615897,26.10538124648307,0.0068306558808110185,8.68309164864997,33.54,0,2531.5726229598963
2039,30.22,40.40360350137014,1.4689582539378532,1.766010425814447,0,5.566234876615897,173.64453192288877,0.0068306558808110185,10.183603501370143,30.22,0,4572.268742659331
2040,26.9,36.99689260130588,1.4689582539378532,1.766010425814447,0,5.566234876615897,173.64453192288877,0.0068306558808110185,10.183603501370143,26.813289099935737,0,4572.268742659331
2041,24.2,36.812554986626985,1.4689582539378532,4.194961911071289,0,5.566234876615897,412.4733279229556,0.0068306558808110185,12.612554986626986,24.2,0,7875.642762608637
2042,21.5,36.62821737194808,1.4689582539378532,6.7106242963923854,0,5.566234876615897,659.8280496107635,0.0068306558808110185,15.128217371948082,21.5,0,11296.943606645327
2043,18.8,36.44387975726919,1.4776657479584094,9.217579187692934,0,5.566234876615897,906.3265992730172,0.006871145728006605,17.643879757269186,18.8,0,14713.368254030516
2044,16.1,36.25954214259029,1.5152845297292448,11.695622791243203,0,5.566234876615897,1149.9824210808358,0.007046073063240989,20.15954214259029,16.1,0,18113.60258027555
2045,13.4,36.07520452791139,1.55290331150008,14.173666394793468,0,5.566234876615897,1393.6382428886543,0.0072210003984753725,22.67520452791139,13.399999999999999,0,21513.836906520577
2046,10.72,35.95999351873708,1.576415050106852,16.714943647012387,0,5.566234876615897,1643.5115689446602,0.007330329982996862,25.239993518737084,10.719999999999995,0,24988.783360423724
2047,8.04,35.84478250956276,1.599926788713624,19.256220899231295,0,5.566234876615897,1893.384895000665,0.007439659567518352,27.804782509562763,8.04,0,28463.729814326856
2048,5.359999999999999,35.72957150038845,1.6234385273203962,21.797498151450213,0,5.566234876615897,2143.2582210566707,0.007548989152039842,30.369571500388453,5.359999999999999,0,31938.676268230003
2049,2.6799999999999997,35.614360491214136,1.6469502659271682,24.338775403669125,0,5.566234876615897,2393.1315471126763,0.007658318736561333,32.934360491214136,2.6799999999999997,0,35413.622722133136
2050,0.0,35.499149482039826,1.67046200453394,26.880052655888043,0,5.566234876615897,2643.004873168682,0.007767648321082822,35.499149482039826,0.0,0,38888.56917603628
