category,parameter,value,unit,source
Emission Factors,Naphtha EF,0.0542,tCO2/GJ,IPCC 2019
Emission Factors,LNG EF,0.0561,tCO2/GJ,IPCC 2019
Emission Factors,Grid EF (2025),0.436,tCO2/MWh,Korea Power Exchange
Emission Factors,Grid EF (2050),0.0,tCO2/MWh,Korea NDC Target
Energy Prices,H2 Price (2025),4.579024199406941,USD/kg,LCOH Calculation
Energy Prices,H2 Price (2050),2.0055446263899044,USD/kg,LCOH Calculation
Energy Prices,RE Price (2025),65.0,USD/MWh,Korea RE PPA Market
Energy Prices,RE Price (2050),29.999999999999968,USD/MWh,Learning Curve Projection
Technology CAPEX,Heat_Pump CAPEX (2025),800.0,M USD/MtCO2,COP 4.0 (Kosmadakis 2020); 50% CAPEX decline by 2050
Technology CAPEX,Heat_Pump CAPEX (2050),400.0,M USD/MtCO2,COP 4.0 (Kosmadakis 2020); 50% CAPEX decline by 2050
Technology CAPEX,NCC-H2 CAPEX (2025),1700.0,M USD/MtCO2,H2 0.2 t/t-C2H4; 50% CAPEX decline by 2050
Technology CAPEX,NCC-H2 CAPEX (2050),850.0,M USD/MtCO2,H2 0.2 t/t-C2H4; 50% CAPEX decline by 2050
Technology CAPEX,NCC-Electricity CAPEX (2025),1500.0,M USD/MtCO2,5.0 MWh/t-C2H4 (BASF/SABIC/Linde); 50% CAPEX decline by 2050
Technology CAPEX,NCC-Electricity CAPEX (2050),750.0,M USD/MtCO2,5.0 MWh/t-C2H4 (BASF/SABIC/Linde); 50% CAPEX decline by 2050
Technology CAPEX,RE_PPA CAPEX (2025),0.0,M USD/MtCO2,Renewable PPA; No CAPEX
Technology CAPEX,RE_PPA CAPEX (2050),0.0,M USD/MtCO2,Renewable PPA; No CAPEX
Technology CAPEX,RDH CAPEX (2025),900.0,M USD/MtCO2,RotoDynamic Heater (Coolbrook); 50% CAPEX decline by 2050
Technology CAPEX,RDH CAPEX (2050),450.0,M USD/MtCO2,RotoDynamic Heater (Coolbrook); 50% CAPEX decline by 2050
Policy Targets,Target 2025,66.2,MtCO2,Korea NDC
Policy Targets,Target 2030,53.3,MtCO2,Korea NDC
Policy Targets,Target 2035,43.5,MtCO2,Korea NDC
Policy Targets,Target 2040,26.9,MtCO2,Korea NDC
Policy Targets,Target 2045,13.4,MtCO2,Korea NDC
Policy Targets,Target 2050,0.0,MtCO2,Korea NDC
Facilities,Total Facilities,248.0,count,KPIA Database
Facilities,NCC Facilities,41.0,count,KPIA Database
Facilities,BTX Facilities,47.0,count,KPIA Database
