scenario,year,region,bau_emissions_tco2,emissions_tco2,abatement_tco2,abatement_mt,capex_usd,total_cost_usd,annual_capex_usd,annual_opex_usd,annual_new_energy_usd,annual_fuel_savings_usd,elec_demand_mwh,h2_demand_t
shaheen_ncc_h2_15c,2025,Daesan,17217485.657279864,17217485.657279864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9752183.842566231,0.0
shaheen_ncc_h2_15c,2025,Yeosu,22409780.310492523,22409780.310492523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15277933.230763266,0.0
shaheen_ncc_h2_15c,2025,Ulsan,19244286.3271435,19244286.3271435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13261121.675682966,0.0
shaheen_ncc_h2_15c,2025,Other,375812.18112740014,375812.18112740014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476689.4581816963,0.0
shaheen_ncc_h2_15c,2026,Daesan,19800108.505871844,15438809.767574668,4187002.4107135856,4.1870024107135855,1796759999.9999995,2657485177.9662423,71870399.99999999,63842939.999999985,3087406047.4784694,565634209.512227,18552751.130466282,591675.0
shaheen_ncc_h2_15c,2026,Yeosu,25771247.357066404,21906942.704269707,3571230.3656693213,3.5712303656693214,1575159600.0,2289301890.309227,63006384.0,55801956.0,2661554666.7366366,491061116.4274101,23987070.084056046,508760.0
shaheen_ncc_h2_15c,2026,Ulsan,22130929.276215024,18439373.926303636,3448185.797514336,3.4481857975143364,2028986399.9999995,2438423041.1418614,81793151.99999999,69957719.99999999,3017333386.211066,730661217.069204,25046365.13151307,540959.9999999999
shaheen_ncc_h2_15c,2026,Other,432184.00829651015,636212.5841671958,-213141.9872414026,-0.2131419872414026,162287999.99999997,30371348.348649606,6491519.999999999,4868639.999999999,61234801.46468506,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2027,Daesan,19800108.505871844,13490453.578931006,5963694.540948855,5.963694540948855,2007026000.0,3275150965.2630215,80281039.99999999,72588057.49999999,3784156033.956517,661874166.1934955,19067670.96859712,768775.0
shaheen_ncc_h2_15c,2027,Yeosu,25771247.357066404,21489567.684807133,3695531.0980045297,3.6955310980045297,1509527950.0,2201663124.94824,60381118.0,53476874.5,2578866248.87565,491061116.4274101,23987070.084056046,508760.0
shaheen_ncc_h2_15c,2027,Ulsan,22130929.276215024,18003567.173015308,3640622.9984056074,3.6406229984056075,1944767299.9999995,2338499120.295159,78401203.99999999,67052474.999999985,2923706658.364363,730661217.069204,25046365.13151307,540959.9999999999
shaheen_ncc_h2_15c,2027,Other,432184.00829651015,609767.0539127542,-195809.86835767806,-0.19580986835767805,155525999.99999997,28033149.619796764,6221039.999999999,4665779.999999999,59369942.735832214,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2028,Daesan,19800108.505871844,13158676.104077416,6122491.822806456,6.122491822806456,1919764000.0,3150665325.402511,76790559.99999999,69432054.99999999,3666316876.596007,661874166.1934955,19067670.96859712,768775.0
