facility_id,company,location,product,process,capacity_kt,year_built,stranding_year,stranded_value_usd,scenario,budget_scenario
Unknown,Lotte Chemical,Daesan,Ethylene,Naphtha Cracker,1100,1991,2030,82500000.0,shaheen_ncc_h2_15c,1.5C
Unknown,HD Hyundai Chemical,Daesan,Ethylene,Naphtha Cracker,850,2021,2030,1976250000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,Ethylene,Naphtha Cracker,1300,1991,2030,97500000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha TotalEnergies,Daesan,Ethylene,Naphtha Cracker,1525,1991,2030,114375000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Yeosu,Ethylene,Naphtha Cracker,1230,1992,2030,184500000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,Ethylene,Naphtha Cracker,1030,2021,2030,2394750000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Yeochon NCC,Yeosu,Ethylene,Naphtha Cracker,2285,1979,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,GS Caltex,Yeosu,Ethylene,Naphtha Cracker,900,2021,2030,2092500000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Daehan Oil Chemical,Onsan,Ethylene,Naphtha Cracker,900,1991,2030,67500000.0,shaheen_ncc_h2_15c,1.5C
Unknown,S-Oil,Onsan,Ethylene,Naphtha Cracker,182,2018,2030,382200000.0,shaheen_ncc_h2_15c,1.5C
Unknown,SK Geocentric,Ulsan,Ethylene,Naphtha Cracker,660,1989,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Daesan,Propylene,Naphtha Cracker,550,1997,2030,288750000.0,shaheen_ncc_h2_15c,1.5C
Unknown,HDHyundai Oilbank,Daesan,Propylene,Naphtha Cracker,420,2011,2030,661500000.0,shaheen_ncc_h2_15c,1.5C
Unknown,HD Hyundai Chemical,Daesan,Propylene,Naphtha Cracker,451,2021,2030,1048575000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,Propylene,Naphtha Cracker,680,1991,2030,51000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha TotalEnergies,Daesan,Propylene,Naphtha Cracker,1064,1991,2030,79800000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Yeosu,Propylene,Naphtha Cracker,641,1992,2030,96150000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,Propylene,Naphtha Cracker,1300,2021,2030,3022500000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Yeochon NCC,Yeosu,Propylene,Naphtha Cracker,1289,1979,2030,0.0,shaheen_ncc_h2_15c,1.5C
