year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,40.220541665140175,5.830820963127295,46.051362628267476,0.436,232,16,0.9595666859872484,1.0,96020.0
2026,40.82384979011727,5.68025131380786,46.50410110392513,0.4188,228,20,0.948274139068215,1.015,96313.34999999999
2027,41.42715791509438,5.527461984873494,46.954619899967874,0.4016,228,20,0.948274139068215,1.03,97736.7
2028,42.07068658173662,5.3695026334598435,47.44018921519646,0.3843999999999999,226,22,0.9379809325844942,1.046,98177.56
2029,36.75541143995787,4.724329931516511,41.47974137147438,0.3671999999999999,215,33,0.8752523334599165,1.061,92925.563
2030,37.30968720154064,4.557609039908654,41.867296241449296,0.35,207,41,0.8197789458957089,1.077,88348.46399999999
2031,37.79467849292558,4.4317739807384795,42.226452473664054,0.3359999999999999,205,43,0.8178801990686148,1.091,89289.622
2032,38.27966978431051,4.300994759327525,42.580664543638036,0.322,202,46,0.8152319469150361,1.105,90142.58499999999
2033,38.76466107569543,4.165826979325088,42.93048805502052,0.308,200,48,0.8137829032838326,1.119,91122.408
2034,39.28429460217928,4.029308235768076,43.31360283794736,0.294,198,50,0.8124837607179262,1.134,92196.468
2035,39.803928128663145,3.886786278598293,43.69071440726144,0.28,197,51,0.8098255151599945,1.149,93110.364
2036,40.15535614907165,3.6954806745281696,43.85083682359982,0.264,194,54,0.8023404552995024,1.16,93132.92
2037,40.57075638509653,3.504559156489432,44.075315541585965,0.248,191,57,0.7910279215717626,1.172,92769.65999999999
2038,40.951539934786005,3.3086089546671063,44.26014888945311,0.232,188,60,0.7871504806827494,1.183,93181.361
2039,39.335452959371835,3.0224212839479376,42.35787424331977,0.216,179,69,0.7618871544780444,1.195,91105.60500000001
2040,39.25901553922604,2.6791025022785373,41.93811804150458,0.2,159,89,0.6692582895289109,1.207,80832.79000000001
2041,24.022296654568155,1.798422169934354,25.82071882450251,0.184,133,115,0.5152299482341655,1.217,62744.869000000006
2042,19.478290869603715,1.4289370001155852,20.9072278697193,0.168,116,132,0.4589470949173545,1.226,56304.049999999996
2043,19.637167630367205,1.3026095494764587,20.939777179843666,0.152,115,133,0.45489976615433814,1.236,56262.72
2044,19.796044391130692,1.174922307827046,20.97096669895774,0.136,115,133,0.45489976615433814,1.246,56717.92
2045,19.881018643704095,1.0414623674197685,20.92248101112386,0.12,111,137,0.4386105170587412,1.256,55125.840000000004
2046,18.927526549677967,0.9270374589543265,19.854564008632295,0.11,101,147,0.4133471908540363,1.262,52198.844
2047,17.128490817251357,0.7870684923989884,17.915559309650344,0.1,86,162,0.32646453340795073,1.269,41455.691999999995
2048,17.209476589436946,0.711202575643004,17.92067916507995,0.09,82,166,0.3204684907960746,1.275,40886.7
2049,17.30395999032013,0.6354947070666382,17.93945469738677,0.08,80,168,0.31826994183838664,1.282,40829.136
2050,17.21029346378139,0.5585605665953891,17.768854030376776,0.07,79,169,0.31637119501129257,1.288,40775.504
