year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,rdh_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd
2025,66.19312069636608,66.19312069636608,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,66.19312069636608,0.0,0.0
2026,63.24143496315145,63.88323850666776,0.0,0.0,0,0.6418035435163105,0.0,0.0,0.0,0.6418035435163105,63.24143496315145,0.0,0.0
2027,59.636708004784694,61.855502619938385,0.0,0.0,0,2.2187946151536906,0.0,0.0,0.0,2.2187946151536906,59.636708004784694,0.0,0.0
2028,55.355840326822275,59.77994976847596,0.0,0.0,0,4.424109441653684,0.0,0.0,0.0,4.424109441653684,55.355840326822275,0.0,0.0
2029,50.45992755068519,57.78729563404016,0.0,0.0,0,7.327368083354976,0.0,0.0,0.0,7.327368083354976,50.45992755068519,0.0,0.0
2030,45.45575440470471,56.45724093042124,1.479456558715626,0.41059115816406466,0,7.327368083354976,1.7840707254818629,40.37173757804695,0.0068794729980276624,11.00148652571653,45.45575440470471,0.0,2572.5251227591853
2031,43.53396226475479,54.55305156937994,1.481739626906805,0.4259108688815034,0,7.327368083354976,1.7840707254818629,41.87806163924092,0.006890089265116644,11.019089304625147,43.53396226475479,0.0,2591.333969495973
2032,41.115321200611994,52.662741294577174,1.481739626906805,0.9542416582215354,0,7.327368083354976,1.7840707254818629,93.8266522445828,0.006890089265116644,11.54742009396518,41.115321200611994,0.0,3173.3431670329524
2033,38.20530317830088,50.78631010601294,1.481739626906805,1.9878284919684164,0,7.327368083354976,1.7840707254818629,195.4549888184549,0.006890089265116644,12.58100692771206,38.20530317830088,0.0,4283.828861210601
2034,34.809380163846015,48.92375800368724,1.481739626906805,3.5211994040975814,0,7.327368083354976,1.7840707254818629,346.2250354777478,0.006890089265116644,14.114377839841225,34.809380163846015,0.0,5889.574880392262
2035,31.38975333851489,47.7701533565445,1.4841427617098029,5.784818447482966,0,7.327368083354976,1.7840707254818629,568.797373384031,0.006901263841950584,16.380400018029608,31.38975333851489,0.0,8199.908185527154
2036,28.828730952390803,45.73618071385183,1.5129114115792013,6.283099541044987,0,7.327368083354976,1.7840707254818629,617.7913011620617,0.007035038063843286,16.907449761461027,28.828730952390803,0.0,8711.402546739257
2037,25.941419460750534,43.72871428400318,1.536270794119801,7.1395852202960075,0,7.327368083354976,1.7840707254818629,702.0060105987927,0.007143659192657075,17.787294823252644,25.941419460750538,3.552713678800501e-15,9551.693247907102
2038,22.734952586573662,41.750507610117864,1.553658978778902,8.350457235928465,0,7.327368083354976,1.7840707254818629,821.0660689651269,0.007224514251321894,19.015555023544202,22.734952586573662,0.0,10697.573825308424
2039,19.216008383436495,39.80015895825088,1.5653620250428846,9.907349740934666,0,7.327368083354976,1.7840707254818629,974.1488969792242,0.007278933416449414,20.584150574814387,19.216008383436495,0.0,12122.48710866757
2040,14.75165212343593,36.30332232607653,1.5653620250428846,10.87486936876088,0,7.327368083354976,1.7840707254818629,1069.2811172902173,0.007278933416449414,21.5516702026406,14.751652123435932,1.7763568394002505e-15,12977.774459665943
2041,13.26451988277456,36.14317902332424,1.5653620250428846,12.201858306669958,0,7.327368083354976,1.7840707254818629,1199.758474400839,0.007278933416449414,22.87865914054968,13.264519882774557,0.0,14123.762106444223
2042,11.764328073943338,35.981883610480196,1.5719478197715653,13.534168907928455,0,7.327368083354976,1.7840707254818629,1330.7590887515394,0.007309557361937779,24.217555536536857,11.76432807394334,1.7763568394002505e-15,15250.432959610813
2043,10.251076696942269,35.820588197636155,1.6048642538210462,14.853208438036003,0,7.327368083354976,1.7840707254818629,1460.4548133323733,0.007462618780267866,25.569511500693885,10.25107669694227,1.7763568394002505e-15,16351.67023906325
2044,8.724952317030917,35.66044489488387,1.6375455704844593,16.18650819853165,0,7.327368083354976,1.7840707254818629,1591.552687637048,0.007614586902752736,26.935492577852948,8.724952317030919,1.7763568394002505e-15,17436.93554835009
2045,7.185628445005039,35.499149482039826,1.67046200453394,17.53162022366401,0,7.327368083354976,1.7840707254818629,1723.8120132750826,0.007767648321082822,28.31352103703479,7.185628445005037,0.0,18503.954711666353
2046,5.748502756004031,35.33785406919579,1.703378438583421,18.774534065771505,0,7.327368083354976,1.7840707254818629,1846.0226124756514,0.007920709739412907,29.589351313191763,5.748502756004029,0.0,19465.304456269587
2047,4.311377067003024,35.17655865635176,1.736294872632902,20.017447907878996,0,7.327368083354976,1.7840707254818629,1968.2332116762195,0.008073771157742994,30.865181589348737,4.311377067003022,0.0,20400.903761285237
2048,2.8742513780020156,35.01526324350772,1.7692113066823827,21.260361749986483,0,7.327368083354976,1.7840707254818629,2090.4438108767877,0.008226832576073081,32.1410118655057,2.8742513780020147,0.0,21310.752626713296
2049,1.4371256890010071,34.853967830663684,1.7692113066823827,22.536192026143457,0,7.327368083354976,1.7840707254818629,2215.8909474723473,0.008226832576073081,33.41684214166268,1.4371256890010073,2.220446049250313e-16,22204.34415213364
2050,0.0,34.692672417819644,1.7692113066823827,23.812022302300424,0,7.327368083354976,1.7840707254818629,2341.3380840679065,0.008226832576073081,34.692672417819644,0.0,0.0,23071.908739920375
