location,emissions_kt,capacity_kt,n_facilities,emissions_mt,share_pct
Onsan,23218.9260911903,12404.7,30,23.2189260911903,50.172253770528066
Yeosu,12223.02820184757,21658.0,80,12.22302820184757,26.41193956942302
Daesan,6352.856506601221,14171.5,47,6.352856506601221,13.727470752313636
Ulsan,4159.305479882474,14752.5,62,4.159305479882474,8.987570278928157
Incheon,224.3159600744375,1470.0,2,0.2243159600744375,0.48470963856956606
Gwangyang,94.24586677716331,273.0,3,0.09424586677716332,0.20364970912936886
Busan/Iksan/Siheung,1.9223844518624071,371.0,1,0.0019223844518624072,0.004153954415658925
Gunsan,1.3473164105181032,231.0,3,0.0013473164105181033,0.0029113276209341643
Jeonju,0.7544452188441145,145.6,3,0.0007544452188441146,0.0016302311669001068
Naju,0.652885285538176,126.0,2,0.0006528852855381761,0.0014107769713558615
Jinhae,0.5130741012193226,70.0,1,0.0005130741012193226,0.0011086681575350071
Pohang,0.3627140475212089,70.0,2,0.0003627140475212089,0.0007837649840865897
Gumi,0.18861130471102863,36.4,1,0.00018861130471102864,0.0004075577917250267
Gimcheon,0.0,0.0,1,0.0,0.0
