year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,electricity_consumption_mwh,fossil_fuel_replaced_gj,methodology,grid_ef_tco2_per_mwh,grid_price_usd_per_mwh,h2_consumption_ton_per_ton_ethylene,baseline_combustion_emissions_tco2_per_ton,ncc_capacity_kt,h2_fuel_cost_per_ton_ethylene,electricity_consumption_mwh_per_ton_ethylene,electricity_cost_per_ton_ethylene,source
2025,Heat_Pump,True,1.349887285876806,40.0,24.0,290.2926149558753,354.2926149558753,,4.579024199406941,3918623.101128673,56428172.6562529,Energy-based,0.436,100.0,,,,,,,
2025,NCC-H2,False,52.20802417148216,68.0,68.0,450.2365909889263,586.2365909889263,,4.579024199406941,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,25667.0,915.8048398813883,,,
2025,NCC-Electricity,False,52.20802417148216,60.0,60.0,159.77955749868366,279.77955749868363,65.0,,,,Energy-based,0.0,,,2.0340524475584276,25667.0,,5.0,325.0,
2025,RE_PPA,True,8.924496773916404,0.0,0.0,-90.67357512953367,-90.67357512953367,65.0,,,,Energy-based,0.436,100.0,,,,,,,
2025,RDH,False,2.038937971979272,36.0,27.0,358.20250675625033,421.20250675625033,65.0,,11236195.272053545,37618781.77083527,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2026,Heat_Pump,True,1.630782027011911,38.8,23.279999999999998,286.4485464794959,348.5285464794959,,4.436520395611882,4506416.566297974,64892398.55469083,Energy-based,0.4186,103.66,,,,,,,
2026,NCC-H2,False,60.03922779720449,65.96,65.96000000000001,436.2247788583086,568.1447788583087,,4.436520395611882,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,29517.05,887.3040791223764,,,
2026,NCC-Electricity,False,60.03922779720449,58.2,58.2,154.913594102599,271.31359410259904,63.02047504889287,,,,Energy-based,0.0,,,2.0340524475584276,29517.05,,5.0,315.1023752444643,
2026,RE_PPA,True,10.138865146337434,0.0,0.0,-110.25373019833727,-110.25373019833727,63.02047504889287,,,,Energy-based,0.4186,103.66,,,,,,,
2026,RDH,True,2.3447786677761626,34.92,26.189999999999998,347.2937252228177,408.40372522281774,63.02047504889287,,12921624.562861577,43261599.03646056,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2027,Heat_Pump,True,1.709193675265496,37.6,22.56,282.9308162834845,343.0908162834845,,4.298200172211265,4506416.566297974,64892398.55469083,Energy-based,0.4012,107.31,,,,,,,
2027,NCC-H2,False,60.03922779720449,63.92,63.92,422.62432095795805,550.4643209579581,,4.298200172211265,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,29517.05,859.6400344422531,,,
2027,NCC-Electricity,False,60.03922779720449,56.4,56.4,150.19581987503324,262.99581987503325,61.10123500597122,,,,Energy-based,0.0,,,2.0340524475584276,29517.05,,5.0,305.5061750298561,
2027,RE_PPA,True,10.010578124205486,0.0,0.0,-131.5739322153439,-131.5739322153439,61.10123500597122,,,,Energy-based,0.4012,107.31,,,,,,,
2027,RDH,True,2.3447786677761626,33.84,25.38,336.7171622314099,395.93716223140984,61.10123500597122,,12921624.562861577,43261599.03646056,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2028,Heat_Pump,True,1.7876053235190807,36.4,21.84,279.74689926389027,337.9868992638903,,4.163925516255364,4506416.566297974,64892398.55469083,Energy-based,0.3838,110.97,,,,,,,
2028,NCC-H2,False,60.03922779720449,61.88,61.88,409.4216470429292,533.1816470429292,,4.163925516255364,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,29517.05,832.7851032510728,,,
2028,NCC-Electricity,False,60.03922779720449,54.6,54.6,145.62172182896214,254.82172182896215,59.2404439407746,,,,Energy-based,0.0,,,2.0340524475584276,29517.05,,5.0,296.20221970387297,
2028,RE_PPA,True,9.87776879094543,0.0,0.0,-154.97170778677472,-154.97170778677472,59.2404439407746,,,,Energy-based,0.3838,110.97,,,,,,,
2028,RDH,True,2.3447786677761626,32.76,24.57,326.462700322132,383.79270032213196,59.2404439407746,,12921624.562861577,43261599.03646056,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2029,Heat_Pump,True,1.8660169717726656,35.2,21.119999999999997,276.80641421947445,333.12641421947444,,4.033563085741385,4506416.566297974,64892398.55469083,Energy-based,0.3664,114.62,,,,,,,
2029,NCC-H2,False,60.03922779720449,59.84,59.84,396.6036461432513,516.2836461432513,,4.033563085741385,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,29517.05,806.7126171482769,,,
2029,NCC-Electricity,False,60.03922779720449,52.8,52.800000000000004,141.18692441690658,246.78692441690657,57.436321834691114,,,,Energy-based,0.0,,,2.0340524475584276,29517.05,,5.0,287.18160917345557,
2029,RE_PPA,True,9.739792865332138,0.0,0.0,-180.73223187518616,-180.73223187518616,57.436321834691114,,,,Energy-based,0.3664,114.62,,,,,,,
2029,RDH,True,2.3447786677761626,31.68,23.759999999999998,316.52053015454015,371.96053015454015,57.436321834691114,,12921624.562861577,43261599.03646056,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2030,Heat_Pump,True,1.9444286200262502,34.0,20.4,274.1262630944655,328.5262630944655,,3.906984049334724,4506416.566297974,64892398.55469083,Energy-based,0.349,118.28,,,,,,,
2030,NCC-H2,True,60.03922779720449,57.8,57.800000000000004,384.1576508043799,499.75765080437986,,3.906984049334724,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,29517.05,781.3968098669447,,,
2030,NCC-Electricity,True,60.03922779720449,51.0,51.0,136.8871853453167,238.8871853453167,55.68714287820511,,,,Energy-based,0.0,,,2.0340524475584276,29517.05,,5.0,278.43571439102556,
2030,RE_PPA,True,9.59587757911106,0.0,0.0,-209.34065927021703,-209.34065927021703,55.68714287820511,,,,Energy-based,0.349,118.28,,,,,,,
2030,RDH,True,2.3447786677761626,30.6,22.95,306.8811411241006,360.43114112410063,55.68714287820511,,12921624.562861577,43261599.03646056,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2031,Heat_Pump,True,2.0070678102977917,33.2,19.919999999999998,273.76622210247433,326.88622210247433,,3.78406393166111,4506416.566297974,64892398.55469083,Energy-based,0.3351,121.93,,,,,,,
2031,NCC-H2,True,60.03922779720449,56.44,56.44,372.07142187541007,484.95142187541006,,3.7840639316611107,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,29517.05,756.8127863322221,,,
2031,NCC-Electricity,True,60.03922779720449,49.8,49.800000000000004,132.71839151642624,232.31839151642623,53.991233820000886,,,,Energy-based,0.0,,,2.0340524475584276,29517.05,,5.0,269.95616910000444,
2031,RE_PPA,True,9.476023111186437,0.0,0.0,-238.29802237810983,-238.29802237810983,53.991233820000886,,,,Energy-based,0.3351,121.93,,,,,,,
2031,RDH,True,2.3447786677761626,29.88,22.41,297.53531226441777,349.8253122644178,53.991233820000886,,12921624.562861577,43261599.03646056,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2032,Heat_Pump,True,2.069707000569334,32.4,19.439999999999998,273.44974743076114,325.2897474307611,,3.664682463973249,4506416.566297974,64892398.55469083,Energy-based,0.3212,125.59,,,,,,,
2032,NCC-H2,True,60.03922779720449,55.08,55.08,360.3331338257424,470.49313382574235,,3.664682463973249,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,29517.05,732.9364927946498,,,
2032,NCC-Electricity,True,60.03922779720449,48.6,48.6,128.67655509369436,225.87655509369438,52.34697236634318,,,,Energy-based,0.0,,,2.0340524475584276,29517.05,,5.0,261.7348618317159,
2032,RE_PPA,True,9.351216636042777,0.0,0.0,-270.0701608910649,-270.0701608910649,52.34697236634318,,,,Energy-based,0.3212,125.59,,,,,,,
2032,RDH,True,2.3447786677761626,29.16,21.869999999999997,288.4741034265275,339.50410342652754,52.34697236634318,,12921624.562861577,43261599.03646056,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2033,Heat_Pump,True,2.1323461908408756,31.6,18.96,273.13073249080685,323.69073249080685,,3.5487234400026426,4506416.566297974,64892398.55469083,Energy-based,0.3073,129.24,,,,,,,
2033,NCC-H2,True,60.03922779720449,53.72,53.72,348.9313605715869,456.3713605715869,,3.5487234400026426,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,29517.05,709.7446880005285,,,
2033,NCC-Electricity,True,60.03922779720449,47.4,47.4,124.75780968707163,219.55780968707163,50.75278562920331,,,,Energy-based,0.0,,,2.0340524475584276,29517.05,,5.0,253.76392814601655,
2033,RE_PPA,True,9.220786176130337,0.0,0.0,-305.0416415499288,-305.0416415499288,50.75278562920331,,,,Energy-based,0.3073,129.24,,,,,,,
2033,RDH,True,2.3447786677761626,28.44,21.33,279.6888467268188,329.45884672681876,50.75278562920331,,12921624.562861577,43261599.03646056,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2034,Heat_Pump,True,2.1949853811124176,30.8,18.48,272.85045577728505,322.1304557772851,,3.436074576814,4506416.566297974,64892398.55469083,Energy-based,0.2934,132.9,,,,,,,
2034,NCC-H2,True,60.03922779720449,52.36,52.36,337.85506179434935,442.5750617943494,,3.436074576814,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,29517.05,687.2149153628001,,,
2034,NCC-Electricity,True,60.03922779720449,46.2,46.2,120.95840665444035,213.35840665444036,49.2071486216464,,,,Energy-based,0.0,,,2.0340524475584276,29517.05,,5.0,246.035743108232,
2034,RE_PPA,True,9.08393241255049,0.0,0.0,-343.84901963169114,-343.84901963169114,49.2071486216464,,,,Energy-based,0.2934,132.9,,,,,,,
2034,RDH,True,2.3447786677761626,27.72,20.79,271.1711382554016,319.6811382554016,49.2071486216464,,12921624.562861577,43261599.03646056,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2035,Heat_Pump,True,2.2576245713839596,30.0,18.0,272.56577108866617,320.56577108866617,,3.326627380486225,4506416.566297974,64892398.55469083,Energy-based,0.2795,136.55,,,,,,,
2035,NCC-H2,True,60.03922779720449,51.0,51.0,327.0935697335964,429.0935697335964,,3.326627380486225,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,29517.05,665.325476097245,,,
2035,NCC-Electricity,True,60.03922779720449,45.0,45.0,117.27471151569226,207.27471151569227,47.70858279904047,,,,Energy-based,0.0,,,2.0340524475584276,29517.05,,5.0,238.54291399520235,
2035,RE_PPA,True,8.939697020570035,0.0,0.0,-387.10857168174084,-387.10857168174084,47.70858279904047,,,,Energy-based,0.2795,136.55,,,,,,,
2035,RDH,True,2.3447786677761626,27.0,20.25,262.91283003699107,310.16283003699107,47.70858279904047,,12921624.562861577,43261599.03646056,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2036,Heat_Pump,True,2.383353593583673,29.2,17.52,265.10739676297084,311.8273967629708,,3.220277016450206,4506416.566297974,64892398.55469083,Energy-based,0.2516,140.21,,,,,,,
2036,NCC-H2,True,60.03922779720449,49.64,49.64,316.6365764379047,415.9165764379047,,3.220277016450206,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,29517.05,644.0554032900412,,,
2036,NCC-Electricity,True,60.03922779720449,43.8,43.800000000000004,113.7032004760122,201.3032004760122,46.25565464469184,,,,Energy-based,0.0,,,2.0340524475584276,29517.05,,5.0,231.2782732234592,
2036,RE_PPA,True,8.622978794392061,0.0,0.0,-466.0433797386319,-466.0433797386319,46.25565464469184,,,,Energy-based,0.2516,140.21,,,,,,,
2036,RDH,True,2.3447786677761626,26.28,19.71,254.90602223661548,300.89602223661547,46.25565464469184,,12921624.562861577,43261599.03646056,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2037,Heat_Pump,True,2.509533257440016,28.4,17.04,258.3321361873294,303.7721361873294,,3.116922184319778,4506416.566297974,64892398.55469083,Energy-based,0.2236,143.86,,,,,,,
2037,NCC-H2,True,60.03922779720449,48.28,48.28,306.47412145750434,403.03412145750434,,3.116922184319778,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,29517.05,623.3844368639556,,,
2037,NCC-Electricity,True,60.03922779720449,42.6,42.6,110.24045705504292,195.44045705504294,44.84697429855396,,,,Energy-based,0.0,,,2.0340524475584276,29517.05,,5.0,224.2348714927698,
2037,RE_PPA,True,8.257206939165142,0.0,0.0,-570.3515305382838,-570.3515305382838,44.84697429855396,,,,Energy-based,0.2236,143.86,,,,,,,
2037,RDH,True,2.3447786677761626,25.56,19.169999999999998,247.14305560269477,291.87305560269476,44.84697429855396,,12921624.562861577,43261599.03646056,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2038,Heat_Pump,True,2.6352622796397296,27.6,16.56,252.26580936420532,296.4258093642053,,3.0164649970579767,4506416.566297974,64892398.55469083,Energy-based,0.1957,147.52,,,,,,,
2038,NCC-H2,True,60.03922779720449,46.92,46.92,296.59657996319487,390.43657996319484,,3.0164649970579767,,,Energy-based (Dynamic LCOH),,,0.2,2.0340524475584276,29517.05,603.2929994115954,,,
