year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,rdh_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd
2025,52.0,66.19312069636608,1.349887285876806,0,0.0,8.924496773916404,0.0,0.0,0.006276975879327149,10.27438405979321,55.91873663657287,3.9187366365728735,1079.909828701445
2026,50.0,63.88323850666776,1.3755291880013514,0,0.0,8.924496773916404,1.9777698328198936,0.0,0.006396210724206285,12.27779579473765,51.60544271193011,1.6054427119301096,2481.0823959915056
2027,48.0,61.855502619938385,1.403025069087503,0,0.0,8.924496773916404,1.9777698328198936,0.0,0.006524066571256889,12.305291675823801,49.55021094411458,1.550210944114582,2501.759298568292
2028,46.0,59.77994976847596,1.4254209405799978,0,0.0,8.924496773916404,1.9777698328198936,0.0,0.0066282073736969906,12.327687547316296,47.452262221159664,1.452262221159664,2518.063493014828
2029,44.0,57.78729563404016,1.4457574972603868,0,0.0,8.924496773916404,1.9777698328198936,0.0,0.006722772362260799,12.348024103996686,45.43927153004348,1.4392715300434773,2532.380428917822
2030,42.0,56.45724093042124,1.4457574972603868,0,2.109216826424557,8.924496773916404,1.9777698328198936,0.0,11.185571952412413,14.457240930421241,42.0,0.0,4683.78159187087
2031,40.0,54.55305156937994,1.4457574972603868,0,2.205027465383255,8.924496773916404,1.9777698328198936,0.0,11.693368338893512,14.55305156937994,40.0,0.0,4779.208988273733
2032,38.0,52.662741294577174,1.4457574972603868,0,2.314717190580488,8.924496773916404,1.9777698328198936,0.0,12.274723882438849,14.662741294577172,38.0,0.0,4885.827401165444
2033,36.0,50.78631010601294,1.4457574972603868,0,2.438286002016257,8.924496773916404,1.9777698328198936,0.0,12.929638583048424,14.786310106012943,36.0,0.0,5002.970634406553
2034,34.0,48.92375800368724,1.4457574972603868,0,2.5757338996905546,8.924496773916404,1.9777698328198936,0.0,13.658112440722201,14.923758003687238,34.0,0.0,5129.972491857603
2035,32.0,47.7701533565445,1.4457574972603868,0,3.4221292525478137,8.924496773916404,1.9777698328198936,0.0,18.144007810865673,15.7701533565445,32.0,0.0,5891.728309429136
2036,30.0,45.73618071385183,1.4457574972603868,0,3.4221292525478137,8.924496773916404,1.9777698328198936,0.0,18.144007810865673,15.7701533565445,29.966027357307333,0.0,5891.728309429136
2037,28.0,43.72871428400318,1.4457574972603868,0,3.4221292525478137,8.924496773916404,1.9777698328198936,0.0,18.144007810865673,15.7701533565445,27.958560927458684,0.0,5891.728309429136
2038,26.0,41.750507610117864,1.4457574972603868,0,3.4221292525478137,8.924496773916404,1.9777698328198936,0.0,18.144007810865673,15.7701533565445,25.980354253573367,0.0,5891.728309429136
2039,23.999999999999996,39.80015895825088,1.4457574972603868,0,3.4521348542542007,8.924496773916404,1.9777698328198936,0.0,18.303037499909525,15.800158958250885,24.0,3.552713678800501e-15,5915.8528132010715
2040,22.0,36.30332232607653,1.4457574972603868,0,3.4521348542542007,8.924496773916404,1.9777698328198936,0.0,18.303037499909525,15.800158958250885,20.50316336782565,0.0,5915.8528132010715
2041,20.0,36.14317902332424,1.4457574972603868,0,3.795154919327553,8.924496773916404,1.9777698328198936,0.0,20.121043844798287,16.14317902332424,19.999999999999996,0.0,6177.234102786966
2042,18.0,35.981883610480196,1.4457574972603868,0,5.633859506483509,8.924496773916404,1.9777698328198936,0.0,29.866178156724853,17.981883610480196,18.0,0.0,7545.230315630997
2043,16.0,35.820588197636155,1.4457574972603868,0,7.472564093639468,8.924496773916404,1.9777698328198936,0.0,39.61131246865144,19.820588197636155,16.0,0.0,8880.129845906224
2044,14.0,35.66044489488387,1.4457574972603868,0,9.31242079088718,8.924496773916404,1.9777698328198936,0.0,49.362552964064314,21.660444894883867,14.0,0.0,10182.748387557604
2045,12.0,35.499149482039826,1.4457574972603868,0,11.151125378043139,8.924496773916404,1.9777698328198936,0.0,59.10768727599089,23.499149482039826,12.0,0.0,11451.454552695215
2046,10.0,35.33785406919579,1.4457574972603868,0,12.989829965199105,8.924496773916404,1.9777698328198936,0.0,68.85282158791753,25.337854069195792,10.0,0.0,12687.064035264024
2047,8.0,35.17655865635176,1.4457574972603868,0,14.828534552355071,8.924496773916404,1.9777698328198936,0.0,78.59795589984414,27.17655865635176,8.0,0.0,13889.576835264026
2048,6.0,35.01526324350772,1.4457574972603868,0,16.667239139511032,8.924496773916404,1.9777698328198936,0.0,88.34309021177073,29.015263243507718,6.0,0.0,15058.992952695216
2049,4.0,34.853967830663684,1.4457574972603868,0,18.505943726667,8.924496773916404,1.9777698328198936,0.0,98.08822452369736,30.853967830663684,4.0,0.0,16195.312387557604
2050,2.0,34.692672417819644,1.4457574972603868,0,20.344648313822958,8.924496773916404,1.9777698328198936,0.0,107.83335883562395,32.692672417819644,2.0,0.0,17298.535139851178
