scenario,scenario_id,production_pathway,technology_pathway,bau_emissions_2050_mt,emissions_2050_mt,cost_2050_billion_usd,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,heat_pump_mt,h2_consumption_kt,electricity_increase_twh,learning_curve
Shaheen (성장) + NCC-H2,shaheen_ncc_h2,Shaheen (성장),NCC-H2,68.040036507243,25.22671272948267,31.44166613060539,31.043127416254347,0.0,8.478349188156638,3.2918471733493444,2751.26,0.0153070893560744,Yes (Default)
Shaheen (성장) + NCC-Electricity,shaheen_ncc_elec,Shaheen (성장),NCC-Electricity,68.040036507243,25.22671272948267,33.283764174496774,0.0,31.043127416254347,8.478349188156638,3.2918471733493444,0.0,164.5438823955041,Yes (Default)
구조조정 25% + NCC-H2,restructure_25pct_ncc_h2,구조조정 25%,NCC-H2,40.88318715348254,15.56294768795598,15.083029287952042,18.652870473592827,0.0,4.689398212121212,1.9779707798125197,1653.1483999999998,0.0091975641261282,Yes (Default)
구조조정 25% + NCC-Electricity,restructure_25pct_ncc_elec,구조조정 25%,NCC-Electricity,40.88318715348254,15.56294768795598,16.744459487696187,0.0,18.652870473592827,4.689398212121212,1.9779707798125197,0.0,98.86941107416811,Yes (Default)
구조조정 40% + NCC-H2,restructure_40pct_ncc_h2,구조조정 40%,NCC-H2,35.499149482039826,11.825323527784631,13.021867175433249,16.196414304132702,0.0,5.357054857142859,2.1203567929796323,1435.44,0.0098596590873552,Yes (Default)
구조조정 40% + NCC-Electricity,restructure_40pct_ncc_elec,구조조정 40%,NCC-Electricity,35.499149482039826,11.825323527784631,14.48605215281411,0.0,16.196414304132702,5.357054857142859,2.1203567929796323,0.0,85.85085547099068,Yes (Default)
Shaheen (성장) + NCC-H2 (No Learning),shaheen_ncc_h2_no_learning,Shaheen (성장),NCC-H2,68.040036507243,0.0,75.44999951072266,52.35322337963613,0.0,10.14031561780733,3.201718842023385,5147.676840140308,0.0148879926154087,No (Fixed at 2025)
Shaheen (성장) + NCC-Electricity (No Learning),shaheen_ncc_elec_no_learning,Shaheen (성장),NCC-Electricity,68.040036507243,0.0,67.07348376998088,0.0,52.35322337963613,10.14031561780733,3.201718842023385,0.0,277.48697190468687,No (Fixed at 2025)
구조조정 25% + NCC-H2 (No Learning),restructure_25pct_ncc_h2_no_learning,구조조정 25%,NCC-H2,40.88318715348254,-7.105427357601002e-15,46.611503268088974,32.39561655987198,0.0,5.154849046417964,1.9238154085549213,3185.3275562051535,0.0089457416497803,No (Fixed at 2025)
구조조정 25% + NCC-Electricity (No Learning),restructure_25pct_ncc_elec_no_learning,구조조정 25%,NCC-Electricity,40.88318715348254,-7.105427357601002e-15,42.10447956505554,0.0,33.80452269850966,5.154849046417964,1.9238154085549213,0.0,179.17291604375097,No (Fixed at 2025)
구조조정 40% + NCC-H2 (No Learning),restructure_40pct_ncc_h2_no_learning,구조조정 40%,NCC-H2,35.499149482039826,0.0,38.888569176036285,26.880052655888043,0.0,5.566234876615897,1.67046200453394,2643.004873168682,0.0077676483210828,No (Fixed at 2025)
구조조정 40% + NCC-Electricity (No Learning),restructure_40pct_ncc_elec_no_learning,구조조정 40%,NCC-Electricity,35.499149482039826,0.0,35.251312724695126,0.0,28.26245260088999,5.566234876615897,1.67046200453394,0.0,149.79876643303805,No (Fixed at 2025)
