year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,57.82112069636608,8.372000000000002,66.19312069636608,0.436,248,0,1.0,1.0,100066.0
2026,56.0864870754751,7.8004765871559645,63.88696366263106,0.4188,248,0,1.0,0.97,97064.02
2027,54.58313793736957,7.279615295412846,61.862753232782424,0.4016,248,0,1.0,0.944,94462.30399999999
2028,53.0219676785677,6.768546939449541,59.79051461801725,0.3843999999999999,248,0,1.0,0.917,91760.522
2029,51.51861854046218,6.28236416146789,57.800982701930074,0.3671999999999999,248,0,1.0,0.891,89158.806
2030,50.59348060932032,5.880561926605505,56.47404253592583,0.35,248,0,1.0,0.875,87557.75
2031,49.090131471214804,5.477592220183485,54.567723691398285,0.3359999999999999,248,0,1.0,0.849,84956.034
2032,47.586782333109284,5.088601449541286,52.67538378265056,0.322,248,0,1.0,0.823,82354.318
2033,46.083433195003764,4.713589614678901,50.797022809682666,0.308,248,0,1.0,0.797,79752.602
2034,44.580084056898244,4.3525567155963305,48.93264077249457,0.294,248,0,1.0,0.771,77150.886
2035,43.712767246452756,4.0646444036697265,47.77741165012249,0.28,248,0,1.0,0.756,75649.896
2036,42.209418108347236,3.7005776146789,45.909995723026135,0.264,248,0,1.0,0.73,73048.18
2037,40.706068970241716,3.352486752293579,44.058555722535296,0.248,248,0,1.0,0.704,70446.46399999999
2038,39.20271983213621,3.0203718165137623,42.22309164864997,0.232,248,0,1.0,0.678,67844.748
2039,37.69937069403069,2.70423280733945,40.40360350137014,0.216,248,0,1.0,0.652,65243.032
2040,34.692672417819644,2.304220183486239,36.99689260130588,0.2,248,0,1.0,0.6,60039.6
2041,34.692672417819644,2.11988256880734,36.812554986626985,0.184,248,0,1.0,0.6,60039.6
2042,34.692672417819644,1.9355449541284409,36.62821737194808,0.168,248,0,1.0,0.6,60039.6
2043,34.692672417819644,1.7512073394495418,36.44387975726919,0.152,248,0,1.0,0.6,60039.6
2044,34.692672417819644,1.5668697247706425,36.25954214259029,0.136,248,0,1.0,0.6,60039.6
2045,34.692672417819644,1.3825321100917434,36.07520452791139,0.12,248,0,1.0,0.6,60039.6
2046,34.692672417819644,1.2673211009174312,35.95999351873708,0.11,248,0,1.0,0.6,60039.6
2047,34.692672417819644,1.1521100917431195,35.84478250956276,0.1,248,0,1.0,0.6,60039.6
2048,34.692672417819644,1.0368990825688074,35.72957150038845,0.09,248,0,1.0,0.6,60039.6
2049,34.692672417819644,0.9216880733944957,35.614360491214136,0.08,248,0,1.0,0.6,60039.6
2050,34.692672417819644,0.8064770642201836,35.499149482039826,0.07,248,0,1.0,0.6,60039.6
