year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd
2025,66.2,66.19312069636608,0.0,0.0,0,0.0,0.0,0.0,0.0,66.19312069636608,0.0,0.0
2026,63.620000000000005,75.742276507243,1.6298807436986515,0.0,0,10.14031561780733,0.0,0.007578945458198731,12.122276507243,63.620000000000005,0.0,1557.402299889575
2027,61.04,75.36246421366502,1.7073911086389766,0.0,0,10.14031561780733,0.0,0.007939368655171242,14.19248539422247,61.16997881944255,0.12997881944254885,3054.1535277100184
2028,58.46,74.98265192008704,1.7849014735793023,0.0,0,10.14031561780733,0.0,0.008299791852143756,14.269995759162795,60.71265616092424,2.2526561609242393,3116.161819662279
2029,55.879999999999995,74.60283962650905,1.862411838519627,0.0,0,10.14031561780733,0.0,0.008660215049116267,14.34750612410312,60.25533350240593,4.375333502405937,3178.1701116145387
2030,53.3,74.22302733293107,1.9399222034599524,6.498010843887625,0,10.14031561780733,638.9226444664694,0.009020638246088779,20.92302733293107,53.3,0.0,12077.47315125397
2031,51.339999999999996,73.91387779164667,2.0030120353881244,8.085771470675056,0,10.14031561780733,795.0406077661175,0.009314005964554778,22.573877791646673,51.339999999999996,0.0,14287.299469227411
2032,49.379999999999995,73.60472825036227,2.0661018673162954,9.673532097462488,0,10.14031561780733,951.1585710657658,0.009607373683020774,24.224728250362276,49.379999999999995,0.0,16497.125787200854
2033,47.42,73.29557870907786,2.1291916992444673,11.261292724249897,0,10.14031561780733,1107.2765343654119,0.009900741401486772,25.875578709077857,47.42,0.0,18706.95210517427
2034,45.46,72.98642916779346,2.1922815311726387,12.849053351037327,0,10.14031561780733,1263.39449766506,0.01019410911995277,27.52642916779346,45.46,0.0,20916.778423147716
2035,43.5,72.67727962650906,2.25537136310081,14.436813977824759,0,10.14031561780733,1419.5124609647085,0.010487476838418767,29.177279626509062,43.5,0.0,23126.604741121162
2036,40.18,72.32396586504117,2.327474028161578,17.331397551296103,0,10.14031561780733,1704.1249425106835,0.010822754230951338,32.143965865041174,40.18,0.0,27120.920533090808
2037,36.86,71.97065210357327,2.399576693222346,20.225981124767433,0,10.14031561780733,1988.7374240566576,0.01115803162348391,35.11065210357327,36.86,0.0,31115.236325060432
2038,33.54,71.61733834210538,2.471679358283114,23.120564698238777,0,10.14031561780733,2273.349905602633,0.01149330901601648,38.077338342105385,33.54,0.0,35109.55211703008
2039,30.22,71.2640245806375,2.543782023343881,26.01514827171012,0,10.14031561780733,2557.962387148608,0.011828586408549047,41.04402458063749,30.220000000000006,7.105427357601002e-15,39103.86790899972
2040,26.9,70.91071081916962,2.6158846884046483,28.909731845181486,0,10.14031561780733,2842.5748686945853,0.012163863801081616,44.010710819169624,26.9,0.0,43098.183700969385
2041,24.2,70.55739705770172,2.6879873534654157,31.18431541865281,0,10.14031561780733,3066.225303687215,0.012499141193614184,46.35739705770172,24.200000000000003,3.552713678800501e-15,46249.299492939
2042,21.5,70.20408329623383,2.7600900185261836,33.45889899212416,0,10.14031561780733,3289.8757386798466,0.012834418586146755,48.70408329623384,21.499999999999993,0.0,49400.41528490864
2043,18.8,69.85076953476594,2.832192683586951,35.7334825655955,0,10.14031561780733,3513.5261736724783,0.013169695978679324,51.05076953476595,18.799999999999997,0.0,52551.53107687827
2044,16.1,69.49745577329804,2.9042953486477185,38.00806613906683,0,10.14031561780733,3737.1766086651073,0.013504973371211893,53.39745577329804,16.1,0.0,55702.646868847885
2045,13.4,69.14414201183016,2.9763980137084864,40.28264971253817,0,10.14031561780733,3960.8270436577386,0.013840250763744462,55.74414201183016,13.399999999999999,0.0,58853.76266081753
2046,10.72,68.92332091091274,3.021462179371466,42.696764445957776,0,10.14031561780733,4198.197002954254,0.014049799134077319,58.20332091091274,10.719999999999999,0.0,62173.01003079857
2047,8.04,68.70249980999529,3.066526345034446,45.11087917937735,0,10.14031561780733,4435.566962250767,0.014259347504410174,60.66249980999529,8.04,0.0,65492.25740077957
2048,5.359999999999999,68.48167870907787,3.1115905106974253,47.52499391279695,0,10.14031561780733,4672.936921547282,0.014468895874743029,63.12167870907787,5.359999999999999,0.0,68811.50477076061
2049,2.6799999999999997,68.26085760816044,3.1566546763604055,49.939108646216546,0,10.14031561780733,4910.306880843795,0.014678444245075887,65.58085760816044,2.6799999999999926,0.0,72130.75214074165
2050,0.0,68.040036507243,3.201718842023385,52.35322337963613,0,10.14031561780733,5147.676840140308,0.014887992615408742,68.040036507243,0.0,0.0,75449.99951072266
