Year,Technology,Capacity_kt,Share
2023,Electric motor,0.0,0.0
2024,Electric motor,1443.0,0.5
2024,Heat pump,1443.0,0.5
2025,Electric heater,2596.0,0.3102294455066922
2025,Electric motor,2886.0,0.3448852772466539
2025,Heat pump,2886.0,0.3448852772466539
2026,Electric heater,4329.000000000001,0.25644215390083525
2026,Electric motor,4329.000000000001,0.25644215390083525
2026,Heat pump,8223.000000000002,0.4871156921983295
2027,Electric heater,5772.0,0.25
2027,Electric motor,5772.0,0.25
2027,Heat pump,11544.0,0.5
2028,E-cracker,4490.0,0.1346326836581709
2028,Electric heater,7215.0,0.21634182908545727
2028,Electric motor,7215.0,0.21634182908545727
2028,Heat pump,14430.0,0.43268365817091453
2029,E-cracker,5388.000000000001,0.1346326836581709
2029,Electric heater,8658.000000000002,0.21634182908545727
2029,Electric motor,8658.000000000002,0.21634182908545727
2029,Heat pump,17316.000000000004,0.43268365817091453
2030,E-cracker,6286.000000000001,0.1127008032128514
2030,Electric furnace,2800.0000000000005,0.050200803212851405
2030,Electric heater,10101.000000000002,0.18109939759036145
2030,Electric motor,10101.000000000002,0.18109939759036145
2030,H2-furnace,6286.000000000001,0.1127008032128514
2030,Heat pump,20202.000000000004,0.3621987951807229
2031,E-cracker,7184.0,0.1127008032128514
2031,Electric furnace,3200.0,0.050200803212851405
2031,Electric heater,11544.0,0.18109939759036145
2031,Electric motor,11544.0,0.18109939759036145
2031,H2-furnace,7184.0,0.1127008032128514
2031,Heat pump,23088.0,0.3621987951807229
2032,E-cracker,7184.0,0.10548572771056032
2032,Electric extraction,1160.0,0.01703277340538001
2032,Electric furnace,3200.0,0.04698696111828968
2032,Electric heater,11544.0,0.16950546223423
2032,Electric motor,11544.0,0.16950546223423
2032,H2-furnace,7184.0,0.10548572771056032
2032,H2-reformer,3200.0,0.04698696111828968
2032,Heat pump,23088.0,0.33901092446846
2033,E-cracker,7184.0,0.10548572771056032
2033,Electric extraction,1160.0,0.01703277340538001
2033,Electric furnace,3200.0,0.04698696111828968
2033,Electric heater,11544.0,0.16950546223423
2033,Electric motor,11544.0,0.16950546223423
2033,H2-furnace,7184.0,0.10548572771056032
2033,H2-reformer,3200.0,0.04698696111828968
2033,Heat pump,23088.0,0.33901092446846
2034,E-cracker,7184.0,0.10548572771056032
2034,Electric extraction,1160.0,0.01703277340538001
2034,Electric furnace,3200.0,0.04698696111828968
2034,Electric heater,11544.0,0.16950546223423
2034,Electric motor,11544.0,0.16950546223423
2034,H2-furnace,7184.0,0.10548572771056032
2034,H2-reformer,3200.0,0.04698696111828968
2034,Heat pump,23088.0,0.33901092446846
2035,E-cracker,7184.0,0.10371910371910371
2035,Electric extraction,1160.0,0.016747516747516747
2035,Electric furnace,3200.0,0.0462000462000462
2035,Electric heater,11544.0,0.16666666666666666
2035,Electric motor,11544.0,0.16666666666666666
2035,H2-furnace,7184.0,0.10371910371910371
2035,H2-process,1160.0,0.016747516747516747
2035,H2-reformer,3200.0,0.0462000462000462
2035,Heat pump,23088.0,0.3333333333333333
2036,E-cracker,7184.0,0.10371910371910371
2036,Electric extraction,1160.0,0.016747516747516747
2036,Electric furnace,3200.0,0.0462000462000462
2036,Electric heater,11544.0,0.16666666666666666
2036,Electric motor,11544.0,0.16666666666666666
2036,H2-furnace,7184.0,0.10371910371910371
2036,H2-process,1160.0,0.016747516747516747
2036,H2-reformer,3200.0,0.0462000462000462
2036,Heat pump,23088.0,0.3333333333333333
2037,E-cracker,7184.0,0.10371910371910371
2037,Electric extraction,1160.0,0.016747516747516747
2037,Electric furnace,3200.0,0.0462000462000462
2037,Electric heater,11544.0,0.16666666666666666
2037,Electric motor,11544.0,0.16666666666666666
2037,H2-furnace,7184.0,0.10371910371910371
2037,H2-process,1160.0,0.016747516747516747
2037,H2-reformer,3200.0,0.0462000462000462
2037,Heat pump,23088.0,0.3333333333333333
2038,E-cracker,7184.0,0.10371910371910371
2038,Electric extraction,1160.0,0.016747516747516747
2038,Electric furnace,3200.0,0.0462000462000462
2038,Electric heater,11544.0,0.16666666666666666
2038,Electric motor,11544.0,0.16666666666666666
2038,H2-furnace,7184.0,0.10371910371910371
2038,H2-process,1160.0,0.016747516747516747
2038,H2-reformer,3200.0,0.0462000462000462
2038,Heat pump,23088.0,0.3333333333333333
2039,E-cracker,7184.0,0.10371910371910371
2039,Electric extraction,1160.0,0.016747516747516747
2039,Electric furnace,3200.0,0.0462000462000462
2039,Electric heater,11544.0,0.16666666666666666
2039,Electric motor,11544.0,0.16666666666666666
2039,H2-furnace,7184.0,0.10371910371910371
2039,H2-process,1160.0,0.016747516747516747
2039,H2-reformer,3200.0,0.0462000462000462
2039,Heat pump,23088.0,0.3333333333333333
2040,E-cracker,7184.0,0.10371910371910371
2040,Electric extraction,1160.0,0.016747516747516747
2040,Electric furnace,3200.0,0.0462000462000462
2040,Electric heater,11544.0,0.16666666666666666
2040,Electric motor,11544.0,0.16666666666666666
2040,H2-furnace,7184.0,0.10371910371910371
2040,H2-process,1160.0,0.016747516747516747
2040,H2-reformer,3200.0,0.0462000462000462
2040,Heat pump,23088.0,0.3333333333333333
2041,E-cracker,7184.0,0.10371910371910371
2041,Electric extraction,1160.0,0.016747516747516747
2041,Electric furnace,3200.0,0.0462000462000462
2041,Electric heater,11544.0,0.16666666666666666
2041,Electric motor,11544.0,0.16666666666666666
2041,H2-furnace,7184.0,0.10371910371910371
2041,H2-process,1160.0,0.016747516747516747
2041,H2-reformer,3200.0,0.0462000462000462
2041,Heat pump,23088.0,0.3333333333333333
2042,E-cracker,7184.0,0.10371910371910371
2042,Electric extraction,1160.0,0.016747516747516747
2042,Electric furnace,3200.0,0.0462000462000462
2042,Electric heater,11544.0,0.16666666666666666
2042,Electric motor,11544.0,0.16666666666666666
2042,H2-furnace,7184.0,0.10371910371910371
2042,H2-process,1160.0,0.016747516747516747
2042,H2-reformer,3200.0,0.0462000462000462
2042,Heat pump,23088.0,0.3333333333333333
2043,E-cracker,7184.0,0.10371910371910371
2043,Electric extraction,1160.0,0.016747516747516747
2043,Electric furnace,3200.0,0.0462000462000462
2043,Electric heater,11544.0,0.16666666666666666
2043,Electric motor,11544.0,0.16666666666666666
2043,H2-furnace,7184.0,0.10371910371910371
2043,H2-process,1160.0,0.016747516747516747
2043,H2-reformer,3200.0,0.0462000462000462
2043,Heat pump,23088.0,0.3333333333333333
2044,E-cracker,7184.0,0.10371910371910371
2044,Electric extraction,1160.0,0.016747516747516747
2044,Electric furnace,3200.0,0.0462000462000462
2044,Electric heater,11544.0,0.16666666666666666
2044,Electric motor,11544.0,0.16666666666666666
2044,H2-furnace,7184.0,0.10371910371910371
2044,H2-process,1160.0,0.016747516747516747
2044,H2-reformer,3200.0,0.0462000462000462
2044,Heat pump,23088.0,0.3333333333333333
2045,E-cracker,7184.0,0.10371910371910371
2045,Electric extraction,1160.0,0.016747516747516747
2045,Electric furnace,3200.0,0.0462000462000462
2045,Electric heater,11544.0,0.16666666666666666
2045,Electric motor,11544.0,0.16666666666666666
2045,H2-furnace,7184.0,0.10371910371910371
2045,H2-process,1160.0,0.016747516747516747
2045,H2-reformer,3200.0,0.0462000462000462
2045,Heat pump,23088.0,0.3333333333333333
2046,E-cracker,7184.0,0.10371910371910371
2046,Electric extraction,1160.0,0.016747516747516747
2046,Electric furnace,3200.0,0.0462000462000462
2046,Electric heater,11544.0,0.16666666666666666
2046,Electric motor,11544.0,0.16666666666666666
2046,H2-furnace,7184.0,0.10371910371910371
2046,H2-process,1160.0,0.016747516747516747
