TechID,Product,Technology,TRL,Commercial_year,Abatement_cost_USD_per_tCO2,Abatement_potential_ktCO2_per_year,Max_penetration,Applicable_capacity_kt,Annual_cost_USD_per_t,CAPEX_USD_per_tpa,Ready_for_deployment,Cumulative_abatement_MtCO2
EE_001,All_Products,Energy Efficiency Package,9,2025,-69.33333333333334,28518.809999999998,0.95,100066.0,-20.8,300,True,28.51881
CCS_001,All_Products,Carbon Capture & Storage,7,2028,122.70588235294117,76550.49,0.9,100066.0,104.3,200,True,105.0693
TPA_001,TPA,Process Intensification,8,2027,170.83333333333334,2361.6,0.8,4920.0,102.5,500,True,107.43090000000001
PE_002,LDPE,Heat Integration & Recovery,9,2025,208.99999999999997,688.6400000000001,0.8,2152.0,83.6,400,True,108.11954000000001
ETH_003,Ethylene,Bio-ethylene (Ethanol dehydration),9,2025,254.04761904761904,3768.03,0.15,11962.0,533.5,1250,True,111.88757000000001
PROP_002,Propylene,Bio-propylene (Renewable propane),7,2029,264.22222222222223,4019.4,0.2,11165.0,475.6,1900,True,115.90697
ETH_004,Ethylene,Methanol-to-Olefins (MTO),9,2025,358.75,5741.76,0.6,11962.0,287.0,1000,True,121.64873
PE_001,HDPE,Advanced Catalyst (Lower Temperature),8,2026,361.33333333333337,970.65,0.9,3595.0,108.4,600,True,122.61937999999999
PROP_001,Propylene,Electric Propane Dehydrogenation (ePDH),6,2028,388.4666666666667,11723.249999999998,0.7,11165.0,582.7,1800,False,134.34262999999999
PP_001,PP,Electric Heating Polymerization,6,2029,404.62499999999994,3300.6400000000003,0.7,5894.0,323.7,800,False,137.64327
H2_001,All_Products,Green Hydrogen Boilers,6,2030,502.74999999999994,32021.120000000003,0.8,100066.0,201.1,150,False,169.66439
ETH_001,Ethylene,Electric Steam Cracking,7,2027,578.5,17225.280000000002,0.8,11962.0,1041.3,2200,True,186.88967
ETH_002,Ethylene,Green H2 Steam Cracking,6,2030,794.7894736842105,15909.46,0.7,11962.0,1510.1,2400,False,202.79912999999996
