year,emission_target_pct,technology,deployment_fraction,technology_cost_usd_per_tco2,abatement_mtco2
2030,25.0,Fuel_Switch_Biomass,1.0,12.0,8.0
2030,25.0,Early_Retirement,1.0,50.0,5.2
2030,25.0,Bio_Naphtha,0.06610000000000013,207.75,0.6610000000000014
2030,25.0,Electrification_Renewable,0.0,317.0,0.0
2030,25.0,Process_Replacement_Electric,0.0,469.0,0.0
2030,25.0,Green_Hydrogen_Thermal,0.0,2675.0,0.0
2030,50.0,Fuel_Switch_Biomass,1.0,12.0,8.0
2030,50.0,Early_Retirement,1.0,50.0,5.2
2030,50.0,Bio_Naphtha,1.0,207.75,10.0
2030,50.0,Electrification_Renewable,0.36176000000000014,317.0,4.522000000000002
2030,50.0,Process_Replacement_Electric,0.0,469.0,0.0
2030,50.0,Green_Hydrogen_Thermal,0.0,2675.0,0.0
2030,75.0,Fuel_Switch_Biomass,1.0,12.0,8.0
2030,75.0,Early_Retirement,1.0,50.0,5.2
2030,75.0,Bio_Naphtha,1.0,207.75,10.0
2030,75.0,Electrification_Renewable,1.0,317.0,12.5
2030,75.0,Process_Replacement_Electric,0.9804999999999993,469.0,5.882999999999996
2030,75.0,Green_Hydrogen_Thermal,0.0,2675.0,0.0
2040,25.0,Fuel_Switch_Biomass,1.0,-35.0,8.0
2040,25.0,Early_Retirement,1.0,50.0,5.2
2040,25.0,Bio_Naphtha,0.06610000000000013,70.0,0.6610000000000014
2040,25.0,Electrification_Renewable,0.0,174.0,0.0
2040,25.0,Process_Replacement_Electric,0.0,248.0,0.0
2040,25.0,Green_Hydrogen_Thermal,0.0,1485.0,0.0
2040,50.0,Fuel_Switch_Biomass,1.0,-35.0,8.0
2040,50.0,Early_Retirement,1.0,50.0,5.2
2040,50.0,Bio_Naphtha,1.0,70.0,10.0
2040,50.0,Electrification_Renewable,0.36176000000000014,174.0,4.522000000000002
2040,50.0,Process_Replacement_Electric,0.0,248.0,0.0
2040,50.0,Green_Hydrogen_Thermal,0.0,1485.0,0.0
2040,75.0,Fuel_Switch_Biomass,1.0,-35.0,8.0
2040,75.0,Early_Retirement,1.0,50.0,5.2
2040,75.0,Bio_Naphtha,1.0,70.0,10.0
2040,75.0,Electrification_Renewable,1.0,174.0,12.5
2040,75.0,Process_Replacement_Electric,0.9804999999999993,248.0,5.882999999999996
2040,75.0,Green_Hydrogen_Thermal,0.0,1485.0,0.0
2050,25.0,Fuel_Switch_Biomass,1.0,-77.0,8.0
2050,25.0,Bio_Naphtha,0.5861000000000001,-63.5,5.861000000000001
2050,25.0,Early_Retirement,0.0,50.0,0.0
2050,25.0,Electrification_Renewable,0.0,50.0,0.0
2050,25.0,Process_Replacement_Electric,0.0,73.0,0.0
2050,25.0,Green_Hydrogen_Thermal,0.0,750.0,0.0
2050,50.0,Fuel_Switch_Biomass,1.0,-77.0,8.0
2050,50.0,Bio_Naphtha,1.0,-63.5,10.0
2050,50.0,Early_Retirement,1.0,50.0,5.2
2050,50.0,Electrification_Renewable,0.36176000000000014,50.0,4.522000000000002
2050,50.0,Process_Replacement_Electric,0.0,73.0,0.0
2050,50.0,Green_Hydrogen_Thermal,0.0,750.0,0.0
2050,75.0,Fuel_Switch_Biomass,1.0,-77.0,8.0
2050,75.0,Bio_Naphtha,1.0,-63.5,10.0
2050,75.0,Early_Retirement,1.0,50.0,5.2
2050,75.0,Electrification_Renewable,1.0,50.0,12.5
2050,75.0,Process_Replacement_Electric,0.9804999999999993,73.0,5.882999999999996
2050,75.0,Green_Hydrogen_Thermal,0.0,750.0,0.0
