Year,BaselineEmissions_MtCO2,OptimizedEmissions_MtCO2,EmissionReduction_MtCO2,CumulativeInvestment_Billion_USD
2023,24.8669305,24.8669305,0.0,0.0
2024,24.8669305,24.8669305,0.0,0.0
2025,24.8669305,24.8669305,0.0,0.0
2026,24.8669305,24.8669305,0.0,0.0
2027,24.8669305,24.8669305,0.0,0.0
2028,24.8669305,24.8669305,0.0,0.0
2029,24.8669305,24.8669305,0.0,0.0
2030,24.8669305,24.8669305,0.0,0.0
2031,24.8669305,20.266548359963124,4.600382140036873,2637.7300013847
2032,24.8669305,19.39620579222625,5.470724707773748,2932.2652827694
2033,24.8669305,18.525863224489378,6.341067275510623,3226.8005641541004
2034,24.8669305,17.6555206567525,7.211409843247497,3521.3358455388
2035,24.8669305,16.785178089015627,8.081752410984372,3815.8711269235
2036,24.8669305,15.914835521278754,8.952094978721245,4110.4064083082
2037,24.8669305,15.044492953541878,9.82243754645812,4404.9416896929
2038,24.8669305,14.174150385805003,10.692780114194996,4699.4769710776
2039,24.8669305,13.30380781806813,11.563122681931869,4994.0122524623
2040,24.8669305,12.433465250331254,12.433465249668744,5288.5475338470005
2041,24.8669305,11.585482855298128,13.28144764470187,5362.4577804623
2042,24.8669305,10.737500460265004,14.129430039734995,5436.3680270776
2043,24.8669305,9.88951806523188,14.97741243476812,5510.2782736929
2044,24.8669305,9.041535670198753,15.825394829801246,5584.1885203082
2045,24.8669305,8.193553275165627,16.673377224834372,5658.0987669235
2046,24.8669305,7.345570880132502,17.521359619867496,5732.0090135388
2047,24.8669305,6.497588485099378,18.36934201490062,5805.9192601541
2048,24.8669305,5.6496060900662535,19.217324409933745,5879.8295067694
2049,24.8669305,4.8016236950331255,20.065306804966873,5953.7397533847
2050,24.8669305,3.953641300000001,20.913289199999998,6027.65
