FacilityID,Company,Region,ProcessType,TechID,TechnologyCategory,DeploymentLevel,AbatementAchieved_ktCO2,AnnualCost_USD,LCOA_USD_per_tCO2
F001,LG Chem,Yeosu,NCC,NCC_LT_ElecCompr,Electric motor,1.0,957.228745,7270696299.501545,7595.568287600416
F001,LG Chem,Yeosu,BTX,BTX_LT_HeatPump,Heat pump,1.0,520.2330075,4479781394.49447,8611.105658255392
F002,GS Caltex,Yeosu,NCC,NCC_LT_ElecCompr,Electric motor,1.0,814.1831549999999,6244406671.787691,7669.535574937917
F002,GS Caltex,Yeosu,BTX,BTX_LT_HeatPump,Heat pump,1.0,402.130895625,3528817848.164395,8775.296518015197
F003,Lotte Chemical,Yeosu,NCC,NCC_LT_HeatPump,Heat pump,0.42226423,328.74675600857444,2780224279.476204,8457.039434341032
F003,Lotte Chemical,Yeosu,NCC,NCC_LT_ElecCompr,Electric motor,0.57773577,362.40576820509716,2994206502.61013,8262.027719480478
F003,Lotte Chemical,Yeosu,BTX,BTX_LT_HeatPump,Heat pump,1.0,320.25280499999997,2926438511.0697203,9137.90126231594
F004,여천NCC,Yeosu,NCC,NCC_LT_ElecCompr,Electric motor,1.0,522.12477,4044675719.586314,7746.569310600442
F004,여천NCC,Yeosu,BTX,BTX_LT_HeatPump,Heat pump,1.0,260.1165037499999,2284952511.192179,8784.34270125461
F005,한화 토탈,Daesan,NCC,NCC_LT_ElecCompr,Electric motor,1.0,547.0339749999998,3633367681.0007725,6641.941537544854
F005,한화 토탈,Daesan,BTX,BTX_LT_HeatPump,Heat pump,1.0,259.938703125,2054333139.1432986,7903.144527713541
F006,현대케미칼,Daesan,NCC,NCC_LT_ElecCompr,Electric motor,1.0,444.51518000000004,3038096435.473373,6834.62921440247
F006,현대케미칼,Daesan,BTX,BTX_LT_HeatPump,Heat pump,1.0,210.60788250000002,1718569534.5562134,8160.04374649279
F007,SK Chemicals,Ulsan,NCC,NCC_LT_HeatPump,Heat pump,1.0,492.16796999999997,3589486024.024473,7293.213380026485
F007,SK Chemicals,Ulsan,BTX,BTX_LT_HeatPump,Heat pump,1.0,201.0654478125,1595427121.7886548,7934.864687822654
F008,대한유화,Ulsan,NCC,NCC_LT_HeatPump,Heat pump,1.0,527.0266399999999,3089265162.201184,5861.686920041052
F008,대한유화,Ulsan,BTX,BTX_LT_HeatPump,Heat pump,1.0,186.6067021875,1201458674.1893494,6438.454032493106
