year,emissions_mt_co2,active_facilities
2023,50.00045158346312,76
2024,49.64176808481568,74
2025,49.31344089952727,73
2026,48.46586978714102,71
2027,48.46586978714102,71
2028,48.46586978714102,71
2029,47.269490521080954,69
2030,43.043149290925484,62
2031,38.61036191491105,57
2032,38.61036191491105,57
2033,36.757971172500476,51
2034,36.5861080689674,50
2035,36.56457996557095,49
2036,34.93191745225018,43
2037,33.428547831789494,39
2038,32.537423559308145,35
2039,27.156511080143183,30
2040,26.769005219007024,29
2041,22.814348006667217,26
2042,22.814348006667217,26
2043,19.34383848402875,19
2044,17.63647591332623,16
2045,17.63647591332623,16
2046,0.42699795065169294,2
2047,0.22587572751864915,1
2048,0.0,0
2049,0.0,0
2050,0.0,0
