year,retired_capacity_kt,retired_emissions_mtco2,adjusted_retired_emissions_mtco2,facilities_retired,growth_factor
2025,6330,8.731246686331382,8.731246686331382,10,1.0
2026,110,0.03467077672836199,0.034740118281818715,1,1.002
2027,0,0.0,0.0,0,1.004004
2028,0,0.0,0.0,0,1.006012008
2029,1170,2.429764258624375,2.4492607648269096,3,1.008024032016
2030,3830,1.2071734079056946,1.219293525591553,6,1.010040080080032
2031,11244,18.138282255277506,18.357032845757985,16,1.012060160240192
2032,3732,5.3969172690184735,5.472928965998068,10,1.0140842805606725
2033,0,0.0,0.0,0,1.0161124491217939
2034,0,0.0,0.0,0,1.0181446740200375
2035,240,0.07564533104369889,0.07717192669845786,2,1.0201809633680774
2036,620,1.287567384912062,1.3161788386111852,1,1.0222213252948136
2037,6738,3.955736686639707,4.051725675130824,7,1.0242657679454032
2038,360,0.11346799656554832,0.11645382740871661,1,1.0263142994812942
2039,0,0.0,0.0,0,1.0283669280802568
2040,190,0.39457710182788996,0.4065815821817529,1,1.030423661936417
2041,0,0.0,0.0,0,1.0324845092602901
2042,0,0.0,0.0,0,1.0345494782788105
2043,0,0.0,0.0,0,1.0366185772353682
2044,0,0.0,0.0,0,1.038691814389839
2045,0,0.0,0.0,0,1.0407691980186187
2046,600,0.18911332760924723,0.19721697296312957,1,1.042850736414656
2047,0,0.0,0.0,0,1.0449364378874852
2048,335,0.10558827458182969,0.11055370159527127,3,1.0470263107632602
2049,0,0.0,0.0,0,1.0491203633847868
2050,0,0.0,0.0,0,1.0512186041115563
