Company,Year,Baseline_Emissions_kt,Optimized_Emissions_kt,Annual_Reduction_kt,Reduction_Percent,Facilities_Count
LG Chem,2025,20387.183497314443,11608.523140635014,8778.66035667943,43.059701492537314,67
LG Chem,2030,20387.183497314443,10215.500363758812,10171.68313355563,49.89253731343284,67
LG Chem,2035,20387.183497314443,8822.477586882611,11564.705910431832,56.72537313432836,67
LG Chem,2040,20387.183497314443,7429.454810006409,12957.728687308034,63.55820895522388,67
LG Chem,2045,20387.183497314443,6036.432033130208,14350.751464184235,70.3910447761194,67
LG Chem,2050,20387.183497314443,4643.409256254005,15743.774241060437,77.22388059701493,67
Lotte Chemical,2025,13906.365026728474,7621.757755033876,6284.607271694598,45.192307692307686,52
Lotte Chemical,2030,13906.365026728474,6707.146824429811,7199.218202298663,51.76923076923076,52
Lotte Chemical,2035,13906.365026728474,5792.535893825746,8113.829132902728,58.34615384615384,52
Lotte Chemical,2040,13906.365026728474,4877.924963221681,9028.440063506794,64.92307692307693,52
Lotte Chemical,2045,13906.365026728474,3963.3140326176153,9943.050994110858,71.49999999999999,52
Lotte Chemical,2050,13906.365026728474,3048.7031020135505,10857.661924714923,78.07692307692307,52
SK Chemicals,2025,7374.308741881511,4075.8003722020785,3298.5083696794327,44.729729729729726,37
SK Chemicals,2030,7374.308741881511,3586.704327537829,3787.604414343682,51.362162162162164,37
SK Chemicals,2035,7374.308741881511,3097.60828287358,4276.700459007931,57.994594594594595,37
SK Chemicals,2040,7374.308741881511,2608.5122382093305,4765.796503672181,64.62702702702703,37
SK Chemicals,2045,7374.308741881511,2119.416193545081,5254.89254833643,71.25945945945945,37
SK Chemicals,2050,7374.308741881511,1630.3201488808315,5743.988593000679,77.89189189189189,37
Hanwha Solutions,2025,4421.935732331163,2218.1000205725672,2203.835711758596,49.83870967741936,31
Hanwha Solutions,2030,4421.935732331163,1951.9280181038591,2470.007714227304,55.85806451612903,31
Hanwha Solutions,2035,4421.935732331163,1685.7560156351512,2736.1797166960123,61.877419354838715,31
Hanwha Solutions,2040,4421.935732331163,1419.5840131664431,3002.35171916472,67.8967741935484,31
Hanwha Solutions,2045,4421.935732331163,1153.412010697735,3268.523721633428,73.91612903225806,31
Hanwha Solutions,2050,4421.935732331163,887.240008229027,3534.6957241021364,79.93548387096774,31
HD Hyundai Chemical,2025,2501.237632631651,1250.6188163158256,1250.6188163158256,50.0,18
HD Hyundai Chemical,2030,2501.237632631651,1100.5445583579265,1400.6930742737247,56.00000000000001,18
HD Hyundai Chemical,2035,2501.237632631651,950.4703004000274,1550.7673322316236,62.0,18
HD Hyundai Chemical,2040,2501.237632631651,800.3960424421284,1700.8415901895228,68.0,18
HD Hyundai Chemical,2045,2501.237632631651,650.3217844842293,1850.915848147422,74.0,18
HD Hyundai Chemical,2050,2501.237632631651,500.24752652633026,2000.990106105321,80.0,18
Kumho Petrochemical,2025,2365.2186808391148,1300.8702744615132,1064.3484063776016,44.99999999999999,16
Kumho Petrochemical,2030,2365.2186808391148,1144.7658415261317,1220.452839312983,51.59999999999999,16
Kumho Petrochemical,2035,2365.2186808391148,988.66140859075,1376.5572722483648,58.199999999999996,16
Kumho Petrochemical,2040,2365.2186808391148,832.5569756553684,1532.6617051837463,64.8,16
Kumho Petrochemical,2045,2365.2186808391148,676.4525427199869,1688.7661381191278,71.39999999999999,16
Kumho Petrochemical,2050,2365.2186808391148,520.3481097846053,1844.8705710545096,78.0,16
OCI Company,2025,572.2830128127483,286.14150640637416,286.14150640637416,50.0,10
OCI Company,2030,572.2830128127483,251.80452563760926,320.4784871751391,56.00000000000001,10
OCI Company,2035,572.2830128127483,217.46754486884436,354.81546794390397,62.0,10
OCI Company,2040,572.2830128127483,183.13056410007945,389.15244871266884,68.0,10
OCI Company,2045,572.2830128127483,148.79358333131458,423.4894294814337,73.99999999999999,10
OCI Company,2050,572.2830128127483,114.45660256254968,457.82641025019865,80.0,10
Other Companies,2025,471.4676754608993,212.16045395740468,259.3072215034946,54.99999999999999,6
Other Companies,2030,471.4676754608993,186.70119948251613,284.76647597838314,60.4,6
Other Companies,2035,471.4676754608993,161.24194500762755,310.2257304532717,65.8,6
Other Companies,2040,471.4676754608993,135.782690532739,335.68498492816025,71.2,6
Other Companies,2045,471.4676754608993,110.32343605785043,361.14423940304886,76.6,6
Other Companies,2050,471.4676754608993,84.86418158296188,386.6034938779374,82.0,6
