facility_id,company,location,product,process,start_year,capacity_kt,annual_emissions_kt_co2,emission_intensity_t_co2_per_t
롯데케미칼_대산_Ethylene_1991,롯데케미칼,대산,Ethylene,Naphtha Cracker,1991,1100,2955.247058823529,2.6865882352941175
HD현대케미칼_대산_Ethylene_2021,HD현대케미칼,대산,Ethylene,Naphtha Cracker,2021,850,2283.5999999999995,2.686588235294117
LG화학_대산_Ethylene_1991,LG화학,대산,Ethylene,Naphtha Cracker,1991,1300,3492.5647058823524,2.686588235294117
한화토탈에너지스_대산_Ethylene_1991,한화토탈에너지스,대산,Ethylene,Naphtha Cracker,1991,1525,4097.047058823529,2.6865882352941175
롯데케미칼_여수_Ethylene_1992,롯데케미칼,여수,Ethylene,Naphtha Cracker,1992,1230,3304.5035294117642,2.686588235294117
LG화학_여수_Ethylene_2021,LG화학,여수,Ethylene,Naphtha Cracker,2021,1030,2767.185882352941,2.6865882352941175
여천NCC_여수_Ethylene_1979,여천NCC,여수,Ethylene,Naphtha Cracker,1979,2285,6138.854117647059,2.6865882352941175
GS칼텍스_여수_Ethylene_2021,GS칼텍스,여수,Ethylene,Naphtha Cracker,2021,900,2417.929411764706,2.6865882352941175
대한유화_온산_Ethylene_1991,대한유화,온산,Ethylene,Naphtha Cracker,1991,900,2417.929411764706,2.6865882352941175
S-Oil_온산_Ethylene_2018,S-Oil,온산,Ethylene,Naphtha Cracker,2018,182,488.95905882352935,2.6865882352941175
SK지오센트릭_울산_Ethylene_1989,SK지오센트릭,울산,Ethylene,Naphtha Cracker,1989,660,1773.1482352941175,2.6865882352941175
롯데케미칼_대산_Propylene_1997,롯데케미칼,대산,Propylene,Naphtha Cracker,1997,550,1472.040625,2.6764375
HD현대오일뱅크_대산_Propylene_2011,HD현대오일뱅크,대산,Propylene,Naphtha Cracker,2011,420,1124.1037500000002,2.6764375000000005
HD현대케미칼_대산_Propylene_2021,HD현대케미칼,대산,Propylene,Naphtha Cracker,2021,451,1207.0733125000002,2.6764375000000005
LG화학_대산_Propylene_1991,LG화학,대산,Propylene,Naphtha Cracker,1991,680,1819.9775,2.6764375
한화토탈에너지스_대산_Propylene_1991,한화토탈에너지스,대산,Propylene,Naphtha Cracker,1991,1064,2847.7295000000004,2.6764375000000005
롯데케미칼_여수_Propylene_1992,롯데케미칼,여수,Propylene,Naphtha Cracker,1992,641,1715.5964374999999,2.6764374999999996
LG화학_여수_Propylene_2021,LG화학,여수,Propylene,Naphtha Cracker,2021,1300,3479.3687500000005,2.6764375000000005
여천NCC_여수_Propylene_1979,여천NCC,여수,Propylene,Naphtha Cracker,1979,1289,3449.9279375,2.6764375
GS칼텍스_여수_Propylene_2021,GS칼텍스,여수,Propylene,Naphtha Cracker,2021,970,2596.144375,2.6764375
대한유화_온산_Propylene_1991,대한유화,온산,Propylene,Naphtha Cracker,1991,560,1498.805,2.6764375
S-Oil_온산_Propylene_2018,S-Oil,온산,Propylene,Naphtha Cracker,2018,840,2248.2075000000004,2.6764375000000005
SK어드밴스드_울산_Propylene_2016,SK어드밴스드,울산,Propylene,Naphtha Cracker,2016,600,1605.8625000000002,2.6764375000000005
SK에너지_울산_Propylene_1996,SK에너지,울산,Propylene,Naphtha Cracker,1996,620,1659.3912500000001,2.6764375
SK지오센트릭_울산_Propylene_1989,SK지오센트릭,울산,Propylene,Naphtha Cracker,1989,380,1017.04625,2.6764375
태광산업_울산_Propylene_1997,태광산업,울산,Propylene,Naphtha Cracker,1997,300,802.9312500000001,2.6764375000000005
효성화학_울산_Propylene_1991,효성화학,울산,Propylene,Naphtha Cracker,1991,500,1338.21875,2.6764375
롯데케미칼_대산_Butadiene_1997,롯데케미칼,대산,Butadiene,Naphtha Cracker,1997,190,615.9800000000001,3.242000000000001
HD현대케미칼_대산_Butadiene_2021,HD현대케미칼,대산,Butadiene,Naphtha Cracker,2021,163,528.4460000000001,3.242000000000001
LG화학_대산_Butadiene_1991,LG화학,대산,Butadiene,Naphtha Cracker,1991,200,648.4000000000001,3.2420000000000004
한화토탈에너지스_대산_Butadiene_1991,한화토탈에너지스,대산,Butadiene,Naphtha Cracker,1991,150,486.3000000000001,3.242000000000001
금호석유화학_여수_Butadiene_1992,금호석유화학,여수,Butadiene,Naphtha Cracker,1992,147,476.5740000000001,3.242000000000001
롯데GS화학_여수_Butadiene_2022,롯데GS화학,여수,Butadiene,Naphtha Cracker,2022,130,421.46000000000004,3.2420000000000004
롯데케미칼_여수_Butadiene_2011,롯데케미칼,여수,Butadiene,Naphtha Cracker,2011,160,518.72,3.242
LG화학_여수_Butadiene_1991,LG화학,여수,Butadiene,Naphtha Cracker,1991,306,992.0520000000001,3.2420000000000004
여천NCC_여수_Butadiene_1992,여천NCC,여수,Butadiene,Naphtha Cracker,1992,378,1225.476,3.2420000000000004
금호석유화학_울산_Butadiene_1979,금호석유화학,울산,Butadiene,Naphtha Cracker,1979,90,291.78000000000003,3.2420000000000004
대한유화_울산_Butadiene_2023,대한유화,울산,Butadiene,Naphtha Cracker,2023,146,473.3320000000001,3.242000000000001
SK지오센트릭_울산_Butadiene_1989,SK지오센트릭,울산,Butadiene,Naphtha Cracker,1989,130,421.46000000000004,3.2420000000000004
OCI_광양_벤젠_1995,OCI,광양,벤젠,BTX Plant,1995,200,326.4,1.632
롯데케미칼_대산_벤젠_2011,롯데케미칼,대산,벤젠,BTX Plant,2011,240,391.68,1.6320000000000001
HD현대케미칼_대산_벤젠_2016,HD현대케미칼,대산,벤젠,BTX Plant,2016,410,669.12,1.6320000000000001
HD현대오일뱅크_대산_벤젠_1997,HD현대오일뱅크,대산,벤젠,BTX Plant,1997,338,551.616,1.632
LG화학_대산_벤젠_1991,LG화학,대산,벤젠,BTX Plant,1991,270,440.64,1.632
한화토탈에너지스_대산_벤젠_1991,한화토탈에너지스,대산,벤젠,BTX Plant,1991,1267,2067.7439999999997,1.6319999999999997
롯데케미칼_여수_벤젠_1992,롯데케미칼,여수,벤젠,BTX Plant,1992,235,383.52000000000004,1.6320000000000001
LG화학_여수_벤젠_1992,LG화학,여수,벤젠,BTX Plant,1992,630,1028.16,1.6320000000000001
여천NCC_여수_벤젠_1979,여천NCC,여수,벤젠,BTX Plant,1979,457,745.8240000000001,1.6320000000000001
GS칼텍스_여수_벤젠_1990,GS칼텍스,여수,벤젠,BTX Plant,1990,930,1517.7600000000002,1.6320000000000003
대한유화_온산_벤젠_2008,대한유화,온산,벤젠,BTX Plant,2008,210,342.72,1.6320000000000001
S-Oil_온산_벤젠_1991,S-Oil,온산,벤젠,BTX Plant,1991,672,1096.704,1.632
롯데케미칼_울산_벤젠_1986,롯데케미칼,울산,벤젠,BTX Plant,1986,110,179.51999999999998,1.632
SK지오센트릭_울산_벤젠_1972,SK지오센트릭,울산,벤젠,BTX Plant,1972,603,984.096,1.632
울산아로마틱스_울산_벤젠_2014,울산아로마틱스,울산,벤젠,BTX Plant,2014,600,979.2,1.6320000000000001
SK인천석유화학_인천_벤젠_2006,SK인천석유화학,인천,벤젠,BTX Plant,2006,600,979.2,1.6320000000000001
OCI_광양_톨루엔_1995,OCI,광양,톨루엔,BTX Plant,1995,40,84.88000000000001,2.1220000000000003
롯데케미칼_대산_톨루엔_2011,롯데케미칼,대산,톨루엔,BTX Plant,2011,120,254.64000000000001,2.1220000000000003
LG화학_대산_톨루엔_2011,LG화학,대산,톨루엔,BTX Plant,2011,100,212.2,2.122
롯데케미칼_여수_톨루엔_1992,롯데케미칼,여수,톨루엔,BTX Plant,1992,220,466.84000000000003,2.1220000000000003
LG화학_여수_톨루엔_1992,LG화학,여수,톨루엔,BTX Plant,1992,112,237.66400000000002,2.1220000000000003
여천NCC_여수_톨루엔_1979,여천NCC,여수,톨루엔,BTX Plant,1979,282,598.404,2.122
GS칼텍스_여수_톨루엔_1990,GS칼텍스,여수,톨루엔,BTX Plant,1990,170,360.74,2.122
대한유화_온산_톨루엔_2008,대한유화,온산,톨루엔,BTX Plant,2008,78,165.51600000000002,2.1220000000000003
S-Oil_온산_톨루엔_1991,S-Oil,온산,톨루엔,BTX Plant,1991,300,636.6,2.122
SK지오센트릭_울산_톨루엔_2070,SK지오센트릭,울산,톨루엔,BTX Plant,2070,1506,3195.732,2.122
롯데케미칼_대산_자일렌_2011,롯데케미칼,대산,자일렌,BTX Plant,2011,60,251.36999999999995,4.189499999999999
HD현대케미칼_대산_자일렌_2016,HD현대케미칼,대산,자일렌,BTX Plant,2016,1350,5655.824999999999,4.189499999999999
롯데케미칼_여수_자일렌_1992,롯데케미칼,여수,자일렌,BTX Plant,1992,79,330.97049999999996,4.1895
LG화학_여수_자일렌_1992,LG화학,여수,자일렌,BTX Plant,1992,60,251.36999999999995,4.189499999999999
여천NCC_여수_자일렌_1979,여천NCC,여수,자일렌,BTX Plant,1979,204,854.6579999999999,4.1895
GS칼텍스_여수_자일렌_1990,GS칼텍스,여수,자일렌,BTX Plant,1990,350,1466.3249999999998,4.1895
대한유화_온산_자일렌_2008,대한유화,온산,자일렌,BTX Plant,2008,47,196.9065,4.1895
S-Oil_온산_자일렌_1991,S-Oil,온산,자일렌,BTX Plant,1991,450,1885.2749999999996,4.189499999999999
SK지오센트릭_울산_자일렌_2070,SK지오센트릭,울산,자일렌,BTX Plant,2070,894,3745.4129999999996,4.1895
롯데케미칼_울산_O-X_1980,롯데케미칼,울산,O-X,BTX Plant,1980,210,1.89,0.009
SK지오센트릭_울산_O-X_1990,SK지오센트릭,울산,O-X,BTX Plant,1990,200,1.7999999999999998,0.009
롯데케미칼_울산_M-X_1998,롯데케미칼,울산,M-X,BTX Plant,1998,360,3.2399999999999998,0.009
HD현대오일뱅크_대산_P-X_1997,HD현대오일뱅크,대산,P-X,BTX Plant,1997,1460,0.0,0.0
한화토탈에너지스_대산_P-X_1997,한화토탈에너지스,대산,P-X,BTX Plant,1997,2000,0.0,0.0
GS칼텍스_여수_P-X_1990,GS칼텍스,여수,P-X,BTX Plant,1990,1350,0.0,0.0
S-Oil_온산_P-X_1997,S-Oil,온산,P-X,BTX Plant,1997,1900,0.0,0.0
롯데케미칼_울산_P-X_1980,롯데케미칼,울산,P-X,BTX Plant,1980,750,0.0,0.0
SK지오센트릭_울산_P-X_1990,SK지오센트릭,울산,P-X,BTX Plant,1990,830,0.0,0.0
울산아로마틱스_울산_P-X_2014,울산아로마틱스,울산,P-X,BTX Plant,2014,1000,0.0,0.0
SK인천석유화학_인천_P-X_2014,SK인천석유화학,인천,P-X,BTX Plant,2014,1500,0.0,0.0
SK지오센트릭_울산_C-H_1974,SK지오센트릭,울산,C-H,Naphtha Cracker,1974,160,1.44,0.009
카프로_울산_C-H_2000,카프로,울산,C-H,Naphtha Cracker,2000,190,1.71,0.009
롯데케미칼_대산_SM_2005,롯데케미칼,대산,SM,Utility,2005,350,3.15,0.009
LG화학_대산_SM_2006,LG화학,대산,SM,Utility,2006,577,5.193,0.009
한화토탈에너지스_대산_SM_1991,한화토탈에너지스,대산,SM,Utility,1991,1071,9.639,0.009
여천NCC_여수_SM_1986,여천NCC,여수,SM,Utility,1986,351,3.159,0.009
SKpicglobal_울산_SM_1990,SKpicglobal,울산,SM,Utility,1990,400,3.5999999999999996,0.009
LG화학_여수_EDC_1996,LG화학,여수,EDC,Utility,1996,810,7.289999999999999,0.009
한화솔루션_여수_EDC_1980,한화솔루션,여수,EDC,Utility,1980,1586,14.274,0.009
한화솔루션_울산_EDC_1991,한화솔루션,울산,EDC,Utility,1991,385,3.465,0.009
LG화학_대산_VCM_1997,LG화학,대산,VCM,Utility,1997,230,2.07,0.009
LG화학_여수_VCM_1990,LG화학,여수,VCM,Utility,1990,720,6.4799999999999995,0.009
한화솔루션_여수_VCM_1979,한화솔루션,여수,VCM,Utility,1979,583,5.247,0.009
한화솔루션_울산_VCM_1972,한화솔루션,울산,VCM,Utility,1972,264,2.376,0.009
롯데케미칼_여수_PC_2008,롯데케미칼,여수,PC,Utility,2008,480,4.319999999999999,0.009
LG화학_여수_PC_2001,LG화학,여수,PC,Utility,2001,170,1.5299999999999998,0.009
삼양화성_전주_PC_1999,삼양화성,전주,PC,Utility,1999,120,1.0799999999999998,0.009
HD현대케미칼_대산_LDPE_2021,HD현대케미칼,대산,LDPE,Utility,2021,300,4.499999999999999,0.014999999999999998
LG화학_대산_LDPE_2006,LG화학,대산,LDPE,Utility,2006,280,4.199999999999999,0.014999999999999998
한화토탈에너지스_대산_LDPE_1991,한화토탈에너지스,대산,LDPE,Utility,1991,435,6.524999999999999,0.014999999999999996
LG화학_여수_LDPE_1990,LG화학,여수,LDPE,Utility,1990,180,2.6999999999999997,0.014999999999999998
한화솔루션_여수_LDPE_1979,한화솔루션,여수,LDPE,Utility,1979,337,5.055,0.015
롯데케미칼_울산_LDPE_1972,롯데케미칼,울산,LDPE,Utility,1972,120,1.7999999999999996,0.014999999999999996
롯데케미칼_대산_LDPE_2005,롯데케미칼,대산,LDPE,Utility,2005,500,7.499999999999999,0.014999999999999998
LG화학_대산_L-LDPE_2006,LG화학,대산,L-LDPE,Utility,2006,125,1.7307692307692308,0.013846153846153847
한화토탈에너지스_대산_L-LDPE_2004,한화토탈에너지스,대산,L-LDPE,Utility,2004,530,7.338461538461539,0.013846153846153847
DL케미칼_여수_L-LDPE_2010,DL케미칼,여수,L-LDPE,Utility,2010,10,0.13846153846153844,0.013846153846153845
롯데케미칼_여수_L-LDPE_2019,롯데케미칼,여수,L-LDPE,Utility,2019,600,8.307692307692307,0.013846153846153845
LG화학_여수_L-LDPE_2021,LG화학,여수,L-LDPE,Utility,2021,425,5.884615384615385,0.013846153846153847
한화솔루션_여수_L-LDPE_1986,한화솔루션,여수,L-LDPE,Utility,1986,288,3.9876923076923076,0.013846153846153847
SSNC_울산_L-LDPE_2015,SSNC,울산,L-LDPE,Utility,2015,180,2.4923076923076923,0.013846153846153847
