year,+0.2% Growth_mtco2,Zero Growth_mtco2,-0.2% Growth_mtco2
2025,60.89825306410024,60.89825306410024,60.89825306410024
2026,61.02004957022843,60.89825306410024,60.77645655797204
2027,61.142089669368886,60.89825306410024,60.6549036448561
2028,61.26437384870763,60.89825306410024,60.53359383756638
2029,53.417130929483285,52.9919220503618,52.56925678519447
2030,53.21834592644201,52.689340726187005,52.164550681620376
2031,53.3247826182949,52.689340726187005,52.06022158025715
2032,53.431432183531484,52.689340726187005,51.956101137096624
2033,53.53829504789856,52.689340726187005,51.85218893482245
2034,53.64537163799435,52.689340726187005,51.74848455695278
2035,53.752662381270326,52.689340726187005,51.644987587838884
2036,53.824726498696606,52.65466994945864,51.507782011034855
2037,53.932375951694,52.65466994945864,51.4047664470128
2038,54.0402407035974,52.65466994945864,51.30195691411877
2039,51.649631978403846,50.22490569083427,48.836744743431105
2040,50.50903119879418,49.01773228292858,47.56761040330656
2041,31.88255380802696,30.87945002765106,29.90599231775254
2042,26.362940970666042,25.48253275863259,24.62985148303059
2043,26.415666852607377,25.48253275863259,24.580591780064527
2044,26.46849818631259,25.48253275863259,24.531430596504396
2045,26.442705852161016,25.406887427588888,24.409691411116583
2046,25.152850668326302,24.11932004267683,23.126314494198763
2047,21.06966296710482,20.163583356037122,19.29477076709555
2048,20.992998315205302,20.050115359471576,19.14781951888519
2049,21.03498431183571,20.050115359471576,19.109523879847412
2050,20.66226749026149,19.655538257643684,18.695990273851695
