year,emission_target_pct,technology,deployment_fraction,abatement_mtco2,technology_cost_usd_per_tco2
2030,25.0,Fuel_Switch_Biomass,1.0,8.0,12.0
2030,25.0,Early_Retirement,1.0,5.2,50.0
2030,25.0,Bio_Naphtha,0.06610000000000013,0.6610000000000014,207.75
2030,50.0,Fuel_Switch_Biomass,1.0,8.0,12.0
2030,50.0,Early_Retirement,1.0,5.2,50.0
2030,50.0,Bio_Naphtha,1.0,10.0,207.75
2030,50.0,Electrification_Renewable,0.36176000000000014,4.522000000000002,317.0
2030,75.0,Fuel_Switch_Biomass,1.0,8.0,12.0
2030,75.0,Early_Retirement,1.0,5.2,50.0
2030,75.0,Bio_Naphtha,1.0,10.0,207.75
2030,75.0,Electrification_Renewable,1.0,12.5,317.0
2030,75.0,Process_Replacement_Electric,0.9804999999999993,5.882999999999996,469.0
2040,25.0,Fuel_Switch_Biomass,1.0,8.0,-35.0
2040,25.0,Early_Retirement,1.0,5.2,50.0
2040,25.0,Bio_Naphtha,0.06610000000000013,0.6610000000000014,70.0
2040,50.0,Fuel_Switch_Biomass,1.0,8.0,-35.0
2040,50.0,Early_Retirement,1.0,5.2,50.0
2040,50.0,Bio_Naphtha,1.0,10.0,70.0
2040,50.0,Electrification_Renewable,0.36176000000000014,4.522000000000002,174.0
2040,75.0,Fuel_Switch_Biomass,1.0,8.0,-35.0
2040,75.0,Early_Retirement,1.0,5.2,50.0
2040,75.0,Bio_Naphtha,1.0,10.0,70.0
2040,75.0,Electrification_Renewable,1.0,12.5,174.0
2040,75.0,Process_Replacement_Electric,0.9804999999999993,5.882999999999996,248.0
2050,25.0,Fuel_Switch_Biomass,1.0,8.0,-77.0
2050,25.0,Bio_Naphtha,0.5861000000000001,5.861000000000001,-63.5
2050,50.0,Fuel_Switch_Biomass,1.0,8.0,-77.0
2050,50.0,Bio_Naphtha,1.0,10.0,-63.5
2050,50.0,Early_Retirement,1.0,5.2,50.0
2050,50.0,Electrification_Renewable,0.36176000000000014,4.522000000000002,50.0
2050,75.0,Fuel_Switch_Biomass,1.0,8.0,-77.0
2050,75.0,Bio_Naphtha,1.0,10.0,-63.5
2050,75.0,Early_Retirement,1.0,5.2,50.0
2050,75.0,Electrification_Renewable,1.0,12.5,50.0
2050,75.0,Process_Replacement_Electric,0.9804999999999993,5.882999999999996,73.0
