year,total_emissions_mt,naphtha_mt,electricity_mt,lng_mt,fuel_gas_mt,other_fuels_mt,active_facilities,active_capacity_kt,grid_emission_factor
2025,50.588532290413525,37.79690837687548,7.497630454264724,2.0818532345822485,2.646996729636659,0.5651434950544117,229,93290,0.0045
2026,50.24892186433467,37.79690837687548,7.158020028185873,2.0818532345822485,2.646996729636659,0.5651434950544117,225,92160,0.0043
2027,49.915990700233,37.79690837687548,6.825088864084204,2.0818532345822485,2.646996729636659,0.5651434950544117,225,92160,0.0040999999999999995
2028,49.57847949465445,37.79690837687548,6.487577658505652,2.0818532345822485,2.646996729636659,0.5651434950544117,223,91130,0.0039
2029,42.4080844703869,32.290926685836396,5.525935136528841,1.8046469832864236,2.2956113240108302,0.4909643407244071,212,84853,0.0037
2030,42.09224745817134,32.290926685836396,5.210098124313279,1.8046469832864236,2.2956113240108302,0.4909643407244071,204,79302,0.0035
2031,41.794022183780555,32.290926685836396,4.911872849922498,1.8046469832864236,2.2956113240108302,0.4909643407244071,202,79112,0.0033
2032,41.49558272133958,32.290926685836396,4.613433387481524,1.8046469832864236,2.2956113240108302,0.4909643407244071,199,78847,0.0031
2033,41.197602921504476,32.290926685836396,4.315453587646411,1.8046469832864236,2.2956113240108302,0.4909643407244071,197,78702,0.0029000000000000002
2034,40.899462097118025,32.290926685836396,4.017312763259967,1.8046469832864236,2.2956113240108302,0.4909643407244071,195,78572,0.0027
2035,40.600366954903315,32.290926685836396,3.718217621045254,1.8046469832864236,2.2956113240108302,0.4909643407244071,194,78306,0.0025
2036,40.436577287126475,32.290926685836396,3.564838054351396,1.800482942853232,2.2904062734693404,0.48992333061610915,191,77557,0.0024000000000000002
2037,40.28490419113234,32.290926685836396,3.4131649583572603,1.800482942853232,2.2904062734693404,0.48992333061610915,188,76425,0.0023
2038,40.135817686435445,32.290926685836396,3.2640784536603578,1.800482942853232,2.2904062734693404,0.48992333061610915,185,76037,0.0022
2039,37.93304609104178,30.526564131711734,3.0152023188110206,1.7259628280049097,2.1956398202595158,0.46967699225460685,176,73509,0.0021
2040,37.461127266928905,30.526564131711734,2.702431858224291,1.6623034825944472,2.116065638496438,0.45376215590199115,156,64240,0.002
2041,22.301393343116057,18.054871262181543,1.6680835271388859,1.0099494483991538,1.2892192768978141,0.27926982849866067,130,48827,0.0018
2042,17.70267564272703,14.414895581637332,1.240554832989413,0.8000669369772644,1.023612614050143,0.22354567707287895,113,43195,0.0016
2043,17.54679819689393,14.414895581637332,1.0846773871563158,0.8000669369772644,1.023612614050143,0.22354567707287895,112,42790,0.0014
2044,17.391844284443028,14.414895581637332,0.9297234747054137,0.8000669369772644,1.023612614050143,0.22354567707287895,112,42790,0.0012000000000000001
2045,17.209651819742948,14.414895581637332,0.7715057882570409,0.7904770256765802,1.0116252249242874,0.2211481992477079,108,41160,0.001
2046,16.155034917176668,13.5617225281672,0.6654629999083619,0.754133764439448,0.9639246945505517,0.2097909301111041,98,38632,0.0009
2047,14.3672541586777,12.09347320227799,0.5388473778226894,0.6797207698406167,0.8674667892885103,0.18774601944789412,83,29938,0.0008
2048,14.29946905865759,12.09347320227799,0.4710622778025792,0.6797207698406167,0.8674667892885103,0.18774601944789412,79,29338,0.0007
2049,14.23204800341517,12.09347320227799,0.4036412225601593,0.6797207698406167,0.8674667892885103,0.18774601944789412,77,29118,0.0006000000000000001
2050,13.971026590895855,11.899801899817625,0.33629111250121146,0.6797207698406167,0.8674667892885103,0.18774601944789412,76,28928,0.0005
2051,13.970853294184263,11.899801899817625,0.3361178157896179,0.6797207698406167,0.8674667892885103,0.18774601944789412,74,28498,0.0005
2052,13.970853294184263,11.899801899817625,0.3361178157896179,0.6797207698406167,0.8674667892885103,0.18774601944789412,74,28498,0.0005
2053,13.970853294184263,11.899801899817625,0.3361178157896179,0.6797207698406167,0.8674667892885103,0.18774601944789412,74,28498,0.0005
2054,13.970368307038639,11.899801899817625,0.33563282864399296,0.6797207698406167,0.8674667892885103,0.18774601944789412,72,27918,0.0005
2055,13.968682328705581,11.899801899817625,0.33394685031093707,0.6797207698406167,0.8674667892885103,0.18774601944789412,65,24948,0.0005
2056,13.907591903335586,11.899801899817625,0.3296387944844658,0.6570078220232067,0.8390756045167481,0.18206778249354164,59,22249,0.0005
2057,13.907591903335586,11.899801899817625,0.32963879448446576,0.6570078220232067,0.8390756045167481,0.18206778249354164,58,22249,0.0005
2058,13.865037049263698,11.899801899817625,0.32347197556171736,0.64245260796355,0.8208815869421772,0.17842897897862747,52,21119,0.0005
2059,13.864997956749686,11.899801899817625,0.3234328830477067,0.64245260796355,0.8208815869421772,0.17842897897862747,51,21022,0.0005
2060,13.864989186252231,11.899801899817625,0.32342411255024994,0.64245260796355,0.8208815869421772,0.17842897897862747,50,21012,0.0005
2061,12.860453398113549,11.070413041386484,0.29727249724419597,0.5843061437760896,0.7463839297414341,0.1620777859653448,43,19912,0.0005
2062,12.859917790370043,11.070413041386484,0.29673688950068966,0.5843061437760896,0.7463839297414341,0.1620777859653448,39,18583,0.0005
2063,12.859595377883357,11.070413041386484,0.29641447701400414,0.5843061437760896,0.7463839297414341,0.1620777859653448,35,17783,0.0005
2064,12.799893488869515,11.070413041386484,0.2934949575436869,0.5615931959586796,0.7179927449696718,0.15639954901099237,30,14396,0.0005
2065,12.799735619915293,11.070413041386484,0.2933370885894655,0.5615931959586796,0.7179927449696718,0.15639954901099237,29,14216,0.0005
2066,11.503403892027539,10.244761699318616,0.14542209300868864,0.4342455847616065,0.5566100498501168,0.12236446508851044,27,12186,0.0005
2067,11.503403892027539,10.244761699318616,0.14542209300868864,0.4342455847616065,0.5566100498501168,0.12236446508851044,27,12186,0.0005
2068,9.878741255024,8.802844875079717,0.12238440716564637,0.37282429685096724,0.4767559863893186,0.10393168953835152,20,10252,0.0005
2069,9.878044146558654,8.802844875079717,0.1216872987002986,0.37282429685096724,0.4767559863893186,0.10393168953835152,17,9228,0.0005
2070,10.287251296475674,8.802844875079717,0.2139541892818806,0.4996004005851431,0.6352261160570383,0.1356257154718955,19,11628,0.0005
2071,0.9009944897146985,0.4337217852467638,0.10655502153983544,0.14390639992260784,0.18035884146404949,0.03645244154144173,5,3006,0.0005
2072,0.669445110365633,0.22943253857256346,0.09991468983252742,0.13583778215269426,0.17004894098027104,0.034211158827576846,4,2876,0.0005
2073,0.4093973458659136,0.0,0.09245708653047381,0.12677610373417594,0.1584701296677198,0.03169402593354397,3,2730,0.0005
2074,0.4093973458659136,0.0,0.09245708653047381,0.12677610373417594,0.1584701296677198,0.03169402593354397,3,2730,0.0005
2075,0.4093973458659136,0.0,0.09245708653047381,0.12677610373417594,0.1584701296677198,0.03169402593354397,3,2730,0.0005
