company,total_emissions_kt,capacity_kt,num_facilities,emissions_mt,share_%
LG Chem,9120.470673546437,15462,45,9.120470673546437,17.539366679896997
Yeochon NCC,7597.038076244794,5246,7,7.597038076244794,14.609688608163065
Lotte Chemical,7436.909674668485,11372,31,7.4369096746684855,14.30174937436247
Hanwha TotalEnergies,5184.0885017563005,9040,11,5.1840885017563005,9.969400964915963
HD Hyundai Chemical,4147.931201125547,4479,8,4.147931201125547,7.976790771395283
GS Caltex,3870.076125542108,6050,8,3.870076125542108,7.442454087580976
SK Geocentric,3566.5117552480074,6803,12,3.5665117552480075,6.858676452400014
Daehan Oil Chemical,3046.6056989921726,2783,9,3.0466056989921726,5.8588571134464855
S-Oil,2405.1053989646816,4894,7,2.4051053989646816,4.625202690316695
SK Energy,1084.8509601742655,620,1,1.0848509601742655,2.086251846488972
SK Advanced,1049.8557679105797,600,1,1.0498557679105798,2.018953399828038
Hyosung Chemical,876.4032055917388,920,3,0.8764032055917388,1.685390779984113
HDHyundai Oilbank,781.101978779869,2218,3,0.781101978779869,1.5021191899612865
Kumho Petrochemical,530.3286536543865,2728,12,0.5303286536543864,1.0198627954892046
Taekwang Industrial,530.0593014808284,1590,3,0.5300593014808284,1.0193448105400547
Lotte GS Chemical,284.6720330075293,130,1,0.2846720330075293,0.5474462173221718
Caprolactam,195.339787078962,460,2,0.195339787078962,0.37565343669031154
Ulsan Aromatics,82.01705545999377,1600,2,0.08201705545999377,0.15772510665383419
SK Incheon Petrochemical,82.01705545999377,2100,2,0.08201705545999377,0.15772510665383419
OCI,34.70817812234668,540,6,0.03470817812234668,0.06674649638912823
Hanwha Solutions,25.424959948527764,4653,14,0.025424959948527764,0.048894153747168774
Hanwha Impact,7.254280950424173,2000,2,0.007254280950424173,0.013950540289277254
Kumho P&B Chemical,6.848041217200419,1888,4,0.006848041217200419,0.013169310033077728
Samnam Petrochemical,5.440710712818131,1500,1,0.0054407107128181306,0.010462905216957944
DL Chemical,4.3887569273529765,640,2,0.004388756927352976,0.008439917167986493
Lotte INEOS Chemical,4.243754355998141,1170,2,0.004243754355998141,0.008161066069227195
Korea INEOS Styrolution,4.145638737852126,542,2,0.004145638737852126,0.007972382188177165
Ulsan PP,3.8480557591449207,600,1,0.0038480557591449205,0.007400107229124847
Dongseo Petrochemical,3.1226716699878616,602,1,0.0031226716699878617,0.006005137826899733
Poly Mirae,2.5974376374228214,405,1,0.0025974376374228213,0.004995072379659272
BASF Korea,2.3548702974236178,614,4,0.0023548702974236176,0.004528596725814649
Kumho Mitsui Chemical,2.212555689879373,610,1,0.002212555689879373,0.0042549147882295635
SKpicglobal,2.0748648970019015,400,1,0.0020748648970019016,0.003990124801926734
HDC Hyundai EP,1.9291586205846527,228,2,0.0019291586205846527,0.0037099204242012555
Kukdo Chemical,1.922384451862406,530,1,0.001922384451862406,0.003696893176658473
LXMMA,1.5587454450183293,380,2,0.0015587454450183293,0.002997587394266018
SSNC,1.4208205879919709,180,1,0.0014208205879919708,0.002732347284599944
Lotte MCC,1.2426567802059147,297,3,0.0012426567802059148,0.002389724577319067
Kumho Polychem,1.1244135473157468,310,1,0.0011244135473157469,0.0021623337448379745
KPX Chemical,1.0808878616132018,298,1,0.0010808878616132018,0.002078630503102311
PU Core,0.7979709045466591,220,1,0.0007979709045466591,0.0015345594318204982
Aekyung Chemical,0.7907166235962348,218,2,0.0007907166235962349,0.001520608891531221
Lotte Versalis Elastomers,0.710919533141569,196,2,0.0007109195331415689,0.001367152948349171
Korea Alcohol Industrial,0.7000381117159327,193,2,0.0007000381117159327,0.0013462271379152551
Birla Carbon Korea,0.7000381117159327,193,1,0.0007000381117159327,0.0013462271379152551
ISU Chemical,0.6528852855381756,180,1,0.0006528852855381756,0.001255548626034953
Samyang Innochem,0.6528852855381756,180,1,0.0006528852855381756,0.001255548626034953
Orion Engineered Carbons,0.6166138807860546,170,1,0.0006166138807860546,0.0011857959245885664
SK Chemical,0.5803424760339339,160,1,0.0005803424760339338,0.0011160432231421805
Arkema,0.5130741012193223,100,1,0.0005130741012193223,0.0009866809638833121
SH Energy Chemical,0.5130741012193223,100,1,0.0005130741012193223,0.0009866809638833121
Kolon Industries,0.4969182451040558,137,4,0.0004969182451040558,0.000955612009815492
HD Hyundai OCI,0.49329110462884374,136,1,0.0004932911046288438,0.0009486367396708534
Samyang Chemical,0.43525685702545036,120,1,0.00043525685702545036,0.0008370324173566353
Hansol Chemical,0.3191883618186636,88,2,0.0003191883618186636,0.0006138237727281992
Bluecube Chemical,0.1886113047110285,52,1,0.0001886113047110285,0.0003627140475212087
Korea Trinseo,0.15596704043411969,43,1,0.0001559670404341197,0.000299936616219461
Yongsan Chemical,0.13783133805805928,38,1,0.0001378313380580593,0.00026506026549626783
Korea PTG,0.10881421425636259,30,1,0.00010881421425636259,0.00020925810433915882
Downing Chemical,0.10881421425636259,30,1,0.00010881421425636259,0.00020925810433915882
