location,total_emissions_kt,capacity_kt,num_facilities,emissions_mt,share_%
Yeosu,21050.555220434995,37216,87,21.050555220434994,40.48183696237499
Daesan,17729.426325552617,27424,57,17.729426325552616,34.09505062606273
Ulsan,7966.8187817354465,24105,71,7.966818781735446,15.320805349491245
Onsan,5131.277078945664,7331,14,5.131277078945663,9.86784053643397
Incheon,82.01705545999377,2100,2,0.08201705545999377,0.1577251066538342
Gwangyang,34.16410705106487,390,3,0.03416410705106487,0.06570020586743244
Busan/Iksan/Siheung,1.922384451862406,530,1,0.001922384451862406,0.003696893176658474
Gunsan,1.3473164105181021,330,3,0.001347316410518102,0.0025909930971501965
Jeonju,0.754445218844114,208,3,0.000754445218844114,0.001450856190084835
Naju,0.6528852855381756,180,2,0.0006528852855381756,0.0012555486260349533
진해,0.5130741012193223,100,1,0.0005130741012193223,0.0009866809638833121
Pohang,0.3627140475212086,100,2,0.00036271404752120863,0.0006975270144638629
Gumi,0.1886113047110285,52,1,0.0001886113047110285,0.00036271404752120874
Gimcheon,0.0,0,1,0.0,0.0
