product,total_emissions_kt,capacity_kt,num_facilities,emissions_mt,share_%
Ethylene,21973.64449563509,11962,11,21.97364449563509,42.2570086454521
Propylene,19536.066081202705,11165,16,19.536066081202705,37.569357848466744
Butadiene,4795.628863742226,2190,12,4.795628863742226,9.222363199504283
Xylene,3559.9012405396684,3494,10,3.559901240539668,6.845963924114748
Benzene,1062.394258391786,7772,16,1.062394258391786,2.043065881522666
Toluene,459.77048049627103,2928,10,0.45977048049627106,0.8841740009543676
C-H,358.0324247512061,350,2,0.3580324247512061,0.6885238937523196
PP,37.8007344073336,5894,12,0.0378007344073336,0.07269372001410308
HDPE,24.593351918446206,3595,8,0.024593351918446207,0.04729490753547348
L-LDPE,21.375456401568094,2708,8,0.021375456401568096,0.0411066469260925
LDPE,18.402257763733036,2152,7,0.018402257763733037,0.03538895723794815
TPA,17.845531138043466,4920,6,0.017845531138043467,0.03431832911162205
EDC,14.425498196405721,2781,3,0.014425498196405722,0.02774134268539562
SM,14.259509004645569,2749,5,0.014259509004645569,0.027422132701241483
ABS,12.072633601690654,2353,4,0.012072633601690655,0.023216603080174338
VCM,9.321330549781042,1797,4,0.009321330549781041,0.01792563567265585
PVC,7.78074336375713,1500,4,0.00778074336375713,0.014962968007225252
PS,7.378005575533859,719,4,0.007378005575533858,0.014188472260642036
EG,5.61481345562831,1548,5,0.00561481345562831,0.010797718183900597
Phenol,5.0417252605448,1390,3,0.0050417252605448005,0.009695625501047694
AN,4.626948720314241,892,2,0.004626948720314241,0.008897978308296618
NB-Latex,4.27639862027505,1179,3,0.004276398620275051,0.008223843500528944
BPA,4.080533034613597,1125,4,0.0040805330346135975,0.007847178912718458
Epoxy Resin,3.33696923719512,920,4,0.00333696923719512,0.006417248533067539
MDI,3.228155022938757,890,3,0.0032281550229387567,0.006207990428728379
Acetone,3.1012051063063337,855,3,0.0031012051063063336,0.005963855973666027
PPG,2.8618138349423363,789,4,0.002861813834942336,0.0055034881441198774
PC,2.7928981659133063,770,3,0.0027928981659133064,0.005370958011371743
EPS,2.693639031401442,525,6,0.002693639031401442,0.005180075060387389
Acetic Acid,2.5752697374005815,710,1,0.0025752697374005814,0.004952441802693426
Carbon Black(CB),2.4990997874211276,689,5,0.0024990997874211277,0.004805961129656015
MMA,1.802688816180407,497,4,0.001802688816180407,0.003466709261885399
BR,1.7954345352299828,495,2,0.0017954345352299828,0.003452758721596121
O-X,1.724370204292061,410,2,0.001724370204292061,0.003316096546715502
PMMA,1.6931445340237636,330,3,0.0016931445340237637,0.003256047180814931
Vinyl Acetate,1.66848461859756,460,1,0.00166848461859756,0.0032086242665337696
M-X,1.5140811549881512,360,1,0.0015140811549881512,0.0029116945288233677
EPDM,1.472619032936107,406,2,0.001472619032936107,0.0028319596787232835
TDI,1.3057705710763512,360,3,0.0013057705710763513,0.0025110972520699065
S-SBR,1.0990235639892623,303,3,0.0010990235639892622,0.0021135068538255045
Octanol,1.004717911633748,277,3,0.001004717911633748,0.0019321498300649
PA,0.9793279283072633,270,4,0.0009793279283072634,0.0018833229390524298
CPLM,0.9793279283072633,270,1,0.0009793279283072634,0.0018833229390524298
SBR,0.9539379449807788,263,2,0.0009539379449807788,0.0018344960480399597
Petroleum Resin,0.8088523259722952,223,4,0.0008088523259722952,0.001555485242254414
SB-Latex,0.754445218844114,208,4,0.000754445218844114,0.001450856190084835
Alkylbenzene,0.6528852855381756,180,1,0.0006528852855381756,0.0012555486260349533
DMT,0.5803424760339339,160,1,0.0005803424760339338,0.0011160432231421805
NBR,0.5694610546082977,157,2,0.0005694610546082976,0.001095117412708265
Ethyl Acetate,0.44613827845108667,123,1,0.0004461382784510867,0.0008579582277905514
MA,0.27566267611611855,76,4,0.0002756626761161186,0.0005301205309925358
Ethanol,0.25389983326484605,70,1,0.00025389983326484604,0.000488268910124704
Butanol,0.2430184118392098,67,2,0.0002430184118392098,0.0004673430996907881
P-X,0.0,10790,8,0.0,0.0
PIA,0.0,0,1,0.0,0.0
