carbon_price,scenario,npv_busd
20,point_targets,0.6149032285177026
20,budget,0.07820476223097539
20,linear,0.11560234850493116
30,point_targets,1.7024778472404347
30,budget,1.1708066062568419
30,linear,1.2494401958632146
50,point_targets,3.8776270846858973
50,budget,3.356010294308576
50,linear,3.517115890579781
75,point_targets,6.596563631492729
75,budget,6.087514904373244
75,linear,6.351710508975486
100,point_targets,9.315500178299555
100,budget,8.819019514437912
100,linear,9.186305127371197
150,point_targets,14.753373271913214
150,budget,14.282028734567247
150,linear,14.855494364162613
200,point_targets,20.191246365526865
200,budget,19.745037954696578
200,linear,20.524683600954035
