year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,27.04130056273364,5.353593113301728,32.394893676035366,0.436,238,0,1.0,1.0,65779.7
2026,26.230061545851626,4.985742327778121,31.215803873629746,0.4186,238,0,1.0,0.97,63806.308999999994
2027,25.526987731220554,4.650415848306149,30.1774035795267,0.4012,238,0,1.0,0.944,62096.036799999994
2028,24.796872616026747,4.321486667026908,29.118359283053653,0.3838,238,0,1.0,0.917,60319.9849
2029,24.093798801395668,4.008593707320996,28.102392508716665,0.3664,238,0,1.0,0.891,58609.7127
2030,23.66113799239193,3.7496639838865025,27.41080197627843,0.349,238,0,1.0,0.875,57557.237499999996
2031,22.958064177760857,3.4933410673739225,26.451405245134783,0.3351,238,0,1.0,0.849,55846.965299999996
2032,22.25499036312978,3.2458933277014674,25.50088369083125,0.3212,238,0,1.0,0.823,54136.6931
2033,21.55191654849871,3.007320764869138,24.55923731336785,0.3073,238,0,1.0,0.797,52426.4209
2034,20.848842733867635,2.7776233788769322,23.626466112744566,0.2934,238,0,1.0,0.771,50716.1487
2035,20.44322322542663,2.594552596391931,23.037775821818563,0.2795,238,0,1.0,0.756,49729.453199999996
2036,19.740149410795556,2.2552379356282155,21.99538734642377,0.2516,238,0,1.0,0.73,48019.181
2037,19.037075596164478,1.9328730453544116,20.96994864151889,0.2236,238,0,1.0,0.704,46308.9088
2038,18.334001781533406,1.6292187174339325,19.963220498967342,0.1957,238,0,1.0,0.678,44598.6366
2039,17.63092796690233,1.3433785933867972,18.97430656028913,0.1678,238,0,1.0,0.652,42888.3644
2040,16.224780337640183,1.0299527301462132,17.254733067786397,0.1398,238,0,1.0,0.6,39467.82
2041,16.224780337640183,0.9275468435293867,17.15232718116957,0.1259,238,0,1.0,0.6,39467.82
2042,16.224780337640183,0.8244042239153166,17.0491845615555,0.1119,238,0,1.0,0.6,39467.82
2043,16.224780337640183,0.7212616043012465,16.946041941941427,0.0979,238,0,1.0,0.6,39467.82
2044,16.224780337640183,0.61885571768442,16.843636055324602,0.084,238,0,1.0,0.6,39467.82
2045,16.224780337640183,0.5157130980703499,16.740493435710533,0.07,238,0,1.0,0.6,39467.82
2046,16.224780337640183,0.41257047845628,16.637350816096465,0.056,238,0,1.0,0.6,39467.82
2047,16.224780337640183,0.30942785884221,16.534208196482393,0.042,238,0,1.0,0.6,39467.82
2048,16.224780337640183,0.20628523922814,16.43106557686832,0.028,238,0,1.0,0.6,39467.82
2049,16.224780337640183,0.10314261961407,16.327922957254252,0.014,238,0,1.0,0.6,39467.82
2050,16.224780337640183,0.0,16.224780337640183,0.0,238,0,1.0,0.6,39467.82
