location,emissions_kt,capacity_kt,n_facilities,emissions_mt,share_pct
Onsan,31855.25722611749,15799.7,37,31.85525722611749,41.4082959707886
Daesan,19916.688213392907,18426.8,56,19.916688213392906,25.889482368452573
Yeosu,18516.34051752864,23549.399999999998,85,18.51634051752864,24.06918591186588
Ulsan,6317.060941841645,15529.5,65,6.317060941841645,8.211477536926752
Incheon,224.3159600744375,1470.0,2,0.2243159600744375,0.29158583149403716
Gwangyang,94.24586677716331,273.0,3,0.09424586677716332,0.12250915815341962
Busan/Iksan/Siheung,1.9223844518624071,371.0,1,0.0019223844518624072,0.0024988862525051636
Gunsan,1.3473164105181032,231.0,3,0.0013473164105181033,0.001751361676253958
Jeonju,0.7544452188441145,145.6,3,0.0007544452188441146,0.000980694982115234
Naju,0.652885285538176,126.0,2,0.0006528852855381761,0.000848678349907414
Jinhae,0.5130741012193226,70.0,1,0.0005130741012193226,0.0006669393402611508
Pohang,0.3627140475212089,70.0,2,0.0003627140475212089,0.0004714879721707856
Gumi,0.18861130471102863,36.4,1,0.00018861130471102864,0.0002451737455288085
Gimcheon,0.0,0.0,1,0.0,0.0
