year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd
2025,66.2,66.19312069636608,0.0,0.0,0,0.0,0.0,0.0,0.0,66.19312069636608,0.0,0.0
2026,63.620000000000005,45.511228753482534,0.0,0.0,0,0.0,0.0,0.0,0.0,45.511228753482534,0.0,0.0
2027,61.04,45.28301110577612,0.0,0.0,0,0.0,0.0,0.0,0.0,45.28301110577612,0.0,0.0
2028,58.46,45.054793458069696,0.0,0.0,0,0.0,0.0,0.0,0.0,45.054793458069696,0.0,0.0
2029,55.879999999999995,44.826575810363266,0.0,0.0,0,0.0,0.0,0.0,0.0,44.826575810363266,0.0,0.0
2030,53.3,44.59835816265685,0.0,0.0,0,0.0,0.0,0.0,0.0,44.59835816265685,0.0,0.0
2031,51.339999999999996,44.412599612198136,0.0,0.0,0,0.0,0.0,0.0,0.0,44.412599612198136,0.0,0.0
2032,49.379999999999995,44.22684106173942,0.0,0.0,0,0.0,0.0,0.0,0.0,44.22684106173942,0.0,0.0
2033,47.42,44.041082511280706,0.0,0.0,0,0.0,0.0,0.0,0.0,44.041082511280706,0.0,0.0
2034,45.46,43.85532396082199,0.0,0.0,0,0.0,0.0,0.0,0.0,43.85532396082199,0.0,0.0
2035,43.5,43.66956541036328,0.0,0.0,0,0.16956541036328332,0.0,0.0,0.16956541036328332,43.5,0.0,0.0
2036,40.18,43.45726992412474,0.0,0.0,0,3.277269924124738,0.0,0.0,3.277269924124738,40.18,0.0,0.0
2037,36.86,43.244974437886206,1.2301253914682428,0.0,0,5.154849046417964,0.0,0.00572008307032733,6.384974437886207,36.86,0.0,984.1003131745941
2038,33.54,43.032678951647675,1.4851569013683754,1.4437668652236595,0,5.154849046417964,141.959649757968,0.006905979591362946,9.492678951647676,33.54,0.0,4166.060877618004
2039,30.22,42.82038346540915,1.528481198374454,4.5081470819790574,0,5.154849046417964,443.26753593698203,0.007107437572441212,12.600383465409154,30.22,0.0,8368.277410010207
2040,26.9,42.60808797917061,1.5718054953805325,7.572527298734439,0,5.154849046417964,744.5754221159945,0.007308895553519477,15.708087979170612,26.9,0.0,12570.493942402389
2041,24.2,42.39579249293208,1.615129792386611,10.01690751548983,0,5.154849046417964,984.9212617416639,0.007510353534597741,18.195792492932082,24.2,0.0,15929.510474794584
2042,21.5,42.18349700669355,1.6584540893926896,12.46128773224522,0,5.154849046417964,1225.2671013673332,0.007711811515676007,20.68349700669355,21.5,0.0,19288.527007186778
2043,18.8,41.97120152045502,1.7017783863987683,14.905667949000609,0,5.154849046417964,1465.6129409930027,0.007913269496754274,23.171201520455018,18.8,0.0,22647.543539578972
2044,16.1,41.75890603421649,1.7451026834048469,17.350048165756,0,5.154849046417964,1705.9587806186719,0.008114727477832538,25.65890603421649,16.099999999999998,0.0,26006.560071971166
2045,13.4,41.54661054797795,1.7884269804109256,19.794428382511384,0,5.154849046417964,1946.3046202443406,0.008316185458910805,28.14661054797795,13.399999999999999,0.0,29365.57660436335
2046,10.72,41.413925869078874,1.8155046660397247,22.31466601798351,0,5.154849046417964,2194.1092074365033,0.00844209669708472,30.693925869078875,10.719999999999999,0.0,32814.76193710848
2047,8.04,41.28124119017979,1.842582351668524,24.834903653455626,0,5.154849046417964,2441.9137946286664,0.008568007935258637,33.24124119017979,8.04,0.0,36263.947269853605
2048,5.359999999999999,41.1485565112807,1.8696600372973229,27.355141288927737,0,5.154849046417964,2689.7183818208277,0.008693919173432553,35.788556511280696,5.3600000000000065,7.105427357601002e-15,39713.132602598715
2049,2.6799999999999997,41.01587183238162,1.896737722926122,29.87537892439986,0,5.154849046417964,2937.5229690129904,0.008819830411606468,38.33587183238162,2.6799999999999997,0.0,43162.317935343846
2050,0.0,40.88318715348254,1.9238154085549213,32.39561655987198,0,5.154849046417964,3185.3275562051535,0.008945741649780384,40.883187153482545,-7.105427357601002e-15,0.0,46611.50326808897
