year,re_price_usd_per_mwh,source,notes
2025,65.0,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2026,63.02047504889287,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2027,61.10123500597122,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2028,59.2404439407746,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2029,57.436321834691114,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2030,55.68714287820511,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2031,53.991233820000886,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2032,52.34697236634318,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2033,50.75278562920331,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2034,49.2071486216464,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2035,47.70858279904047,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2036,46.25565464469184,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2037,44.84697429855396,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2038,43.48119422769785,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2039,42.157007937272255,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2040,40.8731487207207,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2041,39.62838844805948,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2042,38.421536391057955,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2043,37.25143808419688,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2044,36.1169742203155,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2045,35.01705957989077,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2046,33.95064199292463,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2047,32.91670133244617,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2048,31.91424853866589,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2049,30.94232467284861,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
2050,29.999999999999968,"IRENA 2024, IEA WEO 2024",Korea RE PPA trajectory with 50%+ decline by 2050
