year,grid_ef_tco2_per_mwh
2025,0.45
2026,0.442
2027,0.434
2028,0.426
2029,0.41800000000000004
2030,0.41000000000000003
2031,0.402
2032,0.394
2033,0.386
2034,0.378
2035,0.37
2036,0.362
2037,0.354
2038,0.346
2039,0.338
2040,0.33
2041,0.322
2042,0.314
2043,0.306
2044,0.29800000000000004
2045,0.29000000000000004
2046,0.28200000000000003
2047,0.274
2048,0.266
2049,0.258
2050,0.25
2051,0.242
2052,0.234
2053,0.226
2054,0.218
2055,0.21000000000000002
2056,0.202
2057,0.194
2058,0.186
2059,0.178
2060,0.16999999999999998
2061,0.16199999999999998
2062,0.15400000000000003
2063,0.14600000000000002
2064,0.138
2065,0.13
2066,0.122
2067,0.11399999999999999
2068,0.10599999999999998
2069,0.09800000000000003
2070,0.09000000000000002
2071,0.08200000000000002
2072,0.07400000000000001
2073,0.066
2074,0.057999999999999996
2075,0.05
