year,baseline_steam_cracker_usd_per_ton,ncc_electricity_usd_per_ton,ncc_h2_usd_per_ton,baseline_emission_intensity_tco2_per_ton,ncc_electricity_emission_intensity_tco2_per_ton,ncc_h2_emission_intensity_tco2_per_ton
2025,660,870,970,1.9,0.85,0.25
2026,660,860,950,1.9,0.83,0.23
2027,660,850,930,1.9,0.81,0.21
2028,660,840,910,1.9,0.79,0.19
2029,660,830,890,1.9,0.77,0.17
2030,660,820,870,1.9,0.75,0.15
2031,660,810,850,1.9,0.73,0.14
2032,660,800,830,1.9,0.71,0.13
2033,660,790,810,1.9,0.69,0.12
2034,660,780,790,1.9,0.67,0.11
2035,660,770,770,1.9,0.65,0.10
2036,660,760,750,1.9,0.60,0.10
2037,660,750,730,1.9,0.55,0.10
2038,660,740,710,1.9,0.50,0.10
2039,660,730,690,1.9,0.45,0.10
2040,660,720,670,1.9,0.40,0.10
2041,660,715,660,1.9,0.35,0.10
2042,660,710,650,1.9,0.30,0.10
2043,660,705,640,1.9,0.25,0.10
2044,660,700,630,1.9,0.20,0.10
2045,660,695,620,1.9,0.18,0.10
2046,660,690,615,1.9,0.16,0.10
2047,660,685,610,1.9,0.14,0.10
2048,660,680,605,1.9,0.12,0.10
2049,660,675,600,1.9,0.11,0.10
2050,660,670,595,1.9,0.10,0.10
