year,scenario_baseline,scenario_shaheen,scenario_restructure_25pct,scenario_restructure_40pct,notes
2025,1.000,1.000,1.000,1.000,Baseline year (11.96 Mt ethylene)
2026,1.015,1.150,0.691,0.970,Shaheen: +1.8Mt | Restructure 25%: -3.7Mt | Restructure 40%: -3% year 1
2027,1.030,1.150,0.691,0.944,Shaheen fixed | Restructure 25% fixed | Restructure 40%: linear decline
2028,1.046,1.150,0.691,0.917,
2029,1.061,1.150,0.691,0.891,
2030,1.077,1.150,0.691,0.875,
2031,1.091,1.150,0.691,0.849,
2032,1.105,1.150,0.691,0.823,
2033,1.119,1.150,0.691,0.797,
2034,1.134,1.150,0.691,0.771,
2035,1.149,1.150,0.691,0.756,
2036,1.160,1.150,0.691,0.730,
2037,1.172,1.150,0.691,0.704,
2038,1.183,1.150,0.691,0.678,
2039,1.195,1.150,0.691,0.652,
2040,1.207,1.150,0.691,0.600,Restructure 40%: target reached (-40%)
2041,1.217,1.150,0.691,0.600,Restructure 40%: fixed from here
2042,1.226,1.150,0.691,0.600,
2043,1.236,1.150,0.691,0.600,
2044,1.246,1.150,0.691,0.600,
2045,1.256,1.150,0.691,0.600,
2046,1.262,1.150,0.691,0.600,
2047,1.269,1.150,0.691,0.600,
2048,1.275,1.150,0.691,0.600,
2049,1.282,1.150,0.691,0.600,
2050,1.288,1.150,0.691,0.600,Baseline: +28.8% | Shaheen: +15.0% | Restructure 25%: -30.9% | Restructure 40%: -40.0%
