company,capacity_t,emissions_tco2,fuel_cost_usd,age_years,retirement_priority,remaining_life,stranded_asset_risk,replacement_benefit,facility_count,emission_intensity,cost_intensity,estimated_investment_musd,Naphtha Cracker_facilities,regions
LG화학,4816000,20637706.04,13309366520.64,24.0,0.36,8.67,0.63,2097195460.26,6,4.2852,2763.57,6191.3,6,"['대산', '여수']"
여천NCC,3952000,16935260.44,10921639636.54,41.67,0.69,0.0,0.75,2540289065.88,3,4.2852,2763.57,5080.6,3,['여수']
롯데케미칼,3871000,16588156.16,10697790241.15,28.33,0.43,3.33,0.7,2419659617.15,6,4.2852,2763.57,4976.4,6,"['대산', '여수']"
한화토탈에너지스,2739000,11737266.79,7569425851.34,34.0,0.48,0.0,0.75,1760590018.08,3,4.2852,2763.57,3521.2,3,['대산']
GS칼텍스,1870000,8013395.0,5167881103.32,4.0,0.12,26.0,0.4,400669749.76,2,4.2852,2763.57,2404.0,2,['여수']
대한유화,1606000,6882092.17,4438297888.74,23.33,0.34,9.33,0.62,969749351.57,3,4.2852,2763.57,2064.6,3,"['온산', '울산']"
HD현대케미칼,1464000,6273588.38,4045870553.62,4.0,0.12,26.0,0.4,313679419.07,3,4.2852,2763.57,1882.1,3,['대산']
SK지오센트릭,1330000,5699366.49,3675551800.76,39.75,0.64,0.0,0.75,854904974.09,4,4.2852,2763.57,1709.8,4,['울산']
S-Oil,1022000,4379513.2,2824371383.74,7.0,0.22,23.0,0.44,218975660.03,2,4.2852,2763.57,1313.9,2,['온산']
SK에너지,620000,2656847.54,1713415125.17,29.0,0.4,1.0,0.71,398527130.78,1,4.2852,2763.57,797.1,1,['울산']
SK어드밴스드,600000,2571142.78,1658143669.52,9.0,0.28,21.0,0.46,128557138.96,1,4.2852,2763.57,771.3,1,['울산']
효성화학,500000,2142618.98,1381786391.26,34.0,0.48,0.0,0.75,321392847.4,1,4.2852,2763.57,642.8,1,['울산']
HD현대오일뱅크,420000,1799799.95,1160700568.66,14.0,0.4,16.0,0.52,89989997.27,1,4.2852,2763.57,539.9,1,['대산']
태광산업,300000,1285571.39,829071834.76,28.0,0.4,2.0,0.7,192835708.44,1,4.2852,2763.57,385.7,1,['울산']
금호석유화학,237000,1015601.4,654966749.46,39.5,0.63,0.0,0.75,152340209.67,2,4.2852,2763.57,304.7,2,"['여수', '울산']"
카프로,190000,814195.21,525078828.68,25.0,0.4,5.0,0.66,122129282.01,1,4.2852,2763.57,244.3,1,['울산']
롯데GS화학,130000,557080.94,359264461.73,3.0,0.09,27.0,0.39,27854046.77,1,4.2852,2763.57,167.1,1,['여수']
