FacilityID,Company,Process,Capacity_kt,Emissions_kt_CO2,Age,Integration_Level,Primary_Technology,Primary_Priority,Total_CAPEX_Estimate_MUSD,Technology_Count
롯데케미칼_대산_Ethylene_1991,Other Companies,Naphtha Cracker,1100.0,1308.8088206914956,11,Medium,GREEN_HYDROGEN,HIGH,11550.0,3
HD현대케미칼_대산_Ethylene_2021,HD Hyundai Chemical,Naphtha Cracker,850.0,1011.3522705343375,24,Low,GREEN_HYDROGEN,HIGH,10710.0,3
LG화학_대산_Ethylene_1991,LG Chem,Naphtha Cracker,1300.0,1546.774060817222,33,Low,GREEN_HYDROGEN,HIGH,21294.0,3
한화토탈에너지스_대산_Ethylene_1991,Other Companies,Naphtha Cracker,1525.0,1814.4849559586648,19,High,GREEN_HYDROGEN,HIGH,13610.625,3
롯데케미칼_여수_Ethylene_1992,Other Companies,Naphtha Cracker,1230.0,1463.486226773218,15,Medium,GREEN_HYDROGEN,HIGH,12915.0,3
LG화학_여수_Ethylene_2021,LG Chem,Naphtha Cracker,1030.0,1225.520986647491,12,Medium,GREEN_HYDROGEN,HIGH,10815.0,3
여천NCC_여수_Ethylene_1979,Other Companies,Naphtha Cracker,2285.0,2718.7528684364247,33,High,GREEN_HYDROGEN,HIGH,26511.712499999998,3
GS칼텍스_여수_Ethylene_2021,Other Companies,Naphtha Cracker,900.0,1070.8435805657691,25,High,GREEN_HYDROGEN,HIGH,8032.5,3
대한유화_온산_Ethylene_1991,Other Companies,Naphtha Cracker,900.0,1070.8435805657691,11,Medium,GREEN_HYDROGEN,HIGH,9450.0,3
S-Oil_온산_Ethylene_2018,Other Companies,Naphtha Cracker,182.0,216.54836851441107,30,Low,GREEN_HYDROGEN,HIGH,2981.1599999999994,3
SK지오센트릭_울산_Ethylene_1989,SK Chemicals,Naphtha Cracker,660.0,785.2852924148975,23,Medium,GREEN_HYDROGEN,HIGH,6930.0,3
롯데케미칼_대산_Propylene_1997,Other Companies,Naphtha Cracker,550.0,350.5591382246231,27,Medium,GREEN_HYDROGEN,HIGH,7507.5,3
HD현대오일뱅크_대산_Propylene_2011,HD Hyundai Chemical,Naphtha Cracker,420.0,267.69970555334856,15,Medium,GREEN_HYDROGEN,HIGH,4410.0,3
HD현대케미칼_대산_Propylene_2021,HD Hyundai Chemical,Naphtha Cracker,451.0,287.4584933441909,15,Medium,GREEN_HYDROGEN,HIGH,4735.5,3
LG화학_대산_Propylene_1991,LG Chem,Naphtha Cracker,680.0,433.4185708958977,28,Low,GREEN_HYDROGEN,HIGH,11138.4,3
한화토탈에너지스_대산_Propylene_1991,Other Companies,Naphtha Cracker,1064.0,678.1725874018163,25,Low,GREEN_HYDROGEN,HIGH,13406.4,3
롯데케미칼_여수_Propylene_1992,Other Companies,Naphtha Cracker,641.0,408.5607410945153,8,High,GREEN_HYDROGEN,HIGH,5148.8324999999995,3
LG화학_여수_Propylene_2021,LG Chem,Naphtha Cracker,1300.0,828.5943267127454,12,Medium,GREEN_HYDROGEN,HIGH,13650.0,3
여천NCC_여수_Propylene_1979,Other Companies,Naphtha Cracker,1289.0,821.5831439482532,28,Medium,GREEN_HYDROGEN,HIGH,17594.850000000002,3
GS칼텍스_여수_Propylene_2021,Other Companies,Naphtha Cracker,970.0,618.2588437779716,7,High,GREEN_HYDROGEN,HIGH,7791.525,3
대한유화_온산_Propylene_1991,Other Companies,Naphtha Cracker,560.0,356.9329407377981,26,High,GREEN_HYDROGEN,HIGH,6497.4,3
S-Oil_온산_Propylene_2018,Other Companies,Naphtha Cracker,840.0,535.3994111066971,25,Medium,GREEN_HYDROGEN,HIGH,8820.0,3
SK어드밴스드_울산_Propylene_2016,SK Chemicals,Naphtha Cracker,600.0,382.4281507904979,6,Medium,GREEN_HYDROGEN,HIGH,5670.0,3
SK에너지_울산_Propylene_1996,SK Chemicals,Naphtha Cracker,620.0,395.1757558168478,28,High,GREEN_HYDROGEN,HIGH,7193.55,3
SK지오센트릭_울산_Propylene_1989,SK Chemicals,Naphtha Cracker,380.0,242.20449550064868,16,High,GREEN_HYDROGEN,HIGH,3391.5,3
태광산업_울산_Propylene_1997,Other Companies,Naphtha Cracker,300.0,191.21407539524895,34,Low,GREEN_HYDROGEN,HIGH,4914.0,3
효성화학_울산_Propylene_1991,Other Companies,Naphtha Cracker,500.0,318.69012565874834,10,High,GREEN_HYDROGEN,HIGH,4462.5,3
롯데케미칼_대산_Butadiene_1997,Other Companies,Naphtha Cracker,190.0,72.63532614194851,6,High,GREEN_HYDROGEN,HIGH,1526.175,3
