sheet,location,korean_original,english_translation,needs_manual_review
CI_Corrected,"Row 3, Col 'Product'",벤젠,Benzene,False
CI_Corrected,"Row 4, Col 'Product'",톨루엔,Toluene,False
CI_Corrected,"Row 5, Col 'Product'",자일렌,Xylene,False
CI_Corrected,"Row 35, Col 'Product'",초산,second산,True
CI_Corrected,"Row 36, Col 'Product'",초산비닐,second산비닐,True
CI_Corrected,"Row 37, Col 'Product'",에탄올,에탄올,True
CI_Corrected,"Row 38, Col 'Product'",초산에틸,second산에틸,True
CI_Corrected,"Row 39, Col 'Product'",알킬벤젠,알킬Benzene,True
CI_Corrected,"Row 44, Col 'Product'",페놀,페놀,True
CI_Corrected,"Row 45, Col 'Product'",아세톤,아세ton,True
CI_Corrected,"Row 48, Col 'Product'",옥탄올,옥탄올,True
CI_Corrected,"Row 49, Col 'Product'",부탄올,부탄올,True
CI_Corrected,"Row 53, Col 'Product'",카본블랙(CB),카본블랙(CB),True
CI_Corrected,"Row 54, Col 'Product'",석유수지,석유수지,True
TechOptions_Corrected,"Row 1, Col 'Product'",벤젠,Benzene,False
TechOptions_Corrected,"Row 15, Col 'Product'",벤젠,Benzene,False
TechOptions_Corrected,"Row 16, Col 'Product'",벤젠,Benzene,False
source_Original,"Row 39, Col 'products'",벤젠,Benzene,False
source_Original,"Row 40, Col 'products'",벤젠,Benzene,False
source_Original,"Row 41, Col 'products'",벤젠,Benzene,False
source_Original,"Row 42, Col 'products'",벤젠,Benzene,False
source_Original,"Row 43, Col 'products'",벤젠,Benzene,False
source_Original,"Row 44, Col 'products'",벤젠,Benzene,False
source_Original,"Row 45, Col 'products'",벤젠,Benzene,False
source_Original,"Row 46, Col 'products'",벤젠,Benzene,False
source_Original,"Row 47, Col 'products'",벤젠,Benzene,False
source_Original,"Row 48, Col 'products'",벤젠,Benzene,False
source_Original,"Row 49, Col 'products'",벤젠,Benzene,False
source_Original,"Row 50, Col 'products'",벤젠,Benzene,False
source_Original,"Row 51, Col 'products'",벤젠,Benzene,False
source_Original,"Row 52, Col 'products'",벤젠,Benzene,False
source_Original,"Row 53, Col 'products'",벤젠,Benzene,False
source_Original,"Row 54, Col 'products'",벤젠,Benzene,False
source_Original,"Row 55, Col 'products'",톨루엔,Toluene,False
source_Original,"Row 56, Col 'products'",톨루엔,Toluene,False
source_Original,"Row 57, Col 'products'",톨루엔,Toluene,False
source_Original,"Row 58, Col 'products'",톨루엔,Toluene,False
source_Original,"Row 59, Col 'products'",톨루엔,Toluene,False
source_Original,"Row 60, Col 'products'",톨루엔,Toluene,False
source_Original,"Row 61, Col 'products'",톨루엔,Toluene,False
source_Original,"Row 62, Col 'products'",톨루엔,Toluene,False
source_Original,"Row 63, Col 'products'",톨루엔,Toluene,False
source_Original,"Row 64, Col 'products'",톨루엔,Toluene,False
source_Original,"Row 65, Col 'products'",자일렌,Xylene,False
source_Original,"Row 66, Col 'products'",자일렌,Xylene,False
source_Original,"Row 67, Col 'products'",자일렌,Xylene,False
source_Original,"Row 68, Col 'products'",자일렌,Xylene,False
source_Original,"Row 69, Col 'products'",자일렌,Xylene,False
source_Original,"Row 70, Col 'products'",자일렌,Xylene,False
source_Original,"Row 71, Col 'products'",자일렌,Xylene,False
source_Original,"Row 72, Col 'products'",자일렌,Xylene,False
source_Original,"Row 73, Col 'products'",자일렌,Xylene,False
source_Original,"Row 74, Col 'products'",자일렌,Xylene,False
source_Original,"Row 190, Col 'products'",초산,second산,True
source_Original,"Row 191, Col 'products'",초산비닐,second산비닐,True
source_Original,"Row 192, Col 'products'",에탄올,에탄올,True
source_Original,"Row 193, Col 'products'",초산에틸,second산에틸,True
source_Original,"Row 194, Col 'products'",알킬벤젠,알킬Benzene,True
source_Original,"Row 209, Col 'products'",페놀,페놀,True
source_Original,"Row 210, Col 'products'",페놀,페놀,True
source_Original,"Row 211, Col 'products'",페놀,페놀,True
source_Original,"Row 212, Col 'products'",아세톤,아세ton,True
source_Original,"Row 213, Col 'products'",아세톤,아세ton,True
source_Original,"Row 214, Col 'products'",아세톤,아세ton,True
source_Original,"Row 223, Col 'products'",옥탄올,옥탄올,True
source_Original,"Row 224, Col 'products'",옥탄올,옥탄올,True
source_Original,"Row 225, Col 'products'",옥탄올,옥탄올,True
source_Original,"Row 226, Col 'products'",부탄올,부탄올,True
source_Original,"Row 227, Col 'products'",부탄올,부탄올,True
source_Original,"Row 239, Col 'products'",카본블랙(CB),카본블랙(CB),True
source_Original,"Row 240, Col 'products'",카본블랙(CB),카본블랙(CB),True
source_Original,"Row 241, Col 'products'",카본블랙(CB),카본블랙(CB),True
source_Original,"Row 242, Col 'products'",카본블랙(CB),카본블랙(CB),True
