facility_id,company,location,process,capacity_1000_t,startup_year,retirement_year,baseline_emissions_tco2,age_at_retirement
0,Lotte Chemical,Daesan,Naphtha Cracker,1100,1991,2031,2284393.747424626,40
1,HD현대케미칼,Daesan,Naphtha Cracker,850,2021,2061,1765213.3502826658,40
2,LG Chem,Daesan,Naphtha Cracker,1300,1991,2031,2699738.0651381947,40
3,한화토탈에너지스,Daesan,Naphtha Cracker,1525,1991,2031,3167000.4225659585,40
4,Lotte Chemical,Yeosu,Naphtha Cracker,1230,1992,2032,2554367.5539384456,40
5,LG Chem,Yeosu,Naphtha Cracker,1030,2021,2061,2139023.236224877,40
6,여천NCC,Yeosu,Naphtha Cracker,2285,1979,2025,4745308.829877518,40
7,GS Caltex,Yeosu,Naphtha Cracker,900,2021,2061,1869049.4297110578,40
8,대한유화,Onsan,Naphtha Cracker,900,1991,2031,1869049.4297110578,40
9,S-Oil,Onsan,Naphtha Cracker,182,2018,2058,377963.3291193472,40
10,SK지오센트릭,Ulsan,Naphtha Cracker,660,1989,2029,1370636.2484547757,40
11,Lotte Chemical,Daesan,Naphtha Cracker,550,1997,2037,1142196.873712313,40
12,HDHyundai Oilbank,Daesan,Naphtha Cracker,420,2011,2051,872223.0671984935,40
13,HD현대케미칼,Daesan,Naphtha Cracker,451,2021,2061,936601.4364440967,40
14,LG Chem,Daesan,Naphtha Cracker,680,1991,2031,1412170.6802261323,40
15,한화토탈에너지스,Daesan,Naphtha Cracker,1064,1991,2031,2209631.770236184,40
16,Lotte Chemical,Yeosu,Naphtha Cracker,641,1992,2032,1331178.5382719866,40
17,LG Chem,Yeosu,Naphtha Cracker,1300,2021,2061,2699738.0651381947,40
18,여천NCC,Yeosu,Naphtha Cracker,1289,1979,2025,2676894.127663948,40
19,GS Caltex,Yeosu,Naphtha Cracker,970,2021,2061,2014419.9409108064,40
20,대한유화,Onsan,Naphtha Cracker,560,1991,2031,1162964.0895979914,40
21,S-Oil,Onsan,Naphtha Cracker,840,2018,2058,1744446.134396987,40
22,SK어드밴스드,Ulsan,Naphtha Cracker,600,2016,2056,1246032.9531407051,40
23,SK에너지,Ulsan,Naphtha Cracker,620,1996,2036,1287567.384912062,40
24,SK지오센트릭,Ulsan,Naphtha Cracker,380,1989,2029,789154.20365578,40
25,태광산업,Ulsan,Naphtha Cracker,300,1997,2037,623016.4765703526,40
26,효성화학,Ulsan,Naphtha Cracker,500,1991,2031,1038360.7942839209,40
27,Lotte Chemical,Daesan,Naphtha Cracker,190,1997,2037,394577.10182789,40
28,HD현대케미칼,Daesan,Naphtha Cracker,163,2021,2061,338505.6189365582,40
29,LG Chem,Daesan,Naphtha Cracker,200,1991,2031,415344.3177135684,40
30,한화토탈에너지스,Daesan,Naphtha Cracker,150,1991,2031,311508.2382851763,40
31,Kumho Petrochemical,Yeosu,Naphtha Cracker,147,1992,2032,305278.07351947273,40
32,롯데GS화학,Yeosu,Naphtha Cracker,130,2022,2062,269973.80651381944,40
33,Lotte Chemical,Yeosu,Naphtha Cracker,160,2011,2051,332275.4541708547,40
34,LG Chem,Yeosu,Naphtha Cracker,306,1991,2031,635476.8061017595,40
35,여천NCC,Yeosu,Naphtha Cracker,378,1992,2032,785000.7604786442,40
36,Kumho Petrochemical,Ulsan,Naphtha Cracker,90,1979,2025,186904.94297110575,40
37,대한유화,Ulsan,Naphtha Cracker,146,2023,2063,303201.3519309049,40
38,SK지오센트릭,Ulsan,Naphtha Cracker,130,1989,2029,269973.80651381944,40
39,OCI,Gwangyang,BTX Plant,200,1995,2035,63037.77586974907,40
40,Lotte Chemical,Daesan,BTX Plant,240,2011,2051,75645.33104369888,40
41,HD현대케미칼,Daesan,BTX Plant,410,2016,2056,129227.44053298561,40
42,HDHyundai Oilbank,Daesan,BTX Plant,338,1997,2037,106533.84121987593,40
43,LG Chem,Daesan,BTX Plant,270,1991,2031,85100.99742416125,40
44,한화토탈에너지스,Daesan,BTX Plant,1267,1991,2031,399344.31013486034,40
45,Lotte Chemical,Yeosu,BTX Plant,235,1992,2032,74069.38664695516,40
