year,emissions_mt_co2,active_facilities
2023,48.48039060291264,234
2024,48.48039060291264,234
2025,48.48039060291264,234
2026,48.48039060291264,234
2027,48.48039060291264,234
2028,48.48039060291264,234
2029,16.334155902160287,74
2030,16.333294274253312,73
2031,16.33134427425331,71
2032,16.33134427425331,71
2033,16.33134427425331,71
2034,16.32741985564866,69
2035,16.311872762625402,62
2036,15.806540582392842,57
2037,15.806540582392842,57
2038,15.447630989369584,51
2039,15.447191105648653,50
2040,15.447121338206793,49
2041,14.060095030067258,43
2042,14.05406816960214,39
2043,14.050440262625397,35
2044,13.555743402160282,30
2045,13.554487588206793,29
2046,9.558344274253308,26
2047,9.558344274253308,26
2048,8.174392461667805,19
2049,8.168283624458503,16
2050,8.168283624458503,16
