facility_id,company,location,product,process,start_year,capacity_kt,annual_emissions_kt_co2,emission_intensity_t_co2_per_t
롯데케미칼_대산_Ethylene_1991,롯데케미칼,대산,Ethylene,Naphtha Cracker,1991,1100,1887.3045894517404,1.7157314449561276
HD현대케미칼_대산_Ethylene_2021,HD현대케미칼,대산,Ethylene,Naphtha Cracker,2021,850,1458.3717282127086,1.7157314449561278
LG화학_대산_Ethylene_1991,LG화학,대산,Ethylene,Naphtha Cracker,1991,1300,2230.450878442966,1.7157314449561276
한화토탈에너지스_대산_Ethylene_1991,한화토탈에너지스,대산,Ethylene,Naphtha Cracker,1991,1525,2616.4904535580945,1.7157314449561276
롯데케미칼_여수_Ethylene_1992,롯데케미칼,여수,Ethylene,Naphtha Cracker,1992,1230,2110.349677296037,1.7157314449561276
LG화학_여수_Ethylene_2021,LG화학,여수,Ethylene,Naphtha Cracker,2021,1030,1767.2033883048111,1.7157314449561274
여천NCC_여수_Ethylene_1979,여천NCC,여수,Ethylene,Naphtha Cracker,1979,2285,3920.446351724751,1.7157314449561274
GS칼텍스_여수_Ethylene_2021,GS칼텍스,여수,Ethylene,Naphtha Cracker,2021,900,1544.158300460515,1.7157314449561278
대한유화_온산_Ethylene_1991,대한유화,온산,Ethylene,Naphtha Cracker,1991,900,1544.158300460515,1.7157314449561278
S-Oil_온산_Ethylene_2018,S-Oil,온산,Ethylene,Naphtha Cracker,2018,182,312.26312298201526,1.7157314449561278
SK지오센트릭_울산_Ethylene_1989,SK지오센트릭,울산,Ethylene,Naphtha Cracker,1989,660,1132.3827536710442,1.7157314449561276
롯데케미칼_대산_Propylene_1997,롯데케미칼,대산,Propylene,Naphtha Cracker,1997,550,940.0868936243495,1.7092488974988174
HD현대오일뱅크_대산_Propylene_2011,HD현대오일뱅크,대산,Propylene,Naphtha Cracker,2011,420,717.8845369495033,1.7092488974988174
HD현대케미칼_대산_Propylene_2021,HD현대케미칼,대산,Propylene,Naphtha Cracker,2021,451,770.8712527719665,1.7092488974988171
LG화학_대산_Propylene_1991,LG화학,대산,Propylene,Naphtha Cracker,1991,680,1162.2892502991956,1.7092488974988171
한화토탈에너지스_대산_Propylene_1991,한화토탈에너지스,대산,Propylene,Naphtha Cracker,1991,1064,1818.6408269387416,1.7092488974988174
롯데케미칼_여수_Propylene_1992,롯데케미칼,여수,Propylene,Naphtha Cracker,1992,641,1095.628543296742,1.7092488974988176
LG화학_여수_Propylene_2021,LG화학,여수,Propylene,Naphtha Cracker,2021,1300,2222.0235667484626,1.7092488974988174
여천NCC_여수_Propylene_1979,여천NCC,여수,Propylene,Naphtha Cracker,1979,1289,2203.2218288759755,1.7092488974988174
GS칼텍스_여수_Propylene_2021,GS칼텍스,여수,Propylene,Naphtha Cracker,2021,970,1657.9714305738528,1.7092488974988174
대한유화_온산_Propylene_1991,대한유화,온산,Propylene,Naphtha Cracker,1991,560,957.1793825993376,1.7092488974988171
S-Oil_온산_Propylene_2018,S-Oil,온산,Propylene,Naphtha Cracker,2018,840,1435.7690738990066,1.7092488974988174
SK어드밴스드_울산_Propylene_2016,SK어드밴스드,울산,Propylene,Naphtha Cracker,2016,600,1025.5493384992903,1.7092488974988171
