facility_id,company,location,product,process,start_year,capacity_kt,annual_emissions_kt_co2,emission_intensity_t_co2_per_t
롯데케미칼_대산_Ethylene_1991,롯데케미칼,대산,Ethylene,Naphtha Cracker,1991,1100.0,982.8720000000001,0.8935200000000001
HD현대케미칼_대산_Ethylene_2021,HD현대케미칼,대산,Ethylene,Naphtha Cracker,2021,850.0,759.4920000000001,0.8935200000000001
LG화학_대산_Ethylene_1991,LG화학,대산,Ethylene,Naphtha Cracker,1991,1300.0,1161.576,0.89352
한화토탈에너지스_대산_Ethylene_1991,한화토탈에너지스,대산,Ethylene,Naphtha Cracker,1991,1525.0,1362.6180000000002,0.8935200000000001
롯데케미칼_여수_Ethylene_1992,롯데케미칼,여수,Ethylene,Naphtha Cracker,1992,1230.0,1099.0296,0.8935200000000001
LG화학_여수_Ethylene_2021,LG화학,여수,Ethylene,Naphtha Cracker,2021,1030.0,920.3255999999999,0.8935199999999999
여천NCC_여수_Ethylene_1979,여천NCC,여수,Ethylene,Naphtha Cracker,1979,2285.0,2041.6932,0.89352
GS칼텍스_여수_Ethylene_2021,GS칼텍스,여수,Ethylene,Naphtha Cracker,2021,900.0,804.168,0.89352
대한유화_온산_Ethylene_1991,대한유화,온산,Ethylene,Naphtha Cracker,1991,900.0,804.168,0.89352
S-Oil_온산_Ethylene_2018,S-Oil,온산,Ethylene,Naphtha Cracker,2018,182.0,162.62063999999998,0.8935199999999999
SK지오센트릭_울산_Ethylene_1989,SK지오센트릭,울산,Ethylene,Naphtha Cracker,1989,660.0,589.7232,0.89352
롯데케미칼_대산_Propylene_1997,롯데케미칼,대산,Propylene,Naphtha Cracker,1997,550.0,399.894,0.7270800000000001
HD현대오일뱅크_대산_Propylene_2011,HD현대오일뱅크,대산,Propylene,Naphtha Cracker,2011,420.0,305.3736,0.7270800000000001
HD현대케미칼_대산_Propylene_2021,HD현대케미칼,대산,Propylene,Naphtha Cracker,2021,451.0,327.91308,0.72708
LG화학_대산_Propylene_1991,LG화학,대산,Propylene,Naphtha Cracker,1991,680.0,494.4144,0.72708
한화토탈에너지스_대산_Propylene_1991,한화토탈에너지스,대산,Propylene,Naphtha Cracker,1991,1064.0,773.61312,0.72708
롯데케미칼_여수_Propylene_1992,롯데케미칼,여수,Propylene,Naphtha Cracker,1992,641.0,466.05828,0.7270800000000001
LG화학_여수_Propylene_2021,LG화학,여수,Propylene,Naphtha Cracker,2021,1300.0,945.204,0.72708
여천NCC_여수_Propylene_1979,여천NCC,여수,Propylene,Naphtha Cracker,1979,1289.0,937.2061199999999,0.72708
GS칼텍스_여수_Propylene_2021,GS칼텍스,여수,Propylene,Naphtha Cracker,2021,970.0,705.2675999999999,0.72708
대한유화_온산_Propylene_1991,대한유화,온산,Propylene,Naphtha Cracker,1991,560.0,407.1648,0.7270800000000001
S-Oil_온산_Propylene_2018,S-Oil,온산,Propylene,Naphtha Cracker,2018,840.0,610.7472,0.7270800000000001
SK어드밴스드_울산_Propylene_2016,SK어드밴스드,울산,Propylene,Naphtha Cracker,2016,600.0,436.248,0.72708
SK에너지_울산_Propylene_1996,SK에너지,울산,Propylene,Naphtha Cracker,1996,620.0,450.7896,0.7270800000000001
SK지오센트릭_울산_Propylene_1989,SK지오센트릭,울산,Propylene,Naphtha Cracker,1989,380.0,276.2904,0.72708
태광산업_울산_Propylene_1997,태광산업,울산,Propylene,Naphtha Cracker,1997,300.0,218.124,0.72708
효성화학_울산_Propylene_1991,효성화학,울산,Propylene,Naphtha Cracker,1991,500.0,363.5400000000001,0.7270800000000002
롯데케미칼_대산_Butadiene_1997,롯데케미칼,대산,Butadiene,Naphtha Cracker,1997,190.0,182.3905,0.95995
HD현대케미칼_대산_Butadiene_2021,HD현대케미칼,대산,Butadiene,Naphtha Cracker,2021,163.0,156.47185,0.95995
LG화학_대산_Butadiene_1991,LG화학,대산,Butadiene,Naphtha Cracker,1991,200.0,191.99,0.9599500000000001
한화토탈에너지스_대산_Butadiene_1991,한화토탈에너지스,대산,Butadiene,Naphtha Cracker,1991,150.0,143.9925,0.9599500000000001
금호석유화학_여수_Butadiene_1992,금호석유화학,여수,Butadiene,Naphtha Cracker,1992,147.0,141.11265,0.95995
롯데GS화학_여수_Butadiene_2022,롯데GS화학,여수,Butadiene,Naphtha Cracker,2022,130.0,124.7935,0.95995
롯데케미칼_여수_Butadiene_2011,롯데케미칼,여수,Butadiene,Naphtha Cracker,2011,160.0,153.59199999999998,0.9599499999999999
LG화학_여수_Butadiene_1991,LG화학,여수,Butadiene,Naphtha Cracker,1991,306.0,293.74469999999997,0.9599499999999999
여천NCC_여수_Butadiene_1992,여천NCC,여수,Butadiene,Naphtha Cracker,1992,378.0,362.8611,0.9599500000000001
금호석유화학_울산_Butadiene_1979,금호석유화학,울산,Butadiene,Naphtha Cracker,1979,90.0,86.3955,0.95995
대한유화_울산_Butadiene_2023,대한유화,울산,Butadiene,Naphtha Cracker,2023,146.0,140.1527,0.9599500000000001
SK지오센트릭_울산_Butadiene_1989,SK지오센트릭,울산,Butadiene,Naphtha Cracker,1989,130.0,124.7935,0.95995
OCI_광양_벤젠_1995,OCI,광양,벤젠,BTX Plant,1995,200.0,118.26000000000002,0.5913
