facility_id,company,product,start_year,retirement_year,capacity_kt,annual_emissions_kt_co2
롯데케미칼_대산_Ethylene_1991,롯데케미칼,Ethylene,1991,2016,1100,1887.3045894517404
HD현대케미칼_대산_Ethylene_2021,HD현대케미칼,Ethylene,2021,2046,850,1458.3717282127086
LG화학_대산_Ethylene_1991,LG화학,Ethylene,1991,2016,1300,2230.450878442966
한화토탈에너지스_대산_Ethylene_1991,한화토탈에너지스,Ethylene,1991,2016,1525,2616.4904535580945
롯데케미칼_여수_Ethylene_1992,롯데케미칼,Ethylene,1992,2017,1230,2110.349677296037
LG화학_여수_Ethylene_2021,LG화학,Ethylene,2021,2046,1030,1767.2033883048111
여천NCC_여수_Ethylene_1979,여천NCC,Ethylene,1979,2004,2285,3920.446351724751
GS칼텍스_여수_Ethylene_2021,GS칼텍스,Ethylene,2021,2046,900,1544.158300460515
대한유화_온산_Ethylene_1991,대한유화,Ethylene,1991,2016,900,1544.158300460515
S-Oil_온산_Ethylene_2018,S-Oil,Ethylene,2018,2043,182,312.26312298201526
SK지오센트릭_울산_Ethylene_1989,SK지오센트릭,Ethylene,1989,2014,660,1132.3827536710442
롯데케미칼_대산_Propylene_1997,롯데케미칼,Propylene,1997,2022,550,940.0868936243495
HD현대오일뱅크_대산_Propylene_2011,HD현대오일뱅크,Propylene,2011,2036,420,717.8845369495033
HD현대케미칼_대산_Propylene_2021,HD현대케미칼,Propylene,2021,2046,451,770.8712527719665
LG화학_대산_Propylene_1991,LG화학,Propylene,1991,2016,680,1162.2892502991956
한화토탈에너지스_대산_Propylene_1991,한화토탈에너지스,Propylene,1991,2016,1064,1818.6408269387416
롯데케미칼_여수_Propylene_1992,롯데케미칼,Propylene,1992,2017,641,1095.628543296742
LG화학_여수_Propylene_2021,LG화학,Propylene,2021,2046,1300,2222.0235667484626
여천NCC_여수_Propylene_1979,여천NCC,Propylene,1979,2004,1289,2203.2218288759755
GS칼텍스_여수_Propylene_2021,GS칼텍스,Propylene,2021,2046,970,1657.9714305738528
대한유화_온산_Propylene_1991,대한유화,Propylene,1991,2016,560,957.1793825993376
S-Oil_온산_Propylene_2018,S-Oil,Propylene,2018,2043,840,1435.7690738990066
SK어드밴스드_울산_Propylene_2016,SK어드밴스드,Propylene,2016,2041,600,1025.5493384992903
SK에너지_울산_Propylene_1996,SK에너지,Propylene,1996,2021,620,1059.7343164492668
SK지오센트릭_울산_Propylene_1989,SK지오센트릭,Propylene,1989,2014,380,649.5145810495505
태광산업_울산_Propylene_1997,태광산업,Propylene,1997,2022,300,512.7746692496452
효성화학_울산_Propylene_1991,효성화학,Propylene,1991,2016,500,854.6244487494087
롯데케미칼_대산_Butadiene_1997,롯데케미칼,Butadiene,1997,2022,190,393.382298626933
HD현대케미칼_대산_Butadiene_2021,HD현대케미칼,Butadiene,2021,2046,163,337.48060355889515
LG화학_대산_Butadiene_1991,LG화학,Butadiene,1991,2016,200,414.0866301336137
한화토탈에너지스_대산_Butadiene_1991,한화토탈에너지스,Butadiene,1991,2016,150,310.56497260021024
금호석유화학_여수_Butadiene_1992,금호석유화학,Butadiene,1992,2017,147,304.35367314820604
롯데GS화학_여수_Butadiene_2022,롯데GS화학,Butadiene,2022,2047,130,269.15630958684886
롯데케미칼_여수_Butadiene_2011,롯데케미칼,Butadiene,2011,2036,160,331.26930410689096
LG화학_여수_Butadiene_1991,LG화학,Butadiene,1991,2016,306,633.552544104429
여천NCC_여수_Butadiene_1992,여천NCC,Butadiene,1992,2017,378,782.6237309525299
금호석유화학_울산_Butadiene_1979,금호석유화학,Butadiene,1979,2004,90,186.33898356012617
대한유화_울산_Butadiene_2023,대한유화,Butadiene,2023,2048,146,302.283239997538
SK지오센트릭_울산_Butadiene_1989,SK지오센트릭,Butadiene,1989,2014,130,269.15630958684886
OCI_광양_벤젠_1995,OCI,벤젠,1995,2020,200,190.70236282459007
롯데케미칼_대산_벤젠_2011,롯데케미칼,벤젠,2011,2036,240,228.84283538950808
HD현대케미칼_대산_벤젠_2016,HD현대케미칼,벤젠,2016,2041,410,390.93984379040967
HD현대오일뱅크_대산_벤젠_1997,HD현대오일뱅크,벤젠,1997,2022,338,322.2869931735572
LG화학_대산_벤젠_1991,LG화학,벤젠,1991,2016,270,257.4481898131966
한화토탈에너지스_대산_벤젠_1991,한화토탈에너지스,벤젠,1991,2016,1267,1208.099468493778
롯데케미칼_여수_벤젠_1992,롯데케미칼,벤젠,1992,2017,235,224.07527631889332
LG화학_여수_벤젠_1992,LG화학,벤젠,1992,2017,630,600.7124428974587
여천NCC_여수_벤젠_1979,여천NCC,벤젠,1979,2004,457,435.7548990541883
GS칼텍스_여수_벤젠_1990,GS칼텍스,벤젠,1990,2015,930,886.7659871343438
대한유화_온산_벤젠_2008,대한유화,벤젠,2008,2033,210,200.23748096581954
