year,category,value,unit,scenario,figure_type
2025,Baseline,59.247364476043295,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2026,Baseline,53.18598031636048,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2027,Baseline,52.4212077699102,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2028,Baseline,50.218270182509066,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2029,Baseline,47.59467602485922,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2030,Baseline,44.75407056941974,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2031,Baseline,39.98036998547688,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2032,Baseline,39.374828476166506,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2033,Baseline,38.76928696685614,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2034,Baseline,36.173919739501194,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2035,Baseline,32.99413805228635,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2036,Baseline,29.826618600744776,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2037,Baseline,28.634330026635258,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2038,Baseline,26.765388385615122,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2039,Baseline,23.9774591498109,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2040,Baseline,21.770903767906887,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2041,Baseline,19.204990849695363,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2042,Baseline,17.164451719526376,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2043,Baseline,14.754413835783483,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2044,Baseline,13.217992359106544,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2045,Baseline,10.727781365157073,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2046,Baseline,8.229694292319667,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2047,Baseline,6.404430243090043,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2048,Baseline,3.8441424648412648,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2049,Baseline,1.9450406709855435,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2050,Baseline,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2025,NCC-H2,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2026,NCC-H2,1.8237231547651465,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2027,NCC-H2,1.7479162199994664,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2028,NCC-H2,1.8472532029723843,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2029,NCC-H2,1.9798870187876152,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2030,NCC-H2,2.116327260672694,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2031,NCC-H2,2.4758660536808876,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2032,NCC-H2,2.3731667455753533,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2033,NCC-H2,2.2704674374698195,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2034,NCC-H2,2.425517341798179,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2035,NCC-H2,2.61803849765804,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2036,NCC-H2,2.5498286397570937,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2037,NCC-H2,2.2660639262706126,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2038,NCC-H2,2.035426529226991,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2039,NCC-H2,1.850664799140294,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2040,NCC-H2,1.5979839386812738,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2041,NCC-H2,1.537226330989214,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2042,NCC-H2,1.4303773731457212,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2043,NCC-H2,1.321943046687026,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2044,NCC-H2,1.1660438371054096,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2045,NCC-H2,1.02460786348064,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2046,NCC-H2,0.8623076122443974,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2047,NCC-H2,0.6675619213785874,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2048,NCC-H2,0.4636806322568425,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2049,NCC-H2,0.23184031612842124,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2050,NCC-H2,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2025,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2026,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2027,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2028,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2029,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2030,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2031,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2032,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2033,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2034,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2035,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2036,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2037,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2038,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2039,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2040,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2041,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2042,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2043,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2044,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2045,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2046,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2047,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2048,RDH,0.2044351710072353,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2049,RDH,0.20206602984421607,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2050,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2025,Heat_Pump,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2026,Heat_Pump,0.23455393143579661,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2027,Heat_Pump,0.2248041980220774,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2028,Heat_Pump,0.2150544646083582,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2029,Heat_Pump,0.20530473119463896,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2030,Heat_Pump,0.19555499778091978,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2031,Heat_Pump,0.18776641764007515,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2032,Heat_Pump,0.17997783749923046,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2033,Heat_Pump,0.1721892573583858,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2034,Heat_Pump,0.16440067721754115,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2035,Heat_Pump,0.15661209707669652,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2036,Heat_Pump,0.14097890384435363,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2037,Heat_Pump,0.12528967766135718,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2038,Heat_Pump,0.10965648442901434,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2039,Heat_Pump,0.09402329119667147,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2040,Heat_Pump,0.07833406501367503,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2041,Heat_Pump,0.07054548487283038,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2042,Heat_Pump,0.06270087178133216,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2043,Heat_Pump,0.054856258689833945,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2044,Heat_Pump,0.04706767854898929,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2045,Heat_Pump,0.039223065457491074,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2046,Heat_Pump,0.03137845236599286,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2047,Heat_Pump,0.023533839274494647,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2048,Heat_Pump,0.01568922618299643,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2049,Heat_Pump,0.007844613091498216,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2050,Heat_Pump,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
