year,category,value,unit,figure_type
2025,Baseline,100.0,pct,stacked_area_pct
2026,Baseline,100.0,pct,stacked_area_pct
2027,Baseline,100.0,pct,stacked_area_pct
2028,Baseline,100.0,pct,stacked_area_pct
2029,Baseline,100.0,pct,stacked_area_pct
2030,Baseline,100.0,pct,stacked_area_pct
2031,Baseline,100.0,pct,stacked_area_pct
2032,Baseline,50.0,pct,stacked_area_pct
2033,Baseline,50.0,pct,stacked_area_pct
2034,Baseline,50.0,pct,stacked_area_pct
2035,Baseline,47.905320485965646,pct,stacked_area_pct
2036,Baseline,44.23753665689149,pct,stacked_area_pct
2037,Baseline,42.289484708839545,pct,stacked_area_pct
2038,Baseline,40.23041474654377,pct,stacked_area_pct
2039,Baseline,36.887306242144945,pct,stacked_area_pct
2040,Baseline,34.81357352325094,pct,stacked_area_pct
2041,Baseline,32.27901131126937,pct,stacked_area_pct
2042,Baseline,27.858190196899873,pct,stacked_area_pct
2043,Baseline,24.086719731881022,pct,stacked_area_pct
2044,Baseline,19.519271051529117,pct,stacked_area_pct
2045,Baseline,16.073523250942607,pct,stacked_area_pct
2046,Baseline,11.425429409300376,pct,stacked_area_pct
2047,Baseline,6.011730205278592,pct,stacked_area_pct
2048,Baseline,3.8657310431503973,pct,stacked_area_pct
2049,Baseline,1.235860913280268,pct,stacked_area_pct
2050,Baseline,0.0,pct,stacked_area_pct
2025,NCC-H2,0.0,pct,stacked_area_pct
2026,NCC-H2,0.0,pct,stacked_area_pct
2027,NCC-H2,0.0,pct,stacked_area_pct
2028,NCC-H2,0.0,pct,stacked_area_pct
2029,NCC-H2,0.0,pct,stacked_area_pct
2030,NCC-H2,0.0,pct,stacked_area_pct
2031,NCC-H2,0.0,pct,stacked_area_pct
2032,NCC-H2,0.0,pct,stacked_area_pct
2033,NCC-H2,0.0,pct,stacked_area_pct
2034,NCC-H2,0.0,pct,stacked_area_pct
2035,NCC-H2,2.0946795140343526,pct,stacked_area_pct
2036,NCC-H2,5.762463343108505,pct,stacked_area_pct
2037,NCC-H2,7.710515291160452,pct,stacked_area_pct
2038,NCC-H2,9.76958525345622,pct,stacked_area_pct
2039,NCC-H2,13.112693757855048,pct,stacked_area_pct
2040,NCC-H2,15.186426476749057,pct,stacked_area_pct
2041,NCC-H2,17.72098868873062,pct,stacked_area_pct
2042,NCC-H2,22.141809803100127,pct,stacked_area_pct
2043,NCC-H2,25.913280268118978,pct,stacked_area_pct
2044,NCC-H2,30.48072894847088,pct,stacked_area_pct
2045,NCC-H2,33.926476749057386,pct,stacked_area_pct
2046,NCC-H2,38.57457059069962,pct,stacked_area_pct
2047,NCC-H2,43.988269794721404,pct,stacked_area_pct
2048,NCC-H2,46.1342689568496,pct,stacked_area_pct
2049,NCC-H2,48.76413908671973,pct,stacked_area_pct
2050,NCC-H2,50.0,pct,stacked_area_pct
2025,NCC-Electricity,0.0,pct,stacked_area_pct
2026,NCC-Electricity,0.0,pct,stacked_area_pct
2027,NCC-Electricity,0.0,pct,stacked_area_pct
2028,NCC-Electricity,0.0,pct,stacked_area_pct
2029,NCC-Electricity,0.0,pct,stacked_area_pct
2030,NCC-Electricity,0.0,pct,stacked_area_pct
2031,NCC-Electricity,0.0,pct,stacked_area_pct
2032,NCC-Electricity,50.0,pct,stacked_area_pct
2033,NCC-Electricity,50.0,pct,stacked_area_pct
2034,NCC-Electricity,50.0,pct,stacked_area_pct
2035,NCC-Electricity,50.0,pct,stacked_area_pct
2036,NCC-Electricity,50.0,pct,stacked_area_pct
2037,NCC-Electricity,50.0,pct,stacked_area_pct
2038,NCC-Electricity,50.0,pct,stacked_area_pct
2039,NCC-Electricity,50.0,pct,stacked_area_pct
2040,NCC-Electricity,50.0,pct,stacked_area_pct
2041,NCC-Electricity,50.0,pct,stacked_area_pct
2042,NCC-Electricity,50.0,pct,stacked_area_pct
2043,NCC-Electricity,50.0,pct,stacked_area_pct
2044,NCC-Electricity,50.0,pct,stacked_area_pct
2045,NCC-Electricity,50.0,pct,stacked_area_pct
2046,NCC-Electricity,50.0,pct,stacked_area_pct
2047,NCC-Electricity,50.0,pct,stacked_area_pct
2048,NCC-Electricity,50.0,pct,stacked_area_pct
2049,NCC-Electricity,50.0,pct,stacked_area_pct
2050,NCC-Electricity,50.0,pct,stacked_area_pct
