year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,57.82112069636608,8.372000000000002,66.19312069636608,0.45,248,0,1.0,1.0,100066.0
2026,58.68843750681157,8.346511911111113,67.03494941792268,0.442,248,0,1.0,1.015,101566.98999999999
2027,59.55575431725707,8.316558755555558,67.87231307281263,0.434,248,0,1.0,1.03,103067.98
2028,60.48089224839892,8.290066026666668,68.7709582750656,0.426,248,0,1.0,1.046,104669.03600000001
2029,61.34820905884441,8.251033902222224,69.59924296106664,0.418,248,0,1.0,1.061,106170.026
2030,62.273346989986265,8.215164533333335,70.4885115233196,0.41,248,0,1.0,1.077,107771.082
2031,63.08284267973539,8.159574453333336,71.24241713306873,0.402,248,0,1.0,1.091,109172.006
2032,63.89233836948452,8.09981697777778,71.9921553472623,0.394,248,0,1.0,1.105,110572.93
2033,64.70183405923365,8.035892106666669,72.73772616590031,0.386,248,0,1.0,1.119,111973.854
2034,65.56915086967913,7.974832320000002,73.54398318967912,0.378,248,0,1.0,1.134,113474.84399999998
2035,66.43646768012462,7.909307466666668,74.34577514679128,0.37,248,0,1.0,1.149,114975.834
2036,67.07250000778465,7.812378311111113,74.88487831889576,0.362,248,0,1.0,1.16,116076.56
2037,67.76635345614105,7.718760746666668,75.48511420280772,0.354,248,0,1.0,1.172,117277.352
2038,68.40238578380108,7.615133991111112,76.01751977491219,0.346,248,0,1.0,1.183,118378.07800000001
2039,69.09623923215747,7.514521155555558,76.61076038771303,0.338,248,0,1.0,1.195,119578.87000000001
2040,69.79009268051387,7.410336266666669,77.20042894718053,0.33,248,0,1.0,1.207,120779.66200000001
2041,70.36830388747752,7.290598062222226,77.65890194969975,0.322,248,0,1.0,1.217,121780.32200000001
2042,70.88869397374481,7.162041351111112,78.05073532485592,0.314,248,0,1.0,1.226,122680.916
2043,71.46690518070848,7.03649856,78.50340374070848,0.306,248,0,1.0,1.236,123681.576
2044,72.04511638767214,6.907979057777778,78.95309544544992,0.298,248,0,1.0,1.246,124682.236
2045,72.62332759463581,6.776482844444445,79.39981043908024,0.29,248,0,1.0,1.256,125682.896
2046,72.970254318814,6.621024106666667,79.59127842548067,0.282,248,0,1.0,1.262,126283.292
2047,73.37500216368855,6.468876960000001,79.84387912368855,0.274,248,0,1.0,1.269,126983.75399999999
2048,73.72192888786674,6.309697333333334,80.03162622120007,0.266,248,0,1.0,1.275,127584.15
2049,74.12667673274132,6.153531626666669,80.28020835940798,0.258,248,0,1.0,1.282,128284.61200000001
2050,74.47360345691952,5.990631111111113,80.46423456803063,0.25,248,0,1.0,1.288,128885.008
