year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,naphtha_usd_per_gj,grid_price_usd_per_mwh,grid_ef_tco2_per_mwh
2025,Heat_Pump,True,3.8851907313962215,15.277831323472586,0.4583349397041776,-736.3907531692766,-720.6545869060999,58.0,6.0,15.0,,
2025,NCC-H2,False,37.60323707441514,28.103633715590433,0.7025908428897609,2348.993288590604,2377.7995131490843,,6.0,15.0,,
2025,NCC-Electricity,False,37.60323707441514,32.78757266818884,0.6557514533637767,74.57121551081275,108.01453963236536,58.0,,15.0,,
2025,RE_PPA,True,7.214952205225041,0.0,0.0,-105.0,-105.0,58.0,,15.0,100.0,0.45
2026,Heat_Pump,True,3.8851907313962215,14.666718070533683,0.4400015421160105,-741.2378821774795,-726.1311625648298,56.96,5.808,15.0,,
2026,NCC-H2,False,37.60323707441514,27.166845925070753,0.6791711481267688,2241.610738255034,2269.4567553282313,,5.808,15.0,,
2026,NCC-Electricity,False,37.60323707441514,31.85078487766916,0.6370156975533832,55.18269947800161,87.67050005322415,56.96,,15.0,,
2026,RE_PPA,True,7.198628783946251,0.0,0.0,-109.79591836734691,-109.79591836734691,56.96,,15.0,100.0,0.442
2027,Heat_Pump,True,3.8851907313962215,14.05560481759478,0.4216681445278434,-746.0850111856824,-731.6077382235599,55.92,5.616,15.0,,
2027,NCC-H2,False,37.60323707441514,26.230058134551072,0.6557514533637768,2134.2281879194634,2161.1139975073784,,5.616,15.0,,
2027,NCC-Electricity,False,37.60323707441514,30.91399708714948,0.6182799417429896,35.79418344519024,67.32646047408271,55.92,,15.0,,
2027,RE_PPA,True,7.181703577551192,0.0,0.0,-114.79166666666666,-114.79166666666666,55.92,,15.0,100.0,0.434
2028,Heat_Pump,True,3.8851907313962215,13.444491564655875,0.4033347469396762,-750.9321401938852,-737.0843138822896,54.88,5.4239999999999995,15.0,,
2028,NCC-H2,False,37.60323707441514,25.29327034403139,0.6323317586007848,2026.8456375838928,2052.771239686525,,5.4239999999999995,15.0,,
2028,NCC-Electricity,False,37.60323707441514,29.977209296629795,0.599544185932596,16.405667412378875,46.98242089494127,54.88,,15.0,,
2028,RE_PPA,True,7.164142682653034,0.0,0.0,-120.0,-120.0,54.88,,15.0,100.0,0.426
2029,Heat_Pump,True,3.8851907313962215,12.833378311716972,0.3850013493515091,-755.779269202088,-742.5608895410195,53.84,5.232,15.0,,
2029,NCC-H2,False,37.60323707441514,24.35648255351171,0.6089120638377928,1919.4630872483224,1944.428481865672,,5.232,15.0,,
2029,NCC-Electricity,False,37.60323707441514,29.04042150611011,0.5808084301222023,-2.982848620432492,26.638381315799823,53.84,,15.0,,
2029,RE_PPA,True,7.145909600390351,0.0,0.0,-125.43478260869564,-125.43478260869564,53.84,,15.0,100.0,0.418
2030,Heat_Pump,True,3.8851907313962215,12.222265058778069,0.366667951763342,-760.626398210291,-748.0374651997496,52.8,5.04,15.0,,
2030,NCC-H2,True,37.60323707441514,23.41969476299203,0.5854923690748007,1812.080536912752,1836.0857240448188,,5.04,15.0,,
2030,NCC-Electricity,True,37.60323707441514,28.103633715590433,0.5620726743118086,-22.37136465324386,6.294341736658382,52.8,,15.0,,
2030,RE_PPA,True,7.126964983210102,0.0,0.0,-131.11111111111111,-131.11111111111111,52.8,,15.0,100.0,0.41
2031,Heat_Pump,True,3.8851907313962215,11.916708432308615,0.3575012529692585,-765.4735272184937,-753.1993175332158,51.76,4.848,15.0,,
2031,NCC-H2,True,37.60323707441514,22.763943309628253,0.5690985827407063,1704.6979865771814,1728.0310284695504,,4.848,15.0,,
2031,NCC-Electricity,True,37.60323707441514,27.35420348317469,0.5470840696634938,-41.759880686055226,-13.858593133217042,51.76,,15.0,,
2031,RE_PPA,True,7.107266351415713,0.0,0.0,-137.04545454545453,-137.04545454545453,51.76,,15.0,100.0,0.402
2032,Heat_Pump,True,3.8851907313962215,11.611151805839166,0.3483345541751749,-770.3206562266965,-758.3611698666822,50.72,4.656,15.0,,
2032,NCC-H2,True,37.60323707441514,22.108191856264476,0.552704796406612,1597.3154362416108,1619.9763328942818,,4.656,15.0,,
2032,NCC-Electricity,True,37.60323707441514,26.604773250758942,0.5320954650151789,-61.14839671886648,-34.01152800309235,50.72,,15.0,,
2032,RE_PPA,True,7.086767775182972,0.0,0.0,-143.25581395348837,-143.25581395348837,50.72,,15.0,100.0,0.394
2033,Heat_Pump,True,3.8851907313962215,11.305595179369714,0.3391678553810914,-775.1677852348994,-763.5230222001486,49.68,4.464,15.0,,
2033,NCC-H2,True,37.60323707441514,21.4524404029007,0.5363110100725175,1489.9328859060406,1511.9216373190138,,4.464,15.0,,
2033,NCC-Electricity,True,37.60323707441514,25.8553430183432,0.5171068603668639,-80.53691275167785,-54.16446287296779,49.68,,15.0,,
2033,RE_PPA,True,7.065419517033849,0.0,0.0,-149.76190476190476,-149.76190476190476,49.68,,15.0,100.0,0.386
2034,Heat_Pump,True,3.8851907313962215,11.000038552900262,0.3300011565870078,-780.0149142431022,-768.6848745336149,48.64,4.272,15.0,,
2034,NCC-H2,True,37.60323707441514,20.79668894953692,0.5199172237384231,1382.55033557047,1403.8669417437454,,4.272,15.0,,
2034,NCC-Electricity,True,37.60323707441514,25.105912785927455,0.5021182557185491,-99.9254287844892,-74.31739774284321,48.64,,15.0,,
2034,RE_PPA,True,7.043167628910159,0.0,0.0,-156.58536585365852,-156.58536585365852,48.64,,15.0,100.0,0.378
2035,Heat_Pump,True,3.8851907313962215,10.69448192643081,0.3208344577929243,-784.8620432513051,-773.8467268670813,47.6,4.08,15.0,,
2035,NCC-H2,True,37.60323707441514,20.140937496173144,0.5035234374043286,1275.1677852348998,1295.8122461684773,,4.08,15.0,,
2035,NCC-Electricity,True,37.60323707441514,24.35648255351171,0.4871296510702342,-119.31394481730058,-94.47033261271864,47.6,,15.0,,
2035,RE_PPA,True,7.019953496975717,0.0,0.0,-163.75,-163.75,47.6,,15.0,100.0,0.37
2036,Heat_Pump,True,3.8851907313962215,10.38892529996136,0.3116677589988407,-789.7091722595078,-779.0085792005476,46.56,3.888,15.0,,
2036,NCC-H2,True,37.60323707441514,19.485186042809367,0.4871296510702342,1167.7852348993292,1187.7575505932089,,3.888,15.0,,
2036,NCC-Electricity,True,37.60323707441514,23.607052321095964,0.4721410464219193,-138.70246085011183,-114.62326748259396,46.56,,15.0,,
2036,RE_PPA,True,6.995713326060745,0.0,0.0,-171.28205128205127,-171.28205128205127,46.56,,15.0,100.0,0.362
2037,Heat_Pump,True,3.8851907313962215,10.083368673491908,0.3025010602047572,-794.5563012677108,-784.1704315340141,45.52,3.696,15.0,,
2037,NCC-H2,True,37.60323707441514,18.82943458944559,0.4707358647361397,1060.4026845637586,1079.7028550179402,,3.696,15.0,,
2037,NCC-Electricity,True,37.60323707441514,22.85762208868022,0.4571524417736044,-158.0909768829231,-134.77620235246926,45.52,,15.0,,
2037,RE_PPA,True,6.970377554200463,0.0,0.0,-179.21052631578948,-179.21052631578948,45.52,,15.0,100.0,0.354
2038,Heat_Pump,True,3.8851907313962215,9.777812047022454,0.2933343614106736,-799.4034302759136,-789.3322838674804,44.48,3.504,15.0,,
2038,NCC-H2,True,37.60323707441514,18.173683136081813,0.4543420784020453,953.020134228188,971.648159442672,,3.504,15.0,,
2038,NCC-Electricity,True,37.60323707441514,22.108191856264476,0.4421638371252895,-177.47949291573457,-154.9291372223448,44.48,,15.0,,
2038,RE_PPA,True,6.94387018595358,0.0,0.0,-187.5675675675676,-187.5675675675676,44.48,,15.0,100.0,0.346
2039,Heat_Pump,True,3.8851907313962215,9.472255420553005,0.28416766261659,-804.2505592841164,-794.4941362009469,43.44,3.312,15.0,,
2039,NCC-H2,True,37.60323707441514,17.517931682718036,0.4379482920679509,845.6375838926175,863.5934638674034,,3.312,15.0,,
2039,NCC-Electricity,True,37.60323707441514,21.35876162384873,0.4271752324769746,-196.86800894854585,-175.08207209222013,43.44,,15.0,,
2039,RE_PPA,True,6.916108031044122,0.0,0.0,-196.38888888888889,-196.38888888888889,43.44,,15.0,100.0,0.338
2040,Heat_Pump,True,3.8851907313962215,9.166698794083551,0.2750009638225065,-809.0976882923192,-799.6559885344132,42.4,3.12,15.0,,
2040,NCC-H2,True,37.60323707441514,16.862180229354262,0.4215545057338565,738.2550335570471,755.5387682921353,,3.12,15.0,,
2040,NCC-Electricity,True,37.60323707441514,20.609331391432985,0.4121866278286597,-216.2565249813573,-195.23500696209567,42.4,,15.0,,
2040,RE_PPA,True,6.886999832260267,0.0,0.0,-205.7142857142857,-205.7142857142857,42.4,,15.0,100.0,0.33
2041,Heat_Pump,True,3.8851907313962215,9.013920480848826,0.2704176144254648,-813.9448173005221,-804.6604792052478,41.36,2.928,15.0,,
2041,NCC-H2,True,37.60323707441514,16.581143892198355,0.4145285973049589,630.8724832214765,647.8681557109799,,2.928,15.0,,
2041,NCC-Electricity,True,37.60323707441514,20.23461627522511,0.4046923255045022,-235.64504101416856,-215.00573241343895,41.36,,15.0,,
2041,RE_PPA,True,6.856445263350506,0.0,0.0,-215.5882352941176,-215.5882352941176,41.36,,15.0,100.0,0.322
2042,Heat_Pump,True,3.8851907313962215,8.8611421676141,0.265834265028423,-818.7919463087248,-809.6649698760823,40.32,2.736,15.0,,
2042,NCC-H2,True,37.60323707441514,16.30010755504245,0.4075026888760613,523.4899328859063,540.1975431298249,,2.736,15.0,,
2042,NCC-Electricity,True,37.60323707441514,19.85990115901724,0.3971980231803448,-255.03355704697992,-234.77645786478232,40.32,,15.0,,
2042,RE_PPA,True,6.824333773731966,0.0,0.0,-226.0606060606061,-226.0606060606061,40.32,,15.0,100.0,0.314
2043,Heat_Pump,True,3.8851907313962215,8.708363854379375,0.2612509156313812,-823.6390753169277,-814.669460546917,39.28,2.544,15.0,,
2043,NCC-H2,True,37.60323707441514,16.019071217886548,0.4004767804471637,416.1073825503357,432.52693054866944,,2.544,15.0,,
2043,NCC-Electricity,True,37.60323707441514,19.485186042809367,0.3897037208561874,-274.4220730797912,-254.54718331612565,39.28,,15.0,,
2043,RE_PPA,True,6.790543251976509,0.0,0.0,-237.1875,-237.1875,39.28,,15.0,100.0,0.306
2044,Heat_Pump,True,3.8851907313962215,8.555585541144648,0.2566675662343394,-828.4862043251306,-819.6739512177517,38.239999999999995,2.352,15.0,,
2044,NCC-H2,True,37.60323707441514,15.738034880730645,0.3934508720182661,308.7248322147651,324.85631796751403,,2.352,15.0,,
2044,NCC-Electricity,True,37.60323707441514,19.110470926601497,0.3822094185320299,-293.81058911260266,-274.31790876746913,38.239999999999995,,15.0,,
2044,RE_PPA,True,6.7549384740194185,0.0,0.0,-249.03225806451616,-249.03225806451616,38.239999999999995,,15.0,100.0,0.298
2045,Heat_Pump,True,3.8851907313962215,8.402807227909923,0.2520842168372977,-833.3333333333334,-824.6784418885861,37.2,2.16,15.0,,
2045,NCC-H2,True,37.60323707441514,15.45699854357474,0.3864249635893685,201.34228187919473,217.18570538635885,,2.16,15.0,,
2045,NCC-Electricity,True,37.60323707441514,18.735755810393623,0.3747151162078724,-313.1991051454138,-294.0886342188123,37.2,,15.0,,
2045,RE_PPA,True,6.717369294519866,0.0,0.0,-261.6666666666667,-261.6666666666667,37.2,,15.0,100.0,0.29
2046,Heat_Pump,True,3.8851907313962215,8.250028914675196,0.2475008674402558,-838.1804623415362,-829.6829325594208,36.16,1.968,15.0,,
2046,NCC-H2,True,37.60323707441514,15.175962206418834,0.3793990551604709,93.95973154362412,109.51509280520342,,1.968,15.0,,
2046,NCC-Electricity,True,37.60323707441514,18.36104069418575,0.367220813883715,-332.5876211782253,-313.8593596701558,36.16,,15.0,,
2046,RE_PPA,True,6.677668530367857,0.0,0.0,-275.1724137931035,-275.1724137931035,36.16,,15.0,100.0,0.282
2047,Heat_Pump,True,3.8851907313962215,8.097250601440471,0.2429175180432141,-843.027591349739,-834.6874232302554,35.12,1.7759999999999998,15.0,,
2047,NCC-H2,True,37.60323707441514,14.89492586926293,0.3723731467315733,-13.422818791946383,1.8444802240481213,,1.7759999999999998,15.0,,
2047,NCC-Electricity,True,37.60323707441514,17.98632557797788,0.3597265115595576,-351.97613721103664,-333.6300851214992,35.12,,15.0,,
2047,RE_PPA,True,6.635649473418651,0.0,0.0,-289.64285714285705,-289.64285714285705,35.12,,15.0,100.0,0.274
2048,Heat_Pump,True,3.8851907313962215,7.944472288205745,0.2383341686461723,-847.8747203579419,-839.69191390109,34.08,1.5839999999999996,15.0,,
2048,NCC-H2,True,37.60323707441514,14.613889532107024,0.3653472383026757,-120.805369127517,-105.8261323571073,,1.5839999999999996,15.0,,
2048,NCC-Electricity,True,37.60323707441514,17.611610461770006,0.3522322092354001,-371.3646532438479,-353.4008105728425,34.08,,15.0,,
2048,RE_PPA,True,6.591102954397312,0.0,0.0,-305.18518518518516,-305.18518518518516,34.08,,15.0,100.0,0.266
2049,Heat_Pump,True,3.8851907313962215,7.791693974971019,0.2337508192491305,-852.7218493661447,-844.6964045719246,33.04,1.3919999999999997,15.0,,
2049,NCC-H2,True,37.60323707441514,14.332853194951122,0.358321329873778,-228.18791946308735,-213.49674493826248,,1.3919999999999997,15.0,,
2049,NCC-Electricity,True,37.60323707441514,17.236895345562132,0.3447379069112427,-390.75316927665926,-373.1715360241859,33.04,,15.0,,
2049,RE_PPA,True,6.543793860552944,0.0,0.0,-321.9230769230769,-321.9230769230769,33.04,,15.0,100.0,0.258
2050,Heat_Pump,True,3.8851907313962215,7.638915661736293,0.2291674698520888,-857.5689783743476,-849.7008952427592,32.0,1.2,15.0,,
2050,NCC-H2,True,37.60323707441514,14.051816857795217,0.3512954214448804,-335.57046979865777,-321.1673575194177,,1.2,15.0,,
2050,NCC-Electricity,True,37.60323707441514,16.862180229354262,0.3372436045870852,-410.1416853094705,-392.9422614755291,32.0,,15.0,,
2050,RE_PPA,True,6.493456984702537,0.0,0.0,-340.0,-340.0,32.0,,15.0,100.0,0.25
