Year,Technology,Cost ($/tCO2),Cost ($/ton ethylene),Cost (₩/ton ethylene),Cost ($/boe),Abatement (MtCO2)
2025,Heat_Pump,250.0,125.0,162477.0,25.0,0.81
2025,NCC-H2,1380.0,2400.0,3119977.0,487.0,20.8
2025,NCC-Electricity,383.0,610.0,792565.0,124.0,19.01
2025,RE_PPA,325.0,130.0,169000.0,26.0,7.21
2030,Heat_Pump,215.0,108.0,139770.0,22.0,0.87
2030,NCC-H2,1150.0,2000.0,2600433.0,406.0,22.4
2030,NCC-Electricity,334.0,531.0,690621.0,108.0,20.47
2030,RE_PPA,319.0,128.0,166111.0,26.0,7.68
2040,Heat_Pump,160.0,80.0,103715.0,16.0,0.98
2040,NCC-H2,704.0,1224.0,1591186.0,248.0,25.11
2040,NCC-Electricity,247.0,392.0,509987.0,80.0,22.94
2040,RE_PPA,304.0,121.0,157857.0,25.0,8.31
2050,Heat_Pump,111.0,56.0,72340.0,11.0,1.04
2050,NCC-H2,276.0,480.0,624079.0,97.0,26.79
2050,NCC-Electricity,174.0,277.0,360358.0,56.0,24.48
2050,RE_PPA,275.0,110.0,143000.0,22.0,8.36
