year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,electricity_consumption_mwh,fossil_fuel_replaced_gj,methodology,h2_consumption_ton_per_ton_ethylene,baseline_combustion_emissions_tco2_per_ton,ethylene_production_kt,h2_fuel_cost_per_ton_ethylene,electricity_consumption_mwh_per_ton_ethylene,electricity_cost_per_ton_ethylene,re_ef_tco2_per_mwh,grid_price_usd_per_mwh,grid_ef_tco2_per_mwh
2025,Heat_Pump,True,2.8624758029124737,45.0,27.0,123.20665863541778,195.2066586354178,90.0,6.0,3918623.101128673,56428172.6562529,Energy-based,,,,,,,,,
2025,NCC-H2,False,26994.02384022117,69.0,69.0,0.47858592985128484,138.47858592985128,,6.0,,,Energy-based,0.18,2256.6480388079895,11962.0,1080.0,,,,,
2025,NCC-Electricity,False,26992.229540221168,73.6,64.4,0.11965443592524874,138.11965443592524,,,,,Energy-based,,2256.6480388079895,11962.0,,3.0,270.0,0.05,,
2025,RE_PPA,True,4.120072244839628,0.0,0.0,224.99999999999997,224.99999999999997,90.0,,,,Energy-based,,,,,,,,100.0,0.45
2026,Heat_Pump,True,2.9054129399561606,43.2,25.919999999999998,120.46873288796407,189.58873288796406,88.0,5.65,3977402.447645603,57274595.246096686,Energy-based,,,,,,,,,
2026,NCC-H2,False,27398.93419782448,66.72,66.72,0.45066841727662665,133.89066841727663,,5.65,,,Energy-based,0.18,2256.6480388079895,12141.429999999998,1017.0000000000001,,,,,
2026,NCC-Electricity,False,27397.11298332448,71.36,62.440000000000005,0.1169954484602432,133.91699544846026,,,,,Energy-based,,2256.6480388079895,12141.429999999998,,3.0,264.0,0.05,,
2026,RE_PPA,True,4.17241207663776,0.0,0.0,224.48979591836732,224.48979591836732,88.0,,,,Energy-based,,,,,,,,100.0,0.442
2027,Heat_Pump,True,2.9483500769998483,41.4,24.84,117.73080714051034,183.97080714051032,86.0,5.3,4036181.7941625337,58121017.83594049,Energy-based,,,,,,,,,
2027,NCC-H2,False,27803.844555427804,64.44,64.44,0.4227509047019683,129.30275090470195,,5.3,,,Energy-based,0.18,2256.6480388079895,12320.86,954.0,,,,,
