facility_id,company,location,product,process,total_emissions_kt,tech_heat_pump_pct,tech_ncc_h2_pct,tech_ncc_elec_pct,tech_re_ppa_pct,abatement_mt,emissions_2050_kt
1,Lotte Chemical,Daesan,Ethylene,Naphtha Cracker,2020.6494687509296,10.234959777123866,100.00000000000003,0.7904274837005174,80.0,2.0055695113436802,15.079957407249367
2,HD Hyundai Chemical,Daesan,Ethylene,Naphtha Cracker,1561.4109531257182,10.234959777123866,100.0,0.7904274837005174,80.0,1.5497582587655707,11.652694360147507
3,LG Chem,Daesan,Ethylene,Naphtha Cracker,2388.0402812510983,10.234959777123864,100.0,0.7904274837005174,80.00000000000001,2.3702185134061673,17.821767844930946
4,Hanwha TotalEnergies,Daesan,Ethylene,Naphtha Cracker,2801.354945313789,10.234959777123866,100.00000000000003,0.7904274837005174,80.0,2.780448640726466,20.90630458732312
5,Lotte Chemical,Yeosu,Ethylene,Naphtha Cracker,2259.4534968760395,10.234959777123864,100.0,0.7904274837005173,80.0,2.242591362684297,16.862134191742825
6,LG Chem,Yeosu,Ethylene,Naphtha Cracker,1892.06268437587,10.234959777123866,100.0,0.7904274837005174,80.0,1.8779423606218093,14.120323754060792
7,Yeochon NCC,Yeosu,Ethylene,Naphtha Cracker,4197.44003281443,10.234959777123866,100.0,0.7904274837005173,80.0,4.166114848563916,31.325184250514212
8,GS Caltex,Yeosu,Ethylene,Naphtha Cracker,1653.2586562507602,10.234959777123864,100.00000000000003,0.7904274837005174,80.0,1.6409205092811927,12.33814696956756
9,Daehan Oil Chemical,Onsan,Ethylene,Naphtha Cracker,1653.2586562507602,10.234959777123864,100.00000000000003,0.7904274837005174,80.0,1.6409205092811927,12.33814696956756
10,S-Oil,Onsan,Ethylene,Naphtha Cracker,334.32563937515374,10.234959777123866,100.0,0.7904274837005173,80.0,0.3318305918768634,2.495047498290319
11,SK Geocentric,Ulsan,Ethylene,Naphtha Cracker,1212.3896812505575,10.234959777123864,100.0,0.7904274837005174,80.0,1.2033417068062078,9.04797444434962
12,Lotte Chemical,Daesan,Propylene,Naphtha Cracker,962.3677872513654,10.234959777123864,100.0,0.7904274837005174,80.0,0.9370049836484668,25.362803602898566
13,HDHyundai Oilbank,Daesan,Propylene,Naphtha Cracker,734.8990375374062,10.234959777123866,100.0,0.7904274837005174,80.00000000000001,0.7155310784224655,19.36795911494073
14,HD Hyundai Chemical,Daesan,Propylene,Naphtha Cracker,789.1415855461197,10.234959777123866,100.0,0.7904274837005173,80.0,0.7683440865917428,20.79749895437692
