year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd
2025,52.0,52.00000000000003,2.842170943040401e-14,0.0,0,0.0,0.0,1.3216094885137865e-16,2.842170943040401e-14,52.0,0.0,8.68444165204925e-12
2026,51.85116444444448,51.85116444444448,2.842170943040401e-14,0.0,0,0.0,0.0,1.3216094885137865e-16,2.842170943040401e-14,51.85116444444445,0.0,8.68444165204925e-12
2027,51.70232888888892,51.70232888888892,2.842170943040401e-14,0.0,0,0.0,0.0,1.3216094885137865e-16,2.842170943040401e-14,51.70232888888889,0.0,8.68444165204925e-12
2028,51.55349333333336,51.55349333333336,2.842170943040401e-14,0.0,0,0.0,0.0,1.3216094885137865e-16,2.842170943040401e-14,51.55349333333333,0.0,8.68444165204925e-12
2029,51.40465777777781,51.40465777777781,2.842170943040401e-14,0.0,0,0.0,0.0,1.3216094885137865e-16,2.842170943040401e-14,51.40465777777778,0.0,8.68444165204925e-12
2030,48.0,51.25582222222226,3.255822222222257,0.0,0,0.0,0.0,0.015139573333333494,3.255822222222257,48.0,0.0,795.8704436852067
2031,51.1069866666667,51.1069866666667,3.255822222222257,0.0,0,0.0,0.0,0.015139573333333494,3.255822222222257,47.85116444444444,0.0,795.8704436852067
2032,50.95815111111114,50.95815111111114,3.255822222222257,0.0,0,0.0,0.0,0.015139573333333494,3.255822222222257,47.702328888888886,0.0,795.8704436852067
2033,50.809315555555585,50.809315555555585,3.255822222222257,0.0,0,0.0,0.0,0.015139573333333494,3.255822222222257,47.55349333333333,0.0,795.8704436852067
2034,50.660480000000035,50.660480000000035,3.255822222222257,0.0,0,0.0,0.0,0.015139573333333494,3.255822222222257,47.40465777777778,0.0,795.8704436852067
2035,44.0,50.51164444444448,5.112176825659369,0.0,0,1.399467618785109,0.0,0.02377162223931607,6.511644444444478,44.0,0.0,1192.9254587953035
2036,50.36280888888892,50.36280888888892,5.112176825659369,0.0,0,1.399467618785109,0.0,0.02377162223931607,6.511644444444478,43.85116444444444,0.0,1192.9254587953035
2037,50.21397333333336,50.21397333333336,5.112176825659369,0.0,0,1.399467618785109,0.0,0.02377162223931607,6.511644444444478,43.70232888888888,0.0,1192.9254587953035
2038,50.065137777777814,50.065137777777814,5.112176825659369,0.0,0,1.399467618785109,0.0,0.02377162223931607,6.511644444444478,43.553493333333336,0.0,1192.9254587953035
2039,49.91630222222225,49.91630222222225,5.112176825659369,0.0,0,1.399467618785109,0.0,0.02377162223931607,6.511644444444478,43.40465777777777,0.0,1192.9254587953035
2040,38.0,49.7674666666667,5.112176825659369,5.255822222222221,0,1.399467618785109,2.9394978871488933,0.02377162223931607,11.7674666666667,38.0,0.0,2965.41789008643
2041,49.61863111111114,49.61863111111114,5.112176825659369,5.255822222222221,0,1.399467618785109,2.9394978871488933,0.02377162223931607,11.7674666666667,37.85116444444444,0.0,2965.41789008643
2042,49.469795555555585,49.469795555555585,5.112176825659369,5.255822222222221,0,1.399467618785109,2.9394978871488933,0.02377162223931607,11.7674666666667,37.702328888888886,0.0,2965.41789008643
2043,49.32096000000003,49.32096000000003,5.112176825659369,5.255822222222221,0,1.399467618785109,2.9394978871488933,0.02377162223931607,11.7674666666667,37.55349333333333,0.0,2965.41789008643
2044,49.17212444444448,49.17212444444448,5.112176825659369,5.255822222222221,0,1.399467618785109,2.9394978871488933,0.02377162223931607,11.7674666666667,37.40465777777778,0.0,2965.41789008643
2045,30.0,49.02328888888892,5.112176825659369,12.511644444444443,0,1.399467618785109,6.99756400695998,0.02377162223931607,19.02328888888892,30.0,0.0,5208.482560512952
2046,48.87445333333336,48.87445333333336,5.112176825659369,12.511644444444443,0,1.399467618785109,6.99756400695998,0.02377162223931607,19.02328888888892,29.851164444444443,0.0,5208.482560512952
2047,48.725617777777806,48.725617777777806,5.112176825659369,12.511644444444443,0,1.399467618785109,6.99756400695998,0.02377162223931607,19.02328888888892,29.702328888888886,0.0,5208.482560512952
2048,48.576782222222256,48.576782222222256,5.112176825659369,12.511644444444443,0,1.399467618785109,6.99756400695998,0.02377162223931607,19.02328888888892,29.553493333333336,0.0,5208.482560512952
2049,48.4279466666667,48.4279466666667,5.112176825659369,12.511644444444443,0,1.399467618785109,6.99756400695998,0.02377162223931607,19.02328888888892,29.40465777777778,0.0,5208.482560512952
2050,20.0,48.27911111111114,5.112176825659369,16.673477300749234,0,6.493456984702537,9.325211018316127,0.02377162223931607,28.27911111111114,20.000000000000004,3.552713678800501e-15,6378.108822303946
