year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,total_deployed_mt,actual_emissions_mt,shortfall_mt
2025,52.0,52.00000000000003,2.842170943040401e-14,0.0,0.0,2.842170943040401e-14,52.0,0.0
2026,48.0,51.85116444444448,3.8511644444444784,0.0,0.0,3.8511644444444784,48.0,0.0
2027,44.0,51.70232888888892,3.8851907313962215,0.0,0.0,3.8851907313962215,47.8171381574927,3.8171381574926997
2028,40.0,51.55349333333336,3.8851907313962215,0.0,0.0,3.8851907313962215,47.668302601937135,7.668302601937135
2029,36.0,51.40465777777781,3.8851907313962215,0.0,0.0,3.8851907313962215,47.519467046381585,11.519467046381585
2030,32.0,51.25582222222226,3.8851907313962215,15.370631490826035,0.0,19.255822222222257,32.0,0.0
2031,29.0,51.1069866666667,3.8851907313962215,18.221795935270478,0.0,22.1069866666667,29.0,0.0
2032,27.0,50.95815111111114,3.8851907313962215,20.07296037971492,0.0,23.958151111111142,27.0,0.0
2033,25.0,50.809315555555585,3.8851907313962215,21.924124824159364,0.0,25.809315555555585,25.0,0.0
2034,23.0,50.660480000000035,3.8851907313962215,23.775289268603814,0.0,27.660480000000035,23.0,0.0
2035,21.0,50.51164444444448,3.8851907313962215,25.626453713048257,0.0,29.511644444444478,21.0,0.0
2036,19.0,50.36280888888892,3.8851907313962215,27.4776181574927,0.0,31.36280888888892,19.0,0.0
2037,17.5,50.21397333333336,3.8851907313962215,28.828782601937135,0.0,32.71397333333336,17.5,0.0
2038,16.0,50.065137777777814,3.8851907313962215,30.179947046381592,0.0,34.065137777777814,16.0,0.0
2039,14.5,49.91630222222225,3.8851907313962215,31.531111490826028,0.0,35.41630222222225,14.5,0.0
2040,13.0,49.7674666666667,3.8851907313962215,32.88227593527048,0.0,36.7674666666667,13.0,0.0
2041,11.5,49.61863111111114,3.8851907313962215,34.23344037971492,0.0,38.11863111111114,11.5,0.0
2042,10.0,49.469795555555585,3.8851907313962215,35.58460482415936,0.0,39.469795555555585,10.0,0.0
2043,8.5,49.32096000000003,3.8851907313962215,36.935769268603806,0.0,40.82096000000003,8.5,0.0
2044,7.0,49.17212444444448,3.8851907313962215,37.60323707441514,0.6836966386331156,42.17212444444448,7.0,0.0
2045,5.5,49.02328888888892,3.8851907313962215,37.60323707441514,2.0348610830775584,43.52328888888892,5.5,0.0
2046,4.0,48.87445333333336,3.8851907313962215,37.60323707441514,3.3860255275220013,44.87445333333336,4.0,0.0
2047,3.0,48.725617777777806,3.8851907313962215,37.60323707441514,4.237189971966444,45.725617777777806,3.0,0.0
2048,2.0,48.576782222222256,3.8851907313962215,37.60323707441514,5.088354416410894,46.576782222222256,2.0,0.0
2049,1.0,48.4279466666667,3.8851907313962215,37.60323707441514,5.939518860855337,47.4279466666667,1.0,0.0
2050,0.5,48.27911111111114,3.8851907313962215,37.60323707441514,6.29068330529978,47.77911111111114,0.5,0.0
